Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338095885.55,2012_05_27_06:18:05,+40.529,+10.249,+54.810,+10.259,+13.899,+13.709,+14.004,+13.755,10.350095,-16.066
3.006250,33.108040,-1.743027,58.405170,-26.685287,-81.262184,-27.426943
3.012500,33.108040,-1.743027,58.405170,-26.685287,-81.262184,-27.426943
3.018750,33.108040,-1.743027,58.405170,-26.685287,-81.262184,-27.426943
3.025000,33.108040,-1.743027,58.405170,-26.685287,-81.262184,-27.426943
3.031250,33.108040,-1.743027,58.405170,-26.685287,-81.262184,-27.426943
3.037500,33.108040,-1.743027,58.405170,-26.685287,-81.262184,-27.426943
3.043750,33.108040,-1.743027,58.405170,-26.685287,-81.262184,-27.426943
3.050000,33.108040,-1.743027,58.405170,-26.685287,-81.262184,-27.426943
3.056250,33.108040,-1.743027,58.405170,-26.685287,-81.262184,-27.426943
3.062500,33.108040,-1.743027,58.405170,-26.685287,-81.262184,-27.426943
3.068750,33.108040,-1.743027,58.405170,-26.685287,-81.262184,-27.426943
3.075000,33.108040,-1.743027,58.405170,-26.685287,-81.262184,-27.426943
3.081250,33.108040,-1.743027,58.405170,-26.685287,-81.262184,-27.426943
3.087500,33.108040,-1.743027,58.405170,-26.685287,-81.262184,-27.426943
3.093750,33.108040,-1.744731,58.405170,-26.486227,-81.262184,-27.175545
3.100000,39.012516,-1.746759,55.747204,-26.339495,-83.219765,-26.941750
3.106250,44.917084,-1.748806,52.214363,-26.264967,-83.571190,-26.726868
3.112500,50.822399,-1.750896,48.157398,-26.283188,-81.960999,-26.503155
3.118750,56.726460,-1.753203,42.177540,-26.331951,-80.230812,-26.200634
3.125000,62.629520,-1.755693,37.394909,-26.380993,-76.143959,-25.937876
3.131250,68.532501,-1.758290,33.025318,-26.456528,-69.970062,-25.648102
3.137500,74.434364,-1.761197,29.335203,-26.559797,-62.079239,-25.321934
3.143750,80.334633,-1.764666,26.521757,-26.681242,-52.655479,-24.968119
3.150000,86.235832,-1.768424,24.761316,-26.806332,-41.853497,-24.599216
3.156250,92.140205,-1.771919,24.176090,-26.920395,-29.843611,-24.233507
3.162500,96.152176,-1.775194,24.833492,-27.010336,-16.823645,-23.894482
3.168750,99.891174,-1.778561,26.753136,-27.068914,-3.003938,-23.632313
3.175000,102.823341,-1.782202,29.981007,-27.074907,9.551725,-23.388189
3.181250,104.458412,-1.785878,32.759350,-27.015997,22.885139,-23.168041
3.187500,104.371262,-1.789410,36.546093,-26.909122,35.668976,-23.002247
3.193750,102.220596,-1.792667,40.638000,-26.766569,47.412067,-22.907244
3.200000,97.768753,-1.795581,44.468269,-26.597145,57.700108,-22.886005
3.206250,90.893890,-1.798160,47.555222,-26.411236,66.148270,-22.938478
3.212500,81.594429,-1.800553,49.480686,-26.223570,72.438766,-23.072273
3.218750,69.990646,-1.803153,49.934147,-26.044411,76.346741,-23.269894
3.225000,56.320873,-1.805591,50.912258,-25.867939,77.502296,-23.476650
3.231250,40.928219,-1.807513,50.953960,-25.694061,76.075943,-23.700674
3.237500,24.237965,-1.809144,48.566673,-25.522608,74.071251,-23.933842
3.243750,6.738154,-1.811062,45.865463,-25.329992,69.903679,-24.153597
3.250000,-11.038492,-1.813554,42.716312,-25.157503,64.175179,-24.340504
3.256250,-28.541418,-1.816163,38.760567,-25.017317,57.442734,-24.493805
3.262500,-45.235737,-1.818411,34.241623,-24.892096,50.335270,-24.603418
3.268750,-60.631023,-1.820322,29.103424,-24.778444,43.554596,-24.658606
3.275000,-74.303299,-1.822337,23.225227,-24.675375,37.678249,-24.660362
3.281250,-85.912498,-1.824736,16.494663,-24.573801,33.213367,-24.616478
3.287500,-95.219757,-1.827512,8.819491,-24.460737,30.542566,-24.540968
3.293750,-102.101379,-1.830346,0.164255,-24.296566,29.926291,-24.433020
3.300000,-106.556786,-1.833082,-7.294617,-24.128883,31.527555,-24.294918
3.306250,-108.707176,-1.835561,-15.972888,-23.994078,35.324455,-24.153154
3.312500,-108.790382,-1.837778,-24.650536,-23.873116,41.132870,-24.039820
3.318750,-107.147964,-1.839909,-33.039272,-23.774088,48.690472,-23.975348
3.325000,-104.207375,-1.841841,-40.871128,-23.713392,57.656296,-23.970091
3.331250,-100.459908,-1.843439,-47.896351,-23.716955,67.600937,-24.026550
3.337500,-96.438431,-1.844696,-53.928467,-23.848652,78.005569,-24.143288
3.343750,-90.522308,-1.845590,-58.950619,-24.011005,88.330307,-24.306337
3.350000,-84.606674,-1.846166,-63.381863,-24.232962,98.069656,-24.457880
3.356250,-78.691750,-1.846379,-66.815948,-24.557932,106.951302,-24.654617
3.362500,-72.778358,-1.846485,-67.533363,-25.007854,114.013451,-24.902018
3.368750,-66.867172,-1.846343,-67.170349,-25.563650,119.347908,-25.189634
3.375000,-60.956295,-1.845646,-65.611610,-26.198603,122.491882,-25.563360
3.381250,-55.047516,-1.844580,-62.872398,-26.878422,123.203270,-25.895962
3.387500,-49.144753,-1.843855,-59.048351,-27.564886,121.982445,-26.216057
3.393750,-43.248245,-1.843904,-54.298664,-28.212919,118.172913,-26.516251
3.400000,-37.354187,-1.844341,-48.846409,-28.780643,112.215576,-26.789240
3.406250,-31.458761,-1.844559,-43.026073,-29.246681,104.990776,-27.066095
3.412500,-25.563732,-1.844926,-37.166485,-29.586317,97.045532,-27.312748
3.418750,-19.673498,-1.846166,-29.329515,-29.777956,86.917320,-27.508101
3.425000,-13.786296,-1.848354,-23.059755,-29.817591,76.808899,-27.645952
3.431250,-7.896213,-1.850644,-16.502075,-29.720430,67.087624,-27.732323
3.437500,-2.001952,-1.852853,-9.913658,-29.471012,58.162189,-27.770931
3.443750,3.891979,-1.855692,-3.314250,-29.067850,50.706509,-27.709761
3.450000,9.784169,-1.859486,2.775194,-28.556377,43.007832,-27.578327
3.456250,15.680781,-1.863467,8.192207,-27.974886,36.884365,-27.389826
3.462500,21.585705,-1.866802,12.933556,-27.366892,32.110569,-27.146029
3.468750,27.495693,-1.869511,17.086353,-26.778744,28.459974,-26.843719
3.475000,33.405876,-1.872005,20.758722,-26.275183,25.685003,-26.499998
3.481250,39.315643,-1.874368,24.207642,-25.810211,23.500910,-26.129250
3.487500,45.224632,-1.876774,26.167025,-25.412897,21.667219,-25.725657
3.493750,51.132053,-1.879607,28.024918,-25.118208,19.875473,-25.296230
3.500000,57.038528,-1.882841,29.606270,-24.931362,17.804016,-24.852987
3.506250,62.948273,-1.885823,30.804232,-24.838587,15.225327,-24.406395
3.512500,68.862129,-1.887961,31.533360,-24.805752,11.953275,-23.966072
3.518750,74.775841,-1.889932,31.764288,-24.743259,7.855921,-23.536718
3.525000,80.683495,-1.892762,31.631283,-24.725880,2.823024,-23.124102
3.531250,86.586823,-1.896663,31.743399,-24.712477,-3.273748,-22.743362
3.537500,92.492737,-1.900833,31.739920,-24.666471,-8.385114,-22.411022
3.543750,96.509590,-1.904719,31.863361,-24.578474,-13.973625,-22.123013
3.550000,100.256203,-1.908726,32.452271,-24.421051,-19.754536,-21.841787
3.556250,103.195946,-1.913447,31.947721,-24.195755,-25.254229,-21.514368
3.562500,104.840851,-1.918490,32.061047,-23.932339,-30.198154,-21.273062
3.568750,104.769958,-1.922750,32.450363,-23.657877,-33.348114,-21.103054
3.575000,102.642731,-1.925640,32.840240,-23.398643,-35.721336,-21.005596
3.581250,98.216446,-1.927466,32.947826,-23.189199,-37.051258,-20.993792
3.587500,91.364365,-1.928910,32.514809,-23.065069,-37.362301,-21.027409
3.593750,82.086693,-1.929949,31.430983,-23.016390,-36.515045,-21.129442
3.600000,70.509331,-1.929928,29.638422,-23.053955,-34.358868,-21.314608
3.606250,56.869316,-1.928580,28.984880,-23.192801,-31.052036,-21.576513
3.612500,41.502296,-1.926391,28.010632,-23.418339,-26.871540,-21.889076
3.618750,24.831963,-1.923770,27.119177,-23.747126,-22.210676,-22.227322
3.625000,7.352106,-1.920533,26.416161,-24.189220,-17.856472,-22.633842
3.631250,-10.402898,-1.916429,26.515696,-24.707113,-11.997164,-23.069712
3.637500,-27.890305,-1.911959,27.723948,-25.266375,-6.358005,-23.507029
3.643750,-44.581520,-1.907924,30.180626,-25.830013,-0.962584,-23.925995
3.650000,-59.983040,-1.904504,32.020451,-26.352978,4.098835,-24.310055
3.656250,-73.664719,-1.901681,34.802551,-26.761307,8.740100,-24.641748
3.662500,-85.284882,-1.899612,37.705704,-27.098347,12.870409,-24.916037
