Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338038382.75,2012_05_26_14:19:42,+298.24,+298.27,+297.94,+298.13,+297.58,+298.62,+298.12,+298.64,243.683868,-5.838
3.006250,-12.550563,-3.313213,-9.424597,-28.691927,-19.952864,-29.801275
3.012500,-12.550563,-3.313213,-9.424597,-28.691927,-19.952864,-29.801275
3.018750,-12.550563,-3.313213,-9.424597,-28.691927,-19.952864,-29.801275
3.025000,-12.550563,-3.313213,-9.424597,-28.691927,-19.952864,-29.801275
3.031250,-12.550563,-3.313213,-9.424597,-28.691927,-19.952864,-29.801275
3.037500,-12.550563,-3.313213,-9.424597,-28.691927,-19.952864,-29.801275
3.043750,-12.550563,-3.313213,-9.424597,-28.691927,-19.952864,-29.801275
3.050000,-12.550563,-3.313213,-9.424597,-28.691927,-19.952864,-29.801275
3.056250,-12.550563,-3.313213,-9.424597,-28.691927,-19.952864,-29.801275
3.062500,-12.550563,-3.313213,-9.424597,-28.691927,-19.952864,-29.801275
3.068750,-12.550563,-3.313213,-9.424597,-28.691927,-19.952864,-29.801275
3.075000,-12.550563,-3.313213,-9.424597,-28.691927,-19.952864,-29.801275
3.081250,-12.550563,-3.313213,-9.424597,-28.691927,-19.952864,-29.801275
3.087500,-12.550563,-3.313213,-9.424597,-28.691927,-19.952864,-29.801275
3.093750,-12.550563,-3.315886,-9.424597,-28.609102,-19.952864,-29.980221
3.100000,-12.562794,-3.318976,-18.030100,-28.494541,-21.636225,-30.075544
3.106250,-12.577188,-3.322654,-27.054321,-28.363253,-24.731092,-30.086557
3.112500,-12.591340,-3.326596,-34.336170,-28.230049,-29.399111,-30.013170
3.118750,-12.603020,-3.330458,-39.902710,-28.110500,-35.651760,-29.851513
3.125000,-12.613717,-3.334349,-43.839336,-28.021122,-43.385212,-29.598057
3.131250,-12.625037,-3.338310,-46.243324,-27.953863,-50.528172,-29.255600
3.137500,-12.637425,-3.342500,-47.034721,-27.881327,-58.449917,-28.836054
3.143750,-12.650476,-3.347005,-46.547325,-27.825666,-66.260490,-28.348192
3.150000,-12.664207,-3.351894,-45.033878,-27.798550,-74.915398,-27.803885
3.156250,-12.676919,-3.356988,-42.654053,-27.799599,-80.042458,-27.224005
