Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338031880.47,2012_05_26_12:31:20,+298.06,+297.90,+02.989,+297.78,+297.20,+298.15,+297.76,+298.18,243.385345,-6.620
3.006250,15.428875,-9.790535,1.811085,-10.071198,-93.083954,-11.751310
3.012500,15.428875,-9.790535,1.811085,-10.071198,-93.083954,-11.751310
3.018750,15.428875,-9.790535,1.811085,-10.071198,-93.083954,-11.751310
3.025000,15.428875,-9.790535,1.811085,-10.071198,-93.083954,-11.751310
3.031250,15.428875,-9.790535,1.811085,-10.071198,-93.083954,-11.751310
3.037500,15.428875,-9.790535,1.811085,-10.071198,-93.083954,-11.751310
3.043750,15.428875,-9.790535,1.811085,-10.071198,-93.083954,-11.751310
3.050000,15.428875,-9.790535,1.811085,-10.071198,-93.083954,-11.751310
3.056250,15.428875,-9.790535,1.811085,-10.071198,-93.083954,-11.751310
3.062500,15.428875,-9.790535,1.811085,-10.071198,-93.083954,-11.751310
3.068750,15.428875,-9.790535,1.811085,-10.071198,-93.083954,-11.751310
3.075000,15.428875,-9.790535,1.811085,-10.071198,-93.083954,-11.751310
3.081250,15.428875,-9.790535,1.811085,-10.071198,-93.083954,-11.751310
3.087500,15.428875,-9.790535,1.811085,-10.071198,-93.083954,-11.751310
3.093750,15.428875,-9.649813,1.811085,-10.170765,-93.083954,-12.157327
3.100000,14.792377,-9.521699,1.829933,-10.270760,-94.893433,-12.547239
3.106250,14.141809,-9.404916,1.220918,-10.370723,-95.178841,-12.915990
3.112500,13.487439,-9.298097,-0.179809,-10.470173,-93.593620,-13.258524
3.118750,12.834117,-9.200090,-0.324289,-10.568823,-89.887291,-13.569764
3.125000,12.184295,-9.110110,-0.647827,-10.666354,-83.920204,-13.845183
3.131250,11.537528,-9.027719,-2.573300,-10.762489,-75.668541,-14.081099
3.137500,10.893932,-8.952849,-4.020875,-10.857170,-65.225372,-14.274607
3.143750,10.254824,-8.885372,-5.098324,-10.950159,-52.794193,-14.423828
3.150000,9.623218,-8.824940,-5.930615,-11.040992,-38.680840,-14.527565
3.156250,9.003887,-8.770767,-6.652971,-11.129314,-23.276630,-14.585609
3.162500,8.400967,-8.722028,-7.404431,-11.214887,-7.039214,-14.598856
3.168750,7.816078,-8.678058,-8.318910,-11.297070,9.534624,-14.568850
3.175000,7.248803,-8.638346,-9.520357,-11.375231,25.932350,-14.497684
3.181250,6.699121,-8.602704,-11.117239,-11.449230,41.652546,-14.388403
3.187500,6.166196,-8.570775,-11.029704,-11.518676,56.230232,-14.245010
3.193750,5.651268,-8.542294,-10.678372,-11.583223,69.262794,-14.071785
3.200000,5.155680,-8.516663,-11.495604,-11.642307,80.431259,-13.872990
3.206250,4.680668,-8.493330,-11.434452,-11.695832,89.511017,-13.653481
3.212500,4.225511,-8.471837,-10.658672,-11.743844,96.386696,-13.417927
3.218750,3.789124,-8.451940,-9.366266,-11.786366,101.059715,-13.170601
3.225000,3.369210,-8.433505,-7.779540,-11.823403,103.649651,-12.915152
3.231250,2.964533,-8.416503,-6.135912,-11.854846,104.386696,-12.654604
3.237500,2.574046,-8.400888,-4.674382,-11.880662,103.602127,-12.391672
3.243750,2.197596,-8.386434,-3.624383,-11.900795,101.711372,-12.128977
3.250000,1.835952,-8.372865,-1.028985,-11.915397,99.192886,-11.868885
3.256250,1.489904,-8.359628,1.572201,-11.924134,96.565918,-11.613293
3.262500,1.157287,-8.346475,2.640085,-11.926606,92.194290,-11.363721
3.268750,0.835133,-8.333396,4.133178,-11.922462,87.955254,-11.120977
3.275000,0.519970,-8.320747,5.820045,-11.911653,83.831306,-10.886164
3.281250,0.210099,-8.308889,7.459842,-11.894076,79.805939,-10.659808
3.287500,-0.093830,-8.297791,8.816466,-11.869287,75.866280,-10.442241
3.293750,-0.389249,-8.287308,9.668614,-11.837252,71.999908,-10.233553
3.300000,-0.674020,-8.276767,9.816795,-11.798019,68.192970,-10.034081
3.306250,-0.947348,-8.265521,9.097501,-11.751866,64.434692,-9.844213
3.312500,-1.210194,-8.253004,9.558923,-11.698861,60.716640,-9.663912
3.318750,-1.467160,-8.239232,9.769047,-11.639058,57.031319,-9.493187
3.325000,-1.724259,-8.224795,8.303969,-11.572762,53.370335,-9.332008
3.331250,-1.987024,-8.210669,7.244590,-11.500410,49.725811,-9.180552
3.337500,-2.256522,-8.197576,6.483307,-11.422041,46.092567,-9.038854
3.343750,-2.529942,-8.185815,5.897335,-11.337478,42.467567,-8.906538
3.350000,-2.802305,-8.175162,5.352169,-11.246759,38.845039,-8.783560
3.356250,-3.069231,-8.164975,4.709012,-11.150068,35.221085,-8.670148
3.362500,-3.328544,-8.154299,3.832995,-11.046982,31.592690,-8.566150
3.368750,-3.582275,-8.142804,2.602362,-10.937235,27.958675,-8.471340
3.375000,-3.836312,-8.130828,0.908178,-10.820744,24.315491,-8.385863
3.381250,-4.098129,-8.119593,0.830371,-10.697755,20.658186,-8.310206
3.387500,-4.370439,-8.110077,0.946711,-10.568132,16.984787,-8.244229
3.393750,-4.649658,-8.102580,-0.175280,-10.431763,13.294873,-8.187830
3.400000,-4.930124,-8.096824,-0.488296,-10.288908,9.585449,-8.140987
3.406250,-5.205132,-8.092036,-0.157007,-10.139775,5.853703,-8.103729
3.412500,-5.471739,-8.087168,0.620481,-9.984667,2.098597,-8.076087
3.418750,-5.729578,-8.081373,1.622417,-9.823912,-1.680545,-8.057879
3.425000,-5.983342,-8.074373,2.610498,-9.657865,-5.483479,-8.049100
3.431250,-6.241671,-8.066923,3.346325,-9.486896,-9.310373,-8.049782
3.437500,-6.512748,-8.060685,3.599627,-9.311396,-13.159609,-8.059924
3.443750,-6.798448,-8.056883,5.330266,-9.131775,-17.029743,-8.079560
3.450000,-7.093505,-8.055976,6.998739,-8.948493,-20.920042,-8.108842
3.456250,-7.389299,-8.057592,7.066015,-8.761864,-24.827974,-8.147777
3.462500,-7.677630,-8.060855,7.492402,-8.572092,-28.751854,-8.196392
3.468750,-7.955255,-8.064750,8.048866,-8.379714,-32.691055,-8.254554
3.475000,-8.223674,-8.068685,8.495523,-8.185221,-36.645035,-8.322301
3.481250,-8.487971,-8.072846,8.596945,-7.989056,-40.611023,-8.399415
3.487500,-8.755408,-8.078207,8.131488,-7.791746,-44.586628,-8.485427
