Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338032044.25,2012_05_26_12:34:04,+298.07,+297.91,+02.989,+297.78,+297.21,+298.16,+297.76,+298.19,243.390305,-6.623
3.006250,-87.005310,-5.586694,2.605771,-10.479548,32.709690,-10.195064
3.012500,-87.005310,-5.586694,2.605771,-10.479548,32.709690,-10.195064
3.018750,-87.005310,-5.586694,2.605771,-10.479548,32.709690,-10.195064
3.025000,-87.005310,-5.586694,2.605771,-10.479548,32.709690,-10.195064
3.031250,-87.005310,-5.586694,2.605771,-10.479548,32.709690,-10.195064
3.037500,-87.005310,-5.586694,2.605771,-10.479548,32.709690,-10.195064
3.043750,-87.005310,-5.586694,2.605771,-10.479548,32.709690,-10.195064
3.050000,-87.005310,-5.586694,2.605771,-10.479548,32.709690,-10.195064
3.056250,-87.005310,-5.586694,2.605771,-10.479548,32.709690,-10.195064
3.062500,-87.005310,-5.586694,2.605771,-10.479548,32.709690,-10.195064
3.068750,-87.005310,-5.586694,2.605771,-10.479548,32.709690,-10.195064
3.075000,-87.005310,-5.586694,2.605771,-10.479548,32.709690,-10.195064
3.081250,-87.005310,-5.586694,2.605771,-10.479548,32.709690,-10.195064
3.087500,-87.005310,-5.586694,2.605771,-10.479548,32.709690,-10.195064
3.093750,-87.005310,-5.681635,2.605771,-10.566337,32.709690,-10.150408
3.100000,-87.007126,-5.772016,3.269981,-10.655794,30.578411,-10.121105
3.106250,-86.975876,-5.857901,4.031897,-10.747151,28.448212,-10.105566
3.112500,-86.915184,-5.939247,4.654807,-10.840069,26.324324,-10.102479
3.118750,-86.826797,-6.015916,4.908833,-10.934483,24.208778,-10.110973
3.125000,-86.711395,-6.087454,6.755591,-11.030151,22.104113,-10.130116
3.131250,-86.570717,-6.153287,8.658882,-11.126388,20.014091,-10.158636
3.137500,-86.407852,-6.213140,9.081840,-11.222789,17.939730,-10.195655
3.143750,-86.228050,-6.266918,9.981965,-11.319275,15.879018,-10.240839
3.150000,-86.036758,-6.314877,11.129414,-11.415401,13.829829,-10.293478
3.156250,-85.840157,-6.357594,12.286258,-11.510356,11.793261,-10.352774
3.162500,-85.641922,-6.395767,13.215906,-11.603237,9.768257,-10.417978
3.168750,-85.443710,-6.429763,13.692799,-11.693861,7.752284,-10.488677
3.175000,-85.244850,-6.459767,13.516896,-11.781897,5.741670,-10.564498
3.181250,-85.044258,-6.485549,12.525394,-11.866735,3.735224,-10.644859
3.187500,-84.842003,-6.506970,12.768774,-11.947581,1.732973,-10.728992
3.193750,-84.639595,-6.523834,12.813478,-12.023998,-0.268257,-10.816780
3.200000,-84.439888,-6.536440,11.236107,-12.096007,-2.271577,-10.908125
3.206250,-84.246277,-6.545000,10.118738,-12.163485,-4.277244,-11.002644
3.212500,-84.061028,-6.549882,9.356338,-12.226233,-6.286147,-11.100231
3.218750,-83.885612,-6.551411,8.827609,-12.283957,-8.299620,-11.200543
3.225000,-83.720222,-6.549725,8.398508,-12.336509,-10.319763,-11.303676
3.231250,-83.564140,-6.544794,7.931200,-12.383735,-12.349171,-11.409635
3.237500,-83.417496,-6.536586,7.290463,-12.425619,-14.389742,-11.518622
3.243750,-83.281586,-6.525009,6.351126,-12.461920,-16.443575,-11.630612
3.250000,-83.158569,-6.510376,5.004875,-12.492125,-18.511862,-11.745411
3.256250,-83.051132,-6.493162,5.331399,-12.515746,-20.596573,-11.862962
3.262500,-82.961403,-6.474000,4.009461,-12.532693,-22.701927,-11.983600
3.268750,-82.889511,-6.453353,3.118826,-12.542806,-24.831182,-12.107623
3.275000,-82.833786,-6.431369,2.552349,-12.545399,-26.984720,-12.234614
3.281250,-82.791382,-6.408106,2.187790,-12.540004,-29.163305,-12.364320
3.287500,-82.760635,-6.383247,1.890367,-12.526661,-31.369421,-12.497128
3.293750,-82.740334,-6.356538,1.521603,-12.505710,-33.607899,-12.633252
3.300000,-82.731194,-6.327852,0.950214,-12.477103,-35.880241,-12.772899
3.306250,-82.735748,-6.297277,0.055220,-12.440777,-38.186424,-12.915796
3.312500,-82.757034,-6.265286,-1.270792,-12.396946,-40.528755,-13.062304
3.318750,-82.796951,-6.232257,-0.949095,-12.346405,-42.912369,-13.212955
3.325000,-82.855469,-6.198561,-2.296062,-12.289069,-45.339100,-13.367642
3.331250,-82.931404,-6.164236,-3.228479,-12.224586,-47.807865,-13.526253
3.337500,-83.022034,-6.129129,-3.855743,-12.152949,-50.320877,-13.688814
3.343750,-83.126518,-6.092916,-4.305771,-12.074354,-52.881912,-13.855891
3.350000,-83.244843,-6.055438,-4.714208,-11.988590,-55.492771,-14.027745
3.356250,-83.378510,-6.016725,-5.216539,-11.895045,-58.150787,-14.204349
3.362500,-83.530975,-5.977132,-5.947268,-11.793335,-60.854481,-14.385721
3.368750,-83.704498,-5.937177,-7.033760,-11.683537,-63.605095,-14.572447
3.375000,-83.899773,-5.897554,-8.585203,-11.565702,-66.400604,-14.764559
3.381250,-84.115730,-5.858329,-8.517478,-11.439488,-69.238281,-14.961882
3.387500,-84.349487,-5.819474,-8.252032,-11.304827,-72.116219,-15.164412
3.393750,-84.598518,-5.780759,-9.224502,-11.161983,-75.035530,-15.372111
3.400000,-84.861908,-5.741940,-9.389133,-11.011525,-77.995308,-15.584975
3.406250,-85.140724,-5.702846,-8.908490,-10.853531,-80.992943,-15.802207
3.412500,-85.438004,-5.663688,-7.981693,-10.688603,-84.027176,-16.023382
3.418750,-85.757019,-5.624908,-6.833930,-10.517262,-87.096855,-16.247931
3.425000,-86.100426,-5.587279,-5.702052,-10.340060,-90.201660,-16.474957
3.431250,-86.468742,-5.551355,-4.825526,-10.157234,-93.339195,-16.703594
3.437500,-86.860992,-5.517613,-4.435296,-9.969308,-96.506607,-16.933006
3.443750,-87.273872,-5.486085,-2.573086,-9.776621,-99.703247,-17.161856
3.450000,-87.704697,-5.456631,-0.777975,-9.579408,-102.925819,-17.388851
3.456250,-88.151878,-5.429275,-0.588964,-9.377931,-106.169731,-17.612701
3.462500,-88.615150,-5.404017,-0.047874,-9.172642,-109.430031,-17.831940
3.468750,-89.095230,-5.381117,0.616614,-8.963931,-112.703918,-18.044912
3.475000,-89.593620,-5.361088,1.167274,-8.752046,-115.985954,-18.250242
3.481250,-90.111252,-5.344577,1.368508,-8.537570,-119.269630,-18.446272
3.487500,-90.647415,-5.332186,0.996876,-8.321366,-122.551704,-18.631897
3.493750,-91.198578,-5.324212,-0.144023,-8.104342,-125.829208,-18.805626
3.500000,-91.761200,-5.320714,-2.213582,-7.886864,-129.098022,-18.965382
3.506250,-92.330620,-5.321552,-3.162900,-7.669987,-132.356567,-19.110039
3.512500,-92.904549,-5.326529,-4.425885,-7.454887,-133.713623,-19.238083
3.518750,-93.481834,-5.335701,-5.528062,-7.242615,-134.793106,-19.348473
3.525000,-94.062225,-5.349206,-7.899177,-7.033737,-135.061279,-19.439547
3.531250,-94.645782,-5.367535,-9.488724,-6.829294,-134.028473,-19.510601
3.537500,-95.231483,-5.391095,-10.459476,-6.630456,-131.271561,-19.561138
3.543750,-95.816109,-5.420183,-11.005284,-6.437798,-126.450745,-19.590841
3.550000,-96.394295,-5.454782,-11.341818,-6.251737,-119.329185,-19.599333
3.556250,-96.960251,-5.494538,-11.701464,-6.073092,-109.789284,-19.586922
3.562500,-97.508568,-5.538949,-12.321383,-5.903121,-97.835663,-19.554773
3.568750,-98.035057,-5.587412,-13.422299,-5.742244,-83.591164,-19.503521
3.575000,-98.536919,-5.639552,-13.032742,-5.590569,-67.290710,-19.433542
3.581250,-99.012947,-5.695035,-12.683613,-5.448601,-49.276085,-19.345909
3.587500,-99.462418,-5.753632,-12.013829,-5.317279,-29.978647,-19.242428
3.593750,-99.883064,-5.815218,-12.571057,-5.197082,-9.890294,-19.124775
3.600000,-100.272331,-5.879448,-12.417336,-5.087848,10.458624,-18.994177
3.606250,-100.627014,-5.945809,-11.822472,-4.989397,30.523466,-18.851910
3.612500,-100.943535,-6.013467,-11.083088,-4.902340,49.769928,-18.700382
3.618750,-101.219582,-6.081493,-10.502985,-4.826948,67.701370,-18.541431
3.625000,-101.454742,-6.149148,-10.373268,-4.762805,83.893074,-18.376394
3.631250,-101.650650,-6.215775,-10.963643,-4.709395,98.006401,-18.206257
3.637500,-101.809341,-6.280903,-10.342518,-4.666533,109.801430,-18.032513
3.643750,-101.934158,-6.344194,-10.060215,-4.633938,119.153877,-17.856754
3.650000,-102.027763,-6.405533,-9.751843,-4.611029,126.066147,-17.680193
3.656250,-102.092010,-6.464667,-9.052677,-4.597108,130.664230,-17.503660
3.662500,-102.127625,-6.521209,-9.513600,-4.591639,133.185471,-17.328461
3.668750,-102.135399,-6.574691,-9.203584,-4.594209,133.972717,-17.155607
3.675000,-102.117035,-6.624622,-8.395636,-4.604091,133.455170,-16.985714
3.681250,-102.074333,-6.670638,-7.385861,-4.620634,132.127518,-16.819719
3.687500,-102.011391,-6.712561,-6.480343,-4.643291,130.522385,-16.657887
3.693750,-101.931755,-6.750419,-5.977963,-4.671703,127.018272,-16.501179
3.700000,-101.839012,-6.784252,-6.154437,-4.705327,123.510109,-16.349873
3.706250,-101.735962,-6.814237,-5.081075,-4.743719,119.997719,-16.204470
3.712500,-101.624054,-6.840352,-4.311164,-4.786173,116.480728,-16.065107
3.718750,-101.504539,-6.862525,-3.486456,-4.832257,112.958168,-15.932286
3.725000,-101.378304,-6.880579,-2.249361,-4.881885,109.426193,-15.806726
3.731250,-101.247589,-6.894410,-2.155484,-4.934905,105.882423,-15.689142
3.737500,-101.115440,-6.904023,-1.277361,-4.990800,102.326080,-15.580065
3.743750,-100.984535,-6.909583,0.109842,-5.048853,98.756248,-15.479635
3.750000,-100.858452,-6.911461,1.703785,-5.109064,95.169411,-15.388482
3.756250,-100.739655,-6.909736,3.193422,-5.171319,91.561699,-15.307423
3.762500,-100.629509,-6.904676,4.278483,-5.235393,87.931900,-15.236824
3.768750,-100.529198,-6.896483,4.683081,-5.300632,84.280792,-15.176871
3.775000,-100.439888,-6.885240,6.335103,-5.366567,80.606689,-15.127613
3.781250,-100.362869,-6.871177,7.678193,-5.433161,76.906914,-15.089462
3.787500,-100.299637,-6.854460,9.068503,-5.500422,73.177521,-15.063279
3.793750,-100.252151,-6.835546,8.970572,-5.568006,69.416176,-15.048977
3.800000,-100.220573,-6.814785,9.348702,-5.635391,65.621208,-15.046545
3.806250,-100.205238,-6.792340,9.974301,-5.702460,61.787445,-15.056532
3.812500,-100.205345,-6.768351,10.608409,-5.769127,57.907455,-15.079250
3.818750,-100.220627,-6.742979,11.014242,-5.835293,53.975140,-15.115294
3.825000,-100.251419,-6.716359,10.969847,-5.900834,49.986210,-15.164783
3.831250,-100.298370,-6.688797,10.277287,-5.965636,45.934975,-15.228137
3.837500,-100.362625,-6.660647,8.772541,-6.029535,41.816116,-15.305511
3.843750,-100.444778,-6.632383,8.503222,-6.092303,37.625355,-15.397038
3.850000,-100.544617,-6.604337,8.034927,-6.153990,33.356728,-15.503014
3.856250,-100.660805,-6.576790,5.944994,-6.214581,29.005405,-15.623549
3.862500,-100.791428,-6.549800,4.315709,-6.273922,24.568705,-15.757947
3.868750,-100.934753,-6.523288,3.041892,-6.331755,20.041670,-15.905333
3.875000,-101.089676,-6.497131,1.999865,-6.388092,15.418033,-16.064331
3.881250,-101.256493,-6.471397,1.056482,-6.443011,10.689694,-16.232983
3.887500,-101.436081,-6.446373,0.076371,-6.496429,5.847944,-16.408953
3.893750,-101.629295,-6.422390,-1.072048,-6.548212,0.883296,-16.589029
3.900000,-101.835800,-6.399699,-2.512026,-6.598663,-4.215718,-16.770557
3.906250,-102.053238,-6.378440,-4.351273,-6.648042,-9.462888,-16.950615
3.912500,-102.278198,-6.358290,-4.506101,-6.696325,-14.870143,-17.125713
3.918750,-102.507172,-6.338746,-4.396466,-6.743374,-20.448261,-17.292337
3.925000,-102.738846,-6.319278,-5.457563,-6.789600,-26.211769,-17.447140
3.931250,-102.973701,-6.299465,-5.643446,-6.835321,-32.174194,-17.586960
3.937500,-103.215179,-6.279422,-5.116282,-6.880529,-38.345070,-17.708294
3.943750,-103.466156,-6.259526,-4.071341,-6.924877,-44.727005,-17.807589
3.950000,-103.728981,-6.240272,-2.731181,-6.968606,-51.321716,-17.882149
3.956250,-104.003387,-6.221945,-1.333195,-7.011984,-58.125156,-17.929667
3.962500,-104.287369,-6.204506,-0.114493,-7.054884,-65.126289,-17.948364
3.968750,-104.578018,-6.187706,0.700887,-7.097056,-72.304039,-17.936394
3.975000,-104.873436,-6.171054,3.075716,-7.138321,-77.741676,-17.892502
3.981250,-105.174995,-6.154324,5.472797,-7.178959,-83.034157,-17.816196
3.987500,-105.486000,-6.137783,6.356342,-7.218921,-87.617569,-17.707247
3.993750,-105.810371,-6.122211,7.690024,-7.258144,-90.962952,-17.565830
4.000000,-106.150269,-6.108308,9.247390,-7.296671,-92.606033,-17.392532
4.006250,-106.504944,-6.096669,10.790658,-7.334543,-92.170845,-17.188938
4.012500,-106.870331,-6.087356,12.084392,-7.371658,-89.383263,-16.956888
4.018750,-107.241821,-6.080071,12.906249,-7.408031,-84.088394,-16.699123
4.025000,-107.615776,-6.074214,13.057068,-7.443848,-76.256165,-16.418819
4.031250,-107.990913,-6.069514,12.373562,-7.478952,-65.982307,-16.119282
4.037500,-108.369049,-6.065913,12.904160,-7.512910,-53.482944,-15.803800
4.043750,-108.754082,-6.063971,13.214841,-7.545518,-39.085236,-15.475927
4.050000,-109.148193,-6.064526,11.882143,-7.576944,-23.208231,-15.139410
4.056250,-109.551109,-6.068233,10.989300,-7.606961,-6.338567,-14.797414
4.062500,-109.958351,-6.075305,10.432169,-7.635142,10.994321,-14.452996
4.068750,-110.363670,-6.085297,10.088705,-7.661537,28.243134,-14.109112
4.075000,-110.760971,-6.097424,9.825618,-7.686553,44.870140,-13.769212
4.081250,-111.146622,-6.110797,9.509143,-7.710161,60.377697,-13.435644
4.087500,-111.522278,-6.125031,9.010538,-7.731978,74.333626,-13.109966
4.093750,-111.891960,-6.140378,8.207886,-7.752203,86.388168,-12.793982
4.100000,-112.260483,-6.157587,6.992024,-7.771698,96.289215,-12.489359
4.106250,-112.629372,-6.177251,7.445275,-7.790583,103.905159,-12.196934
4.112500,-112.995842,-6.199720,6.255676,-7.808452,109.228607,-11.916725
4.118750,-113.353714,-6.224680,5.505718,-7.825350,112.372253,-11.648966
4.125000,-113.697899,-6.251273,5.085248,-7.841731,113.559471,-11.394348
4.131250,-114.024094,-6.278501,4.870657,-7.857686,113.121262,-11.153215
4.137500,-114.332779,-6.305721,4.732162,-7.872711,111.478867,-10.925304
4.143750,-114.628090,-6.332878,4.535667,-7.886346,109.118782,-10.710090
4.150000,-114.915276,-6.360516,4.146819,-7.898697,106.563164,-10.507726
4.156250,-115.198074,-6.389373,3.442258,-7.909979,102.181946,-10.318405
4.162500,-115.475410,-6.419962,2.318258,-7.919869,97.864471,-10.141779
4.168750,-115.742279,-6.452127,2.860388,-7.928160,93.606323,-9.977440
4.175000,-115.992096,-6.484915,1.753466,-7.935021,89.401443,-9.825346
4.181250,-116.220474,-6.517277,1.081612,-7.940606,85.243950,-9.685278
4.187500,-116.426476,-6.548218,0.740590,-7.944935,81.131241,-9.556908
4.193750,-116.614738,-6.577421,0.608620,-7.948199,77.059410,-9.439984
4.200000,-116.790916,-6.605171,0.553668,-7.950723,73.024818,-9.334352
4.206250,-116.961388,-6.632222,0.440517,-7.952681,69.024628,-9.239872
4.212500,-117.128738,-6.659207,0.137032,-7.953920,65.055931,-9.156096
4.218750,-117.290886,-6.686388,-0.480543,-7.954602,61.116253,-9.082792
4.225000,-117.443825,-6.713437,-1.519660,-7.954823,57.201889,-9.019892
4.231250,-117.583260,-6.739494,-0.898078,-7.954288,53.310516,-8.966826
4.237500,-117.707870,-6.763838,-1.931167,-7.952808,49.439976,-8.923314
4.243750,-117.820213,-6.786059,-2.537221,-7.950236,45.587467,-8.889233
4.250000,-117.925423,-6.806416,-2.821390,-7.946540,41.750092,-8.864343
4.256250,-118.029076,-6.825495,-2.904031,-7.941380,37.927231,-8.848206
4.262500,-118.134346,-6.844130,-2.915365,-7.934583,34.117649,-8.840435
4.268750,-118.240425,-6.862589,-2.990687,-7.926498,30.319105,-8.841110
4.275000,-118.343262,-6.880757,-3.261127,-7.917451,26.528793,-8.850095
4.281250,-118.438713,-6.897863,-3.845808,-7.907246,22.748697,-8.866932
4.287500,-118.524231,-6.913321,-4.848168,-7.896038,18.978764,-8.891233
4.293750,-118.601601,-6.926694,-4.186357,-7.884181,15.215991,-8.922986
4.300000,-118.674774,-6.937955,-5.176785,-7.871850,11.459344,-8.962115
4.306250,-118.748001,-6.947615,-5.734935,-7.858968,7.709175,-9.008275
4.312500,-118.824768,-6.956272,-5.967288,-7.845371,3.965752,-9.060995
4.318750,-118.905632,-6.964408,-5.997789,-7.831110,0.228228,-9.120395
4.325000,-118.988281,-6.972064,-5.960071,-7.816128,-3.504969,-9.186303
4.331250,-119.069496,-6.978798,-5.989040,-7.800038,-7.233563,-9.258435
4.337500,-119.147209,-6.984197,-6.216990,-7.782492,-10.958134,-9.336600
4.343750,-119.222176,-6.988006,-6.767335,-7.763526,-14.681352,-9.420773
4.350000,-119.297714,-6.990436,-7.745626,-7.742918,-18.403643,-9.510732
4.356250,-119.377129,-6.991969,-7.066904,-7.720433,-22.126474,-9.605929
4.362500,-119.461540,-6.993036,-8.046957,-7.696078,-25.851254,-9.706004
4.368750,-119.550652,-6.994013,-8.603964,-7.670274,-29.580933,-9.810915
4.375000,-119.640831,-6.994688,-8.842800,-7.643290,-33.316959,-9.920249
4.381250,-119.729172,-6.994534,-8.883245,-7.615012,-37.056950,-10.033269
4.387500,-119.813400,-6.992949,-8.856716,-7.585660,-40.801922,-10.149468
4.393750,-119.893860,-6.989451,-8.900985,-7.555777,-44.553036,-10.268492
4.400000,-119.975540,-6.984159,-9.148994,-7.525737,-48.310719,-10.390143
4.406250,-120.061668,-6.977488,-9.721726,-7.495552,-52.073006,-10.513602
4.412500,-120.156128,-6.970119,-10.725204,-7.465356,-55.839607,-10.638474
4.418750,-120.258812,-6.962469,-10.078671,-7.435396,-59.612263,-10.764599
4.425000,-120.366951,-6.954550,-11.097166,-7.405707,-63.391201,-10.891463
4.431250,-120.477142,-6.945884,-11.696012,-7.375934,-67.173668,-11.018418
4.437500,-120.587288,-6.935956,-11.979996,-7.346007,-70.960251,-11.144949
4.443750,-120.698090,-6.924295,-12.071363,-7.316119,-74.751854,-11.271002
4.450000,-120.813446,-6.911097,-12.100262,-7.286268,-78.548225,-11.396221
4.456250,-120.939514,-6.896926,-12.198225,-7.256123,-82.347191,-11.520072
4.462500,-121.080048,-6.882771,-12.495106,-7.225810,-86.149376,-11.642138
4.468750,-121.236252,-6.869359,-13.112857,-7.195627,-89.957588,-11.762614
4.475000,-121.404884,-6.856934,-14.156276,-7.165658,-93.772148,-11.880994
4.481250,-121.581169,-6.845198,-13.539423,-7.135856,-97.592888,-11.996777
4.487500,-121.760674,-6.833573,-12.683451,-7.106229,-101.419922,-12.109466
4.493750,-121.942131,-6.821384,-13.022647,-7.076805,-105.253189,-12.218753
4.500000,-122.127380,-6.808424,-12.509657,-7.047454,-109.092453,-12.324180
4.506250,-122.321480,-6.795078,-11.308189,-7.018097,-112.936256,-12.425556
4.512500,-122.528862,-6.782287,-9.617377,-6.988879,-116.784134,-12.523048
4.518750,-122.751457,-6.770971,-7.659283,-6.959578,-120.632889,-12.616505
4.525000,-122.986618,-6.761648,-5.668706,-6.929705,-124.478226,-12.705789
4.531250,-123.228111,-6.754104,-3.883063,-6.899361,-126.424751,-12.791034
4.537500,-123.469170,-6.747791,-2.532084,-6.868884,-128.093582,-12.872790
4.543750,-123.705544,-6.741914,0.346629,-6.838479,-128.950104,-12.951212
4.550000,-123.936493,-6.735804,3.221021,-6.807817,-128.497498,-13.025787
4.556250,-124.165344,-6.729390,4.556703,-6.776908,-126.304901,-13.096478
4.562500,-124.396790,-6.723223,6.313040,-6.746606,-122.032829,-13.163763
4.568750,-124.634354,-6.718064,8.262117,-6.717347,-115.442505,-13.227827
4.575000,-124.879066,-6.714687,10.170542,-6.688979,-106.407448,-13.288556
4.581250,-125.127037,-6.713284,11.805187,-6.661499,-94.923050,-13.345710
4.587500,-125.372963,-6.713359,12.941205,-6.635551,-81.112839,-13.399985
4.593750,-125.610756,-6.713960,13.379850,-6.611315,-65.213676,-13.451741
4.600000,-125.837967,-6.714142,12.962636,-6.588255,-47.561016,-13.500335
4.606250,-126.057114,-6.713359,13.738507,-6.566108,-28.579390,-13.545443
4.612500,-126.273277,-6.711665,14.271231,-6.545228,-8.763602,-13.587385
4.618750,-126.492081,-6.709624,13.137761,-6.525799,11.354369,-13.626574
4.625000,-126.718102,-6.708095,12.425251,-6.507221,31.232916,-13.662643
4.631250,-126.950821,-6.707583,12.031896,-6.488925,50.342724,-13.695514
4.637500,-127.186775,-6.708104,11.833777,-6.471391,68.189705,-13.726061
4.643750,-127.420319,-6.709151,11.698199,-6.455024,84.347580,-13.755368
4.650000,-127.647469,-6.709857,11.495099,-6.439293,98.480560,-13.783014
4.656250,-127.867485,-6.709584,11.097687,-6.424004,110.355293,-13.809083
4.662500,-128.083939,-6.708166,10.381443,-6.409576,119.848778,-13.833913
4.668750,-128.302048,-6.705931,9.238912,-6.396560,126.958069,-13.858058
4.675000,-128.527267,-6.703793,9.755179,-6.384881,131.805939,-13.881277
4.681250,-128.762177,-6.702688,8.617447,-6.374222,134.631302,-13.903308
4.687500,-129.004883,-6.703147,7.906858,-6.364778,135.771347,-13.924642
4.693750,-129.250870,-6.705099,7.514461,-6.356622,135.651077,-13.945506
4.700000,-129.494400,-6.707988,7.318404,-6.349463,134.763382,-13.965755
4.706250,-129.731323,-6.711015,7.188074,-6.343054,133.641190,-13.985245
4.712500,-129.961105,-6.713691,6.986609,-6.337306,130.658478,-14.004264
4.718750,-130.186737,-6.715791,6.581292,-6.332325,127.705643,-14.022967
4.725000,-130.412720,-6.717638,5.850889,-6.327991,124.778831,-14.041465
4.731250,-130.642410,-6.719867,4.691767,-6.324398,121.874344,-14.060084
4.737500,-130.876358,-6.723014,5.187667,-6.321881,118.987717,-14.079125
4.743750,-131.111923,-6.727160,4.025008,-6.320599,116.114998,-14.099331
4.750000,-131.344971,-6.731936,3.289685,-6.320729,113.255730,-14.120891
4.756250,-131.571381,-6.736619,2.877614,-6.322735,110.407570,-14.144703
4.762500,-131.788910,-6.740441,2.667099,-6.327080,107.567024,-14.171692
4.768750,-131.999557,-6.743010,2.528026,-6.333853,104.733772,-14.202623
4.775000,-132.207748,-6.744444,2.327582,-6.343137,101.907440,-14.238098
4.781250,-132.419357,-6.745307,1.933877,-6.355455,99.083977,-14.279218
4.787500,-132.637817,-6.746418,1.225196,-6.371001,96.260666,-14.327351
4.793750,-132.864197,-6.748435,0.100350,-6.389230,93.436440,-14.383256
4.800000,-133.095322,-6.751404,0.648643,-6.409164,90.614319,-14.447162
