Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338031944.21,2012_05_26_12:32:24,+298.06,+297.90,+02.989,+297.78,+297.21,+298.15,+297.76,+298.18,243.387985,-6.620
3.006250,-104.424255,-13.829856,6.400208,-4.402658,-92.619713,-11.698103
3.012500,-104.424255,-13.829856,6.400208,-4.402658,-92.619713,-11.698103
3.018750,-104.424255,-13.829856,6.400208,-4.402658,-92.619713,-11.698103
3.025000,-104.424255,-13.829856,6.400208,-4.402658,-92.619713,-11.698103
3.031250,-104.424255,-13.829856,6.400208,-4.402658,-92.619713,-11.698103
3.037500,-104.424255,-13.829856,6.400208,-4.402658,-92.619713,-11.698103
3.043750,-104.424255,-13.829856,6.400208,-4.402658,-92.619713,-11.698103
3.050000,-104.424255,-13.829856,6.400208,-4.402658,-92.619713,-11.698103
3.056250,-104.424255,-13.829856,6.400208,-4.402658,-92.619713,-11.698103
3.062500,-104.424255,-13.829856,6.400208,-4.402658,-92.619713,-11.698103
3.068750,-104.424255,-13.829856,6.400208,-4.402658,-92.619713,-11.698103
3.075000,-104.424255,-13.829856,6.400208,-4.402658,-92.619713,-11.698103
3.081250,-104.424255,-13.829856,6.400208,-4.402658,-92.619713,-11.698103
3.087500,-104.424255,-13.829856,6.400208,-4.402658,-92.619713,-11.698103
3.093750,-104.424255,-13.660617,6.400208,-4.472830,-92.619713,-12.105035
3.100000,-105.822975,-13.505387,5.925304,-4.540989,-94.385063,-12.496526
3.106250,-107.229767,-13.362732,4.271886,-4.606874,-94.624161,-12.867532
3.112500,-108.633202,-13.231405,3.486042,-4.670244,-92.990295,-13.213097
3.118750,-110.025917,-13.110286,3.403130,-4.731019,-89.235649,-13.528175
3.125000,-111.405296,-12.998270,3.824299,-4.789077,-83.221428,-13.808354
3.131250,-112.770027,-12.894861,4.525994,-4.844187,-74.924835,-14.049841
3.137500,-114.119629,-12.799752,5.270888,-4.896469,-64.439117,-14.249714
3.143750,-115.453270,-12.712721,5.819081,-4.945878,-51.970043,-14.405865
3.150000,-116.766296,-12.633256,5.943086,-4.992528,-37.825058,-14.517185
3.156250,-118.055122,-12.560495,7.603744,-5.036395,-22.395748,-14.583229
3.162500,-119.316185,-12.493625,9.264391,-5.077620,-6.138763,-14.604500
3.168750,-120.548401,-12.431908,9.388900,-5.116277,10.446830,-14.582398
3.175000,-121.751953,-12.374914,9.938511,-5.152496,26.848055,-14.519024
3.181250,-122.926231,-12.322212,10.685462,-5.186304,42.564705,-14.417165
3.187500,-124.073792,-12.273674,11.390842,-5.217890,57.132664,-14.280540
3.193750,-125.193237,-12.229115,11.819637,-5.247412,70.150505,-14.113151
3.200000,-126.284088,-12.188043,11.749804,-5.274843,81.298790,-13.919454
3.206250,-127.343803,-12.149946,10.983541,-5.300134,90.353889,-13.704287
3.212500,-128.372971,-12.114405,9.358061,-5.323244,97.202415,-13.472201
3.218750,-129.372925,-12.081215,8.921307,-5.344158,101.847572,-13.227499
3.225000,-130.345474,-12.050281,8.239072,-5.362827,104.407867,-12.973903
3.231250,-131.291672,-12.021690,5.889765,-5.379172,105.114769,-12.714780
3.237500,-132.211945,-11.995554,3.956491,-5.393078,104.300629,-12.453011
3.243750,-133.105896,-11.971518,2.333666,-5.404531,102.380341,-12.191036
3.250000,-133.972763,-11.949367,0.898554,-5.413526,99.834351,-11.931322
3.256250,-134.810852,-11.928556,-0.481623,-5.420157,97.181015,-11.675900
3.262500,-135.620941,-11.908650,-1.941884,-5.424404,92.783371,-11.426359
3.268750,-136.406311,-11.889647,-3.613966,-5.426349,88.518845,-11.183670
3.275000,-137.168610,-11.871718,-5.620550,-5.426037,84.371712,-10.948639
3.281250,-137.909607,-11.855138,-8.069201,-5.423722,80.324577,-10.721890
