Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338032157.69,2012_05_26_12:35:57,+298.07,+297.91,+02.989,+297.79,+297.22,+298.16,+297.77,+298.20,243.395370,-6.624
3.006250,150.847809,-9.774920,-4.110537,-4.665616,34.613369,-10.269351
3.012500,150.847809,-9.774920,-4.110537,-4.665616,34.613369,-10.269351
3.018750,150.847809,-9.774920,-4.110537,-4.665616,34.613369,-10.269351
3.025000,150.847809,-9.774920,-4.110537,-4.665616,34.613369,-10.269351
3.031250,150.847809,-9.774920,-4.110537,-4.665616,34.613369,-10.269351
3.037500,150.847809,-9.774920,-4.110537,-4.665616,34.613369,-10.269351
3.043750,150.847809,-9.774920,-4.110537,-4.665616,34.613369,-10.269351
3.050000,150.847809,-9.774920,-4.110537,-4.665616,34.613369,-10.269351
3.056250,150.847809,-9.774920,-4.110537,-4.665616,34.613369,-10.269351
3.062500,150.847809,-9.774920,-4.110537,-4.665616,34.613369,-10.269351
3.068750,150.847809,-9.774920,-4.110537,-4.665616,34.613369,-10.269351
3.075000,150.847809,-9.774920,-4.110537,-4.665616,34.613369,-10.269351
3.081250,150.847809,-9.774920,-4.110537,-4.665616,34.613369,-10.269351
3.087500,150.847809,-9.774920,-4.110537,-4.665616,34.613369,-10.269351
3.093750,150.847809,-9.849870,-4.110537,-4.727202,34.613369,-10.222112
3.100000,150.197021,-9.919092,-4.567200,-4.786448,32.438770,-10.191280
3.106250,149.587875,-9.982838,-6.201521,-4.843255,30.272163,-10.175333
3.112500,149.014648,-10.041229,-6.966756,-4.897275,28.120487,-10.172610
3.118750,148.474518,-10.094370,-7.026882,-4.948293,25.988207,-10.181640
3.125000,147.964966,-10.141907,-6.581318,-4.996285,23.878283,-10.201296
3.131250,147.484039,-10.183689,-5.854734,-5.041204,21.791950,-10.230515
3.137500,147.027954,-10.219637,-5.083729,-5.083051,19.729691,-10.268382
3.143750,146.591995,-10.249887,-4.507902,-5.121666,17.690584,-10.313843
3.150000,146.170258,-10.274886,-4.355300,-5.157358,15.672587,-10.366260
3.156250,145.757416,-10.295459,-2.665900,-5.190333,13.672379,-10.425010
3.162500,145.350403,-10.312325,-0.975562,-5.220686,11.686930,-10.489482
3.168750,144.949020,-10.325951,-0.820057,-5.248380,9.714450,-10.558803
3.175000,144.555206,-10.336553,-0.238128,-5.273651,7.751126,-10.632366
3.181250,144.169846,-10.344109,0.541505,-5.296765,5.793425,-10.709706
3.187500,143.793991,-10.348456,1.280440,-5.317984,3.838302,-10.790381
3.193750,143.427795,-10.349504,1.744506,-5.337330,1.883421,-10.874020
3.200000,143.070023,-10.347148,1.712214,-5.354672,-0.072537,-10.960160
3.206250,142.718414,-10.341807,0.985622,-5.370182,-2.031646,-11.048541
3.212500,142.370743,-10.333666,-0.598796,-5.383864,-3.995054,-11.139214
3.218750,142.026230,-10.323088,-0.992035,-5.395675,-5.964342,-11.232149
3.225000,141.685318,-10.310059,-1.627586,-5.405413,-7.941043,-11.327196
3.231250,141.349091,-10.294518,-2.031797,-5.412877,-9.925661,-11.424614
3.237500,141.018280,-10.276344,-3.638561,-5.418066,-11.920880,-11.524652
3.243750,140.691864,-10.255348,-4.400088,-5.421011,-13.929008,-11.627506
3.250000,140.367432,-10.231783,-4.478683,-5.421659,-15.952304,-11.733326
3.256250,140.042480,-10.205980,-4.071224,-5.419911,-17.992785,-11.842040
3.262500,139.715210,-10.178535,-3.399719,-5.415831,-20.053957,-11.953747
3.268750,139.385376,-10.149771,-2.701029,-5.409614,-22.139851,-12.068582
3.275000,139.054535,-10.119866,-2.214106,-5.401504,-24.254293,-12.186579
3.281250,138.725357,-10.088765,-2.166573,-5.391541,-26.398972,-12.307632
3.287500,138.399399,-10.056174,-0.597900,-5.379782,-28.575691,-12.431476
3.293750,138.078323,-10.021836,0.953709,-5.366608,-30.787535,-12.558289
3.300000,137.761536,-9.985472,0.949882,-5.352200,-33.036041,-12.688250
3.306250,137.446701,-9.947311,1.351481,-5.336676,-35.323017,-12.821239
3.312500,137.131836,-9.907611,1.931191,-5.319888,-37.647785,-12.957388
3.318750,136.815048,-9.866825,2.450289,-5.302053,-40.011967,-13.096856
3.325000,136.496475,-9.825253,2.671299,-5.283427,-42.417953,-13.240054
3.331250,136.177994,-9.783048,2.372278,-5.264052,-44.866447,-13.387174
3.337500,135.862320,-9.739959,1.356499,-5.243821,-47.357903,-13.538201
3.343750,135.551636,-9.695704,-0.539135,-5.222950,-49.892544,-13.693381
3.350000,135.247040,-9.649932,-1.268004,-5.201687,-52.472450,-13.853042
3.356250,134.947281,-9.602532,-2.263142,-5.179974,-55.097084,-14.017438
3.362500,134.650421,-9.553662,-3.051107,-5.157735,-57.768223,-14.186414
3.368750,134.354767,-9.503585,-5.065766,-5.134960,-60.484272,-14.360112
3.375000,134.059616,-9.452630,-6.262134,-5.111959,-63.246922,-14.538727
3.381250,133.766205,-9.401007,-6.804223,-5.088932,-66.056396,-14.722176
3.387500,133.477753,-9.348286,-6.890552,-5.065761,-68.911255,-14.910205
3.393750,133.197388,-9.293883,-6.744843,-5.042642,-71.811859,-15.102458
3.400000,132.926361,-9.237230,-6.606015,-5.019769,-74.757988,-15.298531
3.406250,132.664185,-9.177757,-6.713685,-4.997250,-77.747421,-15.498046
3.412500,132.407364,-9.115390,-7.297924,-4.975213,-80.778740,-15.699996
3.418750,132.152130,-9.050203,-6.399354,-4.953844,-83.849876,-15.903880
3.425000,131.895187,-8.982662,-5.558288,-4.933409,-86.959473,-16.109093
3.431250,131.635300,-8.913102,-4.419053,-4.914070,-90.103432,-16.314705
3.437500,131.373108,-8.841599,-4.538023,-4.895999,-93.280167,-16.519896
3.443750,131.110641,-8.767917,-3.991527,-4.879490,-96.485924,-16.723684
3.450000,130.849533,-8.691650,-3.060175,-4.864915,-99.720856,-16.925140
3.456250,130.590561,-8.612277,-2.047699,-4.852552,-102.982628,-17.123030
3.462500,130.332138,-8.529553,-1.265628,-4.842803,-106.269295,-17.316120
3.468750,130.070831,-8.443357,-1.017376,-4.836129,-109.580894,-17.503042
3.475000,129.803085,-8.353812,-1.584397,-4.832929,-112.913971,-17.682333
3.481250,129.524323,-8.261340,-1.042956,-4.833551,-116.268051,-17.852495
3.487500,129.232895,-8.166240,-0.951141,-4.838385,-119.638924,-18.012337
3.493750,128.926910,-8.068602,-0.955264,-4.848091,-123.027550,-18.160458
3.500000,128.607010,-7.968271,-0.700314,-4.863037,-126.432640,-18.295635
3.506250,128.272369,-7.864978,-1.743159,-4.883692,-129.852173,-18.416393
3.512500,127.920868,-7.758463,-2.160085,-4.910440,-131.391113,-18.521288
3.518750,127.549438,-7.648692,-2.231550,-4.943893,-132.670395,-18.609509
3.525000,127.151711,-7.536029,-2.259687,-4.984281,-133.157761,-18.679747
3.531250,126.721962,-7.421194,-2.553359,-5.031919,-132.360504,-18.731577
3.537500,126.255676,-7.305008,-3.415247,-5.087379,-129.851715,-18.764610
3.543750,125.750549,-7.188265,-5.124190,-5.151052,-125.289024,-18.779161
3.550000,125.206718,-7.071558,-5.750722,-5.222987,-118.434990,-18.775522
3.556250,124.625000,-6.955257,-6.847015,-5.302930,-109.163574,-18.753881
3.562500,124.006622,-6.839543,-8.054748,-5.391343,-97.477158,-18.715410
3.568750,123.351440,-6.724696,-9.015732,-5.488753,-83.501953,-18.661745
3.575000,122.658951,-6.611254,-9.383274,-5.594702,-67.472839,-18.593773
3.581250,121.927261,-6.499884,-10.739285,-5.708410,-49.727882,-18.512102
3.587500,121.154640,-6.391597,-11.203731,-5.829545,-30.695309,-18.417963
3.593750,120.341980,-6.287305,-11.115430,-5.958190,-10.869040,-18.313480
3.600000,119.491142,-6.187821,-10.841624,-6.093716,9.220323,-18.199759
3.606250,118.606987,-6.093614,-10.757606,-6.234759,29.032774,-18.077551
3.612500,117.694336,-6.004909,-11.234583,-6.380102,48.037796,-17.948105
3.618750,116.757881,-5.921725,-10.455700,-6.529069,65.742531,-17.812998
3.625000,115.801117,-5.844172,-10.087421,-6.680812,81.719177,-17.673689
3.631250,114.826736,-5.772366,-9.879465,-6.833765,95.632126,-17.530813
3.637500,113.836250,-5.706717,-9.575817,-6.986653,107.247116,-17.385040
3.643750,112.831703,-5.647508,-8.928453,-7.138333,116.443024,-17.237284
3.650000,111.816727,-5.595064,-7.707493,-7.287708,123.222420,-17.088453
3.656250,110.795647,-5.549518,-7.604198,-7.433429,127.707909,-16.939287
3.662500,109.773788,-5.510645,-6.833400,-7.574319,130.141159,-16.790594
3.668750,108.756477,-5.478049,-5.810754,-7.709419,130.861328,-16.643324
3.675000,107.748993,-5.451242,-4.962218,-7.837819,130.298080,-16.498280
3.681250,106.754250,-5.429763,-4.702905,-7.958610,128.944885,-16.355953
3.687500,105.774261,-5.413317,-3.248497,-8.071032,127.333527,-16.216940
3.693750,104.810715,-5.401626,-2.293986,-8.174791,123.840462,-16.081890
3.700000,103.864212,-5.394553,-1.612085,-8.269828,120.357185,-15.951206
3.706250,102.937531,-5.391769,-0.957188,-8.356150,116.881493,-15.825525
3.712500,102.032822,-5.392900,-0.078989,-8.433825,113.411331,-15.704816
3.718750,101.153198,-5.397362,1.266359,-8.502871,109.944374,-15.589444
3.725000,100.300850,-5.404458,1.408691,-8.563745,106.477592,-15.479694
3.731250,99.476059,-5.413613,2.161254,-8.617135,103.006279,-15.376348
3.737500,98.678444,-5.424342,3.145416,-8.664001,99.525009,-15.280152
3.743750,97.906929,-5.436273,3.978569,-8.704649,96.031960,-15.191572
3.750000,97.159721,-5.449197,4.292682,-8.739378,92.526840,-15.110570
3.756250,96.435165,-5.462867,3.746123,-8.769093,89.005730,-15.037820
3.762500,95.732849,-5.477068,4.213538,-8.794957,85.462944,-14.974350
3.768750,95.052383,-5.491443,4.107330,-8.817480,81.899055,-14.920441
3.775000,94.392471,-5.505698,3.771666,-8.836834,78.312737,-14.876061
3.781250,93.751640,-5.519640,3.565176,-8.853479,74.702354,-14.841686
3.787500,93.127312,-5.533237,3.843070,-8.868207,71.063820,-14.817972
3.793750,92.517838,-5.546623,3.050025,-8.881602,67.393394,-14.805559
3.800000,91.922005,-5.559926,3.116133,-8.893700,63.690842,-14.804397
3.806250,91.339630,-5.573185,3.763316,-8.904522,59.952896,-14.814692
3.812500,90.770737,-5.586279,4.688273,-8.914349,56.172421,-14.836868
3.818750,90.216263,-5.598979,5.580287,-8.923219,52.343987,-14.871535
3.825000,89.675919,-5.611186,6.136567,-8.931025,48.462368,-14.918896
3.831250,89.148880,-5.622836,6.076737,-8.937674,44.521358,-14.979280
3.837500,88.633675,-5.633948,7.322989,-8.942750,40.515984,-15.052864
3.843750,88.129478,-5.644698,8.316875,-8.945877,36.440220,-15.139821
3.850000,87.636604,-5.654971,9.411667,-8.946882,32.288414,-15.240426
3.856250,87.154999,-5.664621,9.063821,-8.945559,28.055014,-15.354900
3.862500,86.685928,-5.673217,9.229467,-8.941689,23.735172,-15.482942
3.868750,86.229622,-5.680265,9.675619,-8.935094,19.324778,-15.623783
3.875000,85.784187,-5.685336,10.157581,-8.925896,14.818441,-15.776716
3.881250,85.346497,-5.688190,10.432921,-8.914438,10.206448,-15.940331
3.887500,84.911812,-5.689038,10.274160,-8.900969,5.482627,-16.112783
3.893750,84.475334,-5.688199,9.479353,-8.885788,0.637637,-16.291298
3.900000,84.033325,-5.686158,7.880588,-8.869749,-4.339965,-16.473564
3.906250,83.584114,-5.683219,7.520427,-8.853646,-9.463623,-16.657164
3.912500,83.127853,-5.679539,6.963905,-8.838068,-14.744321,-16.838675
3.918750,82.665062,-5.674996,4.789689,-8.823302,-20.192768,-17.014759
3.925000,82.194237,-5.669575,3.078513,-8.810262,-25.822044,-17.182138
3.931250,81.713234,-5.663494,1.722061,-8.799760,-31.645874,-17.337976
3.937500,81.218262,-5.657329,0.600056,-8.791946,-37.674339,-17.478611
3.943750,80.705627,-5.652045,-0.416323,-8.786638,-43.911629,-17.600294
3.950000,80.174042,-5.648610,-1.461284,-8.784161,-50.363163,-17.700056
3.956250,79.625038,-5.647715,-2.667680,-8.784672,-57.026489,-17.775307
3.962500,79.063545,-5.649669,-4.154280,-8.787882,-63.894077,-17.823503
3.968750,78.494720,-5.654319,-6.021593,-8.793090,-70.948822,-17.842325
3.975000,77.923569,-5.661224,-6.183588,-8.799815,-76.274643,-17.829910
3.981250,77.351990,-5.670113,-6.062254,-8.807834,-81.470222,-17.785231
3.987500,76.779488,-5.680986,-7.089061,-8.816674,-85.973457,-17.707617
3.993750,76.204567,-5.694366,-7.214031,-8.825898,-89.256966,-17.596762
4.000000,75.626442,-5.710818,-6.599610,-8.835182,-90.858353,-17.452911
4.006250,75.047501,-5.730615,-5.444195,-8.844350,-90.401436,-17.277016
4.012500,74.472313,-5.753585,-3.971210,-8.852959,-87.613159,-17.070511
4.018750,73.905899,-5.779174,-2.418387,-8.860902,-82.337074,-16.835764
