Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338032526.75,2012_05_26_12:42:06,+298.09,+297.93,+02.989,+297.81,+297.23,+298.18,+297.79,+298.22,243.412231,-6.623
3.006250,-80.067245,-5.677728,1.908547,-10.024791,31.351511,-10.423171
3.012500,-80.067245,-5.677728,1.908547,-10.024791,31.351511,-10.423171
3.018750,-80.067245,-5.677728,1.908547,-10.024791,31.351511,-10.423171
3.025000,-80.067245,-5.677728,1.908547,-10.024791,31.351511,-10.423171
3.031250,-80.067245,-5.677728,1.908547,-10.024791,31.351511,-10.423171
3.037500,-80.067245,-5.677728,1.908547,-10.024791,31.351511,-10.423171
3.043750,-80.067245,-5.677728,1.908547,-10.024791,31.351511,-10.423171
3.050000,-80.067245,-5.677728,1.908547,-10.024791,31.351511,-10.423171
3.056250,-80.067245,-5.677728,1.908547,-10.024791,31.351511,-10.423171
3.062500,-80.067245,-5.677728,1.908547,-10.024791,31.351511,-10.423171
3.068750,-80.067245,-5.677728,1.908547,-10.024791,31.351511,-10.423171
3.075000,-80.067245,-5.677728,1.908547,-10.024791,31.351511,-10.423171
3.081250,-80.067245,-5.677728,1.908547,-10.024791,31.351511,-10.423171
3.087500,-80.067245,-5.677728,1.908547,-10.024791,31.351511,-10.423171
3.093750,-80.067245,-5.771267,1.908547,-10.120983,31.351511,-10.421873
3.100000,-79.978554,-5.859273,1.907668,-10.218040,29.387447,-10.434514
3.106250,-79.858246,-5.941753,1.280129,-10.315104,27.430019,-10.459458
3.112500,-79.710205,-6.018817,-0.137858,-10.411684,25.484634,-10.495541
3.118750,-79.536911,-6.090197,-0.301539,-10.507879,23.553356,-10.542046
3.125000,-79.339836,-6.155555,-0.645430,-10.603538,21.637749,-10.598150
3.131250,-79.121460,-6.214460,-2.591460,-10.698126,19.742271,-10.662703
3.137500,-78.885803,-6.266704,-4.057778,-10.791273,17.868547,-10.734861
3.143750,-78.638084,-6.312336,-5.154836,-10.883114,16.013828,-10.814340
3.150000,-78.384796,-6.351721,-6.008838,-10.973386,14.177060,-10.900473
3.156250,-78.131569,-6.385615,-6.752872,-11.061387,12.358439,-10.992600
3.162500,-77.883003,-6.414635,-7.523750,-11.146401,10.557741,-11.089837
3.168750,-77.640549,-6.439478,-8.457227,-11.228112,8.772113,-11.191733
3.175000,-77.402336,-6.460225,-9.679244,-11.306263,6.997660,-11.297961
3.181250,-77.168121,-6.476847,-11.297801,-11.380395,5.232134,-11.407952
3.187500,-76.937698,-6.489290,-11.228469,-11.449767,3.476589,-11.521131
3.193750,-76.712479,-6.497549,-10.893436,-11.514201,1.727299,-11.637012
3.200000,-76.494835,-6.501762,-11.727868,-11.573334,-0.018280,-11.755416
3.206250,-76.286850,-6.502282,-11.684002,-11.627364,-1.761852,-11.876322
3.212500,-76.091133,-6.499418,-10.923909,-11.675981,-3.506037,-11.999505
3.218750,-75.908478,-6.493561,-9.645480,-11.719213,-5.250185,-12.124751
3.225000,-75.738548,-6.484828,-8.071407,-11.757005,-6.998200,-12.252045
3.231250,-75.580765,-6.473213,-6.439623,-11.789322,-8.752238,-12.381615
3.237500,-75.434875,-6.458729,-4.990555,-11.816337,-10.515080,-12.513671
3.243750,-75.301468,-6.441293,-3.953933,-11.838058,-12.290948,-12.648396
3.250000,-75.182350,-6.421142,-1.370346,-11.854097,-14.080758,-12.785860
3.256250,-75.079933,-6.398727,1.220669,-11.863999,-15.888238,-12.926154
3.262500,-74.995438,-6.374580,2.278073,-11.867754,-17.717999,-13.069626
3.268750,-74.929192,-6.349158,3.759084,-11.865368,-19.574736,-13.216883
3.275000,-74.879654,-6.322615,5.434593,-11.856277,-21.460016,-13.367873
3.281250,-74.844147,-6.294964,7.067595,-11.839971,-23.373976,-13.522593
3.287500,-74.820564,-6.266017,8.419642,-11.816401,-25.320581,-13.681331
3.293750,-74.808029,-6.235465,9.265795,-11.786024,-27.304684,-13.844807
3.300000,-74.806953,-6.203186,9.408803,-11.748797,-29.328564,-14.013386
3.306250,-74.819382,-6.169212,8.687860,-11.704487,-31.391716,-14.187086
3.312500,-74.847542,-6.133885,9.150289,-11.653415,-33.496655,-14.366336
3.318750,-74.893723,-6.097601,9.359514,-11.596359,-35.648136,-14.552040
3.325000,-74.958595,-6.060633,7.892728,-11.533419,-37.848248,-14.744517
3.331250,-75.040718,-6.023080,6.834356,-11.464323,-40.095768,-14.943821
3.337500,-75.138702,-5.984878,6.076536,-11.389160,-42.393787,-15.150010
3.343750,-75.251709,-5.945798,5.491625,-11.308185,-44.744282,-15.363764
3.350000,-75.379799,-5.905770,4.944468,-11.221417,-47.149921,-15.585810
3.356250,-75.523880,-5.864867,4.299448,-11.128363,-49.608971,-15.816443
3.362500,-75.686684,-5.823315,3.423671,-11.028674,-52.120037,-16.055780
3.368750,-75.870316,-5.781566,2.190840,-10.922499,-54.684216,-16.304632
3.375000,-76.075409,-5.740168,0.492694,-10.809688,-57.299534,-16.563589
3.381250,-76.301033,-5.699392,0.413276,-10.690132,-59.964603,-16.832848
3.387500,-76.545319,-5.659191,0.531238,-10.563519,-62.678776,-17.112453
3.393750,-76.805916,-5.619484,-0.588199,-10.430262,-65.443329,-17.402746
3.400000,-77.081192,-5.579971,-0.898279,-10.290632,-68.262016,-17.703911
3.406250,-77.372223,-5.540586,-0.561060,-10.144720,-71.134995,-18.015207
3.412500,-77.681053,-5.501504,0.225042,-9.992846,-74.063583,-18.335972
3.418750,-78.010223,-5.463053,1.235788,-9.835675,-77.050293,-18.665562
3.425000,-78.361847,-5.425789,2.233824,-9.673416,-80.096046,-19.002935
3.431250,-78.736954,-5.390331,2.980444,-9.506450,-83.202415,-19.346521
3.437500,-79.134392,-5.356999,3.246131,-9.335067,-86.367935,-19.695440
3.443750,-79.552307,-5.325965,4.988891,-9.159659,-89.594948,-20.047920
3.450000,-79.988235,-5.297277,6.669678,-8.980370,-92.880058,-20.402641
3.456250,-80.440338,-5.271001,6.750729,-8.797420,-96.224007,-20.757206
3.462500,-80.908241,-5.247188,7.189739,-8.611169,-99.624779,-21.109354
3.468750,-81.391808,-5.226044,7.758025,-8.422041,-103.080879,-21.456438
3.475000,-81.891663,-5.207977,8.218012,-8.230231,-106.589745,-21.795389
3.481250,-82.407852,-5.193539,8.334637,-8.036073,-110.147667,-22.123465
3.487500,-82.939308,-5.183189,7.884405,-7.840512,-113.751633,-22.437950
3.493750,-83.483566,-5.177236,6.669938,-7.644317,-117.397018,-22.736156
3.500000,-84.037109,-5.175731,4.531636,-7.447891,-121.084427,-23.014299
3.506250,-84.595871,-5.178609,3.519247,-7.252058,-122.915703,-23.269203
3.512500,-85.157433,-5.185816,2.198438,-7.057979,-124.519989,-23.497812
3.518750,-85.719864,-5.197229,1.043633,-6.866679,-125.362381,-23.697296
3.525000,-86.282265,-5.213015,-1.375000,-6.678768,-124.951553,-23.864799
3.531250,-86.843651,-5.233410,-3.006836,-6.495063,-122.860580,-23.997639
3.537500,-87.403206,-5.258657,-4.014742,-6.316756,-118.746437,-24.094318
