Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338032453.91,2012_05_26_12:40:53,+298.08,+297.93,+02.989,+297.80,+297.23,+298.18,+297.78,+298.21,243.408112,-6.630
3.006250,11.050024,-10.559812,1.688372,-10.476589,-81.809158,-10.704078
3.012500,11.050024,-10.559812,1.688372,-10.476589,-81.809158,-10.704078
3.018750,11.050024,-10.559812,1.688372,-10.476589,-81.809158,-10.704078
3.025000,11.050024,-10.559812,1.688372,-10.476589,-81.809158,-10.704078
3.031250,11.050024,-10.559812,1.688372,-10.476589,-81.809158,-10.704078
3.037500,11.050024,-10.559812,1.688372,-10.476589,-81.809158,-10.704078
3.043750,11.050024,-10.559812,1.688372,-10.476589,-81.809158,-10.704078
3.050000,11.050024,-10.559812,1.688372,-10.476589,-81.809158,-10.704078
3.056250,11.050024,-10.559812,1.688372,-10.476589,-81.809158,-10.704078
3.062500,11.050024,-10.559812,1.688372,-10.476589,-81.809158,-10.704078
3.068750,11.050024,-10.559812,1.688372,-10.476589,-81.809158,-10.704078
3.075000,11.050024,-10.559812,1.688372,-10.476589,-81.809158,-10.704078
3.081250,11.050024,-10.559812,1.688372,-10.476589,-81.809158,-10.704078
3.087500,11.050024,-10.559812,1.688372,-10.476589,-81.809158,-10.704078
3.093750,11.050024,-10.391601,1.688372,-10.564235,-81.809158,-11.106390
3.100000,10.720282,-10.234492,2.359532,-10.654570,-85.230972,-11.505537
3.106250,10.342220,-10.087736,3.126636,-10.747217,-88.567551,-11.897547
3.112500,9.929438,-9.950549,3.752619,-10.841775,-91.292908,-12.278070
3.118750,9.490545,-9.821931,4.011456,-10.937953,-92.917641,-12.642238
3.125000,9.029422,-9.701308,5.863847,-11.035447,-93.013756,-12.985305
3.131250,8.549093,-9.588315,7.772032,-11.133908,-91.234344,-13.302780
3.137500,8.050516,-9.483064,8.197927,-11.233149,-87.331116,-13.590446
3.143750,7.535728,-9.385551,9.101745,-11.332760,-81.164688,-13.844457
3.150000,7.009048,-9.295802,10.253913,-11.432080,-72.712791,-14.061620
3.156250,6.476592,-9.213122,11.414408,-11.530632,-62.072834,-14.239332
3.162500,5.944192,-9.136751,12.344645,-11.627855,-49.453762,-14.375813
3.168750,5.415825,-9.066049,12.821668,-11.723207,-35.164875,-14.469743
3.175000,4.892623,-9.000600,12.648152,-11.815942,-19.599758,-14.520540
3.181250,4.375010,-8.940023,11.659676,-11.905523,-3.218343,-14.528806
3.187500,3.864497,-8.884093,11.905346,-11.991651,13.479875,-14.495963
3.193750,3.362972,-8.832458,11.952505,-12.073577,29.984236,-14.423810
3.200000,2.871818,-8.784676,10.381665,-12.151065,45.794174,-14.315142
3.206250,2.392707,-8.740317,9.274521,-12.223973,60.444183,-14.173545
3.212500,1.926379,-8.698895,8.525733,-12.292193,73.530472,-14.002954
3.218750,1.473230,-8.660046,8.013176,-12.355597,84.730270,-13.807437
3.225000,1.032459,-8.623415,7.604403,-12.414042,93.820290,-13.590972
3.231250,0.602841,-8.589042,7.161606,-12.467303,100.686829,-13.357319
3.237500,0.183630,-8.556753,6.550873,-12.514998,105.332825,-13.110127
3.243750,-0.225011,-8.526339,5.646007,-12.556998,107.877502,-12.852880
3.250000,-0.622618,-8.497560,4.335213,-12.593073,108.553932,-12.589048
3.256250,-1.008341,-8.469930,4.698347,-12.622680,107.696449,-12.321836
3.262500,-1.383001,-8.442957,3.415909,-12.645202,105.723114,-12.053896
3.268750,-1.749218,-8.416555,2.566810,-12.660131,103.114189,-11.787682
3.275000,-2.110386,-8.391002,2.041303,-12.667290,100.385681,-11.525417
3.281250,-2.468852,-8.366561,1.714254,-12.666434,95.900269,-11.268777
3.287500,-2.824780,-8.343529,1.453357,-12.657182,91.538628,-11.018851
3.293750,-3.176271,-8.321617,1.123609,-12.639373,87.286453,-10.776604
3.300000,-3.521196,-8.300520,0.590757,-12.613302,83.127922,-10.543089
3.306250,-3.857754,-8.279572,-0.268237,-12.579240,79.050385,-10.319111
3.312500,-4.186363,-8.258224,-1.558705,-12.537309,75.042961,-10.105035
3.318750,-4.509932,-8.236298,-1.197533,-12.487673,71.096382,-9.901130
3.325000,-4.834190,-8.214223,-2.503736,-12.430603,67.199661,-9.707795
3.331250,-5.165377,-8.192929,-3.397778,-12.366544,63.341858,-9.525402
3.337500,-5.504749,-8.173315,-3.987385,-12.295316,59.517155,-9.353906
3.343750,-5.850439,-8.155834,-4.396350,-12.216725,55.719933,-9.193084
3.350000,-6.197925,-8.140392,-4.760818,-12.130597,51.943134,-9.042966
3.356250,-6.540914,-8.126364,-5.221042,-12.036796,48.180248,-8.903716
3.362500,-6.876162,-8.112838,-5.911448,-11.934854,44.428089,-8.775265
3.368750,-7.203957,-8.099077,-6.956908,-11.824366,40.684582,-8.657207
3.375000,-7.529618,-8.085323,-8.466940,-11.705341,36.943523,-8.550073
3.381250,-7.860127,-8.072557,-8.362240,-11.577810,33.200779,-8.454141
3.387500,-8.199143,-8.061742,-8.063274,-11.441646,29.454348,-8.369267
3.393750,-8.544494,-8.053362,-9.004745,-11.296885,25.702087,-8.295550
3.400000,-8.890363,-8.047204,-9.140132,-11.143852,21.940355,-8.233002
3.406250,-9.230390,-8.042662,-8.634355,-10.983013,18.165771,-8.181733
3.412500,-9.560515,-8.038671,-7.685529,-10.814736,14.377015,-8.141758
3.418750,-9.879058,-8.034255,-6.517280,-10.639620,10.572598,-8.112877
3.425000,-10.189470,-8.028928,-5.367597,-10.458159,6.752573,-8.095336
