Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338032581.7,2012_05_26_12:43:01,+298.09,+297.93,+02.989,+297.81,+297.24,+298.19,+297.79,+298.22,243.414673,-6.630
3.006250,161.142761,-9.691655,6.919261,-4.338419,32.350880,-10.472384
3.012500,161.142761,-9.691655,6.919261,-4.338419,32.350880,-10.472384
3.018750,161.142761,-9.691655,6.919261,-4.338419,32.350880,-10.472384
3.025000,161.142761,-9.691655,6.919261,-4.338419,32.350880,-10.472384
3.031250,161.142761,-9.691655,6.919261,-4.338419,32.350880,-10.472384
3.037500,161.142761,-9.691655,6.919261,-4.338419,32.350880,-10.472384
3.043750,161.142761,-9.691655,6.919261,-4.338419,32.350880,-10.472384
3.050000,161.142761,-9.691655,6.919261,-4.338419,32.350880,-10.472384
3.056250,161.142761,-9.691655,6.919261,-4.338419,32.350880,-10.472384
3.062500,161.142761,-9.691655,6.919261,-4.338419,32.350880,-10.472384
3.068750,161.142761,-9.691655,6.919261,-4.338419,32.350880,-10.472384
3.075000,161.142761,-9.691655,6.919261,-4.338419,32.350880,-10.472384
3.081250,161.142761,-9.691655,6.919261,-4.338419,32.350880,-10.472384
3.087500,161.142761,-9.691655,6.919261,-4.338419,32.350880,-10.472384
3.093750,161.142761,-9.761012,6.919261,-4.408929,32.350880,-10.461654
3.100000,160.490616,-9.824574,6.443766,-4.477524,30.390310,-10.465194
3.106250,159.874176,-9.882489,4.789284,-4.544098,28.435194,-10.481838
3.112500,159.288605,-9.935140,4.001955,-4.608386,26.491350,-10.510323
3.118750,158.731400,-9.982480,3.918347,-4.670069,24.564604,-10.549569
3.125000,158.200729,-10.024489,4.338457,-4.729036,22.657042,-10.598629
3.131250,157.694977,-10.060816,5.038120,-4.785227,20.769573,-10.656965
3.137500,157.210983,-10.091489,5.780123,-4.838628,18.903828,-10.723741
3.143750,156.744446,-10.116642,6.325815,-4.889090,17.059507,-10.798094
3.150000,156.290100,-10.136719,6.447502,-4.936711,15.235698,-10.879449
3.156250,155.843445,-10.152386,8.104733,-4.981642,13.429800,-10.967207
3.162500,155.401703,-10.164330,9.761206,-5.024008,11.639872,-11.060688
3.168750,154.964432,-10.172968,9.882615,-5.063728,9.864774,-11.159006
3.175000,154.533493,-10.178398,10.430289,-5.100861,8.102179,-11.261413
3.181250,154.109283,-10.180760,11.174784,-5.135656,6.348945,-11.367574
3.187500,153.693100,-10.179844,11.878452,-5.168379,4.601716,-11.476993
3.193750,153.285126,-10.175503,12.306491,-5.199080,2.860476,-11.589169
3.200000,152.883621,-10.167819,12.235986,-5.227692,1.123895,-11.703480
3.206250,152.485565,-10.157065,11.470033,-5.254158,-0.609633,-11.819823
3.212500,152.089249,-10.143631,9.844591,-5.278557,-2.342792,-11.938359
3.218750,151.693848,-10.127732,9.407796,-5.300909,-4.076144,-12.058970
3.225000,151.299667,-10.109588,8.726813,-5.321000,-5.812386,-12.181621
3.231250,150.907547,-10.089260,6.379520,-5.338688,-7.552039,-12.306628
3.237500,150.517838,-10.066627,4.448215,-5.353950,-9.298964,-12.434077
3.243750,150.129684,-10.041622,2.826689,-5.366850,-11.056329,-12.564364
3.250000,149.741348,-10.014537,1.393084,-5.377383,-12.827140,-12.697808
3.256250,149.350677,-9.985825,0.015524,-5.385450,-14.615701,-12.834373
3.262500,148.956741,-9.955982,-1.441140,-5.391009,-16.424446,-12.974240
3.268750,148.558960,-9.925344,-3.109334,-5.394215,-18.258825,-13.117530
3.275000,148.159393,-9.894085,-5.112922,-5.395344,-20.123274,-13.264643
3.281250,147.760956,-9.862234,-7.557511,-5.394397,-22.019823,-13.415614
3.287500,147.365326,-9.829481,-8.361087,-5.391451,-23.951288,-13.570490
3.293750,146.975082,-9.795535,-8.945639,-5.386663,-25.918753,-13.729570
3.300000,146.589355,-9.760213,-10.746344,-5.380280,-27.926418,-13.893333
3.306250,146.207596,-9.723485,-11.715729,-5.372289,-29.974669,-14.062109
3.312500,145.827774,-9.685644,-12.016340,-5.362572,-32.063301,-14.236207
3.318750,145.448517,-9.646884,-11.846187,-5.351172,-34.193668,-14.416065
3.325000,145.069977,-9.607501,-11.429698,-5.338263,-36.368801,-14.602377
3.331250,144.693207,-9.567522,-11.003283,-5.323937,-38.589645,-14.795589
3.337500,144.321411,-9.526780,-10.803455,-5.308058,-40.856674,-14.995870
3.343750,143.955368,-9.485037,-11.059082,-5.290774,-43.170399,-15.203593
3.350000,143.596039,-9.442063,-9.810343,-5.272274,-45.531769,-15.419436
3.356250,143.243332,-9.397814,-8.594512,-5.252700,-47.942417,-15.643715
3.362500,142.895157,-9.352299,-7.053027,-5.231964,-50.401451,-15.876545
3.368750,142.550323,-9.305798,-6.742361,-5.210073,-52.909527,-16.118200
3.375000,142.207748,-9.258677,-5.738297,-5.187398,-55.467365,-16.369453
3.381250,141.869415,-9.210963,-4.321012,-5.164016,-58.077084,-16.630505
3.387500,141.537766,-9.162418,-2.792678,-5.139998,-60.736851,-16.901194
3.393750,141.214905,-9.112601,-1.463553,-5.115555,-63.447128,-17.181505
3.400000,140.903198,-9.060952,-0.637377,-5.090930,-66.210464,-17.471241
3.406250,140.601776,-9.007043,-0.594921,-5.066254,-69.027527,-17.769968
3.412500,140.308807,-8.950622,0.588450,-5.041616,-71.900146,-18.076672
3.418750,140.021042,-8.891644,1.355607,-5.017175,-74.827271,-18.390587
3.425000,139.736115,-8.830482,2.061122,-4.993287,-77.810852,-18.711105
3.431250,139.451981,-8.767259,3.060604,-4.970073,-80.850204,-19.036488
3.437500,139.169769,-8.701948,2.797522,-4.947696,-83.943298,-19.365957
3.443750,138.889847,-8.634358,3.196118,-4.926431,-87.091019,-19.697519
3.450000,138.613678,-8.564160,3.975213,-4.906728,-90.294266,-20.030251
