Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338032395.73,2012_05_26_12:39:55,+298.08,+297.92,+02.989,+297.80,+297.23,+298.18,+297.78,+298.21,243.405884,-6.627
3.006250,-111.778282,-14.611412,-4.392846,-4.658934,-80.856400,-10.555423
3.012500,-111.778282,-14.611412,-4.392846,-4.658934,-80.856400,-10.555423
3.018750,-111.778282,-14.611412,-4.392846,-4.658934,-80.856400,-10.555423
3.025000,-111.778282,-14.611412,-4.392846,-4.658934,-80.856400,-10.555423
3.031250,-111.778282,-14.611412,-4.392846,-4.658934,-80.856400,-10.555423
3.037500,-111.778282,-14.611412,-4.392846,-4.658934,-80.856400,-10.555423
3.043750,-111.778282,-14.611412,-4.392846,-4.658934,-80.856400,-10.555423
3.050000,-111.778282,-14.611412,-4.392846,-4.658934,-80.856400,-10.555423
3.056250,-111.778282,-14.611412,-4.392846,-4.658934,-80.856400,-10.555423
3.062500,-111.778282,-14.611412,-4.392846,-4.658934,-80.856400,-10.555423
3.068750,-111.778282,-14.611412,-4.392846,-4.658934,-80.856400,-10.555423
3.075000,-111.778282,-14.611412,-4.392846,-4.658934,-80.856400,-10.555423
3.081250,-111.778282,-14.611412,-4.392846,-4.658934,-80.856400,-10.555423
3.087500,-111.778282,-14.611412,-4.392846,-4.658934,-80.856400,-10.555423
3.093750,-111.778282,-14.423851,-4.392846,-4.721453,-80.856400,-10.959393
3.100000,-112.856003,-14.249012,-4.893087,-4.781590,-86.152809,-11.360521
3.106250,-113.970207,-14.086278,-6.570644,-4.839194,-89.737442,-11.754858
3.112500,-115.106575,-13.934625,-7.379118,-4.894123,-93.238831,-12.138086
3.118750,-116.254143,-13.792899,-7.483411,-4.946380,-96.127251,-12.505549
3.125000,-117.405724,-13.660252,-7.081827,-4.995786,-97.909836,-12.852578
3.131250,-118.559875,-13.535973,-6.397709,-5.042257,-98.154373,-13.174427
3.137500,-119.713219,-13.419887,-5.667797,-5.085884,-96.508476,-13.467104
3.143750,-120.863670,-13.311702,-5.131039,-5.126756,-92.719055,-13.726751
3.150000,-122.008766,-13.211142,-5.014884,-5.164896,-86.645699,-13.950084
3.156250,-123.142639,-13.117483,-3.357800,-5.200366,-78.262764,-14.134489
3.162500,-124.261780,-13.029968,-1.696511,-5.233271,-67.665802,-14.277980
3.168750,-125.363548,-12.948001,-1.567372,-5.263648,-55.061413,-14.379282
3.175000,-126.446281,-12.871076,-1.008684,-5.291774,-40.758247,-14.437687
3.181250,-127.510284,-12.798591,-0.248605,-5.317648,-25.150946,-14.453466
3.187500,-128.555603,-12.730488,0.474626,-5.341454,-8.697791,-14.427867
3.193750,-129.583893,-12.666820,0.926014,-5.363322,8.101599,-14.362847
3.200000,-130.592590,-12.607318,0.882847,-5.383111,24.732832,-14.260967
3.206250,-131.579468,-12.551439,0.148048,-5.400861,40.691135,-14.125712
3.212500,-132.543686,-12.498789,-1.442302,-5.416494,55.507412,-13.960926
3.218750,-133.485031,-12.449220,-1.839901,-5.429981,68.774353,-13.770618
3.225000,-134.404236,-12.402562,-2.478406,-5.441217,80.164490,-13.558950
3.231250,-135.302765,-12.358845,-2.884582,-5.450087,89.448357,-13.329764
3.237500,-136.179504,-12.318085,-4.491228,-5.456497,96.509201,-13.086727
3.243750,-137.034180,-12.280045,-5.250426,-5.460344,101.345695,-12.833338
3.250000,-137.866013,-12.244534,-5.324699,-5.461667,104.076263,-12.573093
3.256250,-138.672043,-12.210793,-4.912042,-5.460485,104.931648,-12.309293
3.262500,-139.451782,-12.178449,-4.233809,-5.456886,104.243095,-12.044815
3.268750,-140.206558,-12.147189,-3.526093,-5.450930,102.425224,-11.781917
3.275000,-140.939331,-12.117015,-3.027223,-5.442688,99.956383,-11.522651
3.281250,-141.651886,-12.088260,-2.966693,-5.432543,97.353386,-11.268813
3.287500,-142.344147,-12.060821,-1.384654,-5.420591,92.978851,-11.021607
3.293750,-143.013275,-12.034417,0.181741,-5.407074,88.713760,-10.782046
3.300000,-143.656937,-12.008485,0.194988,-5.392041,84.543633,-10.550867
3.306250,-144.272583,-11.982261,0.614575,-5.375693,80.455315,-10.328815
3.312500,-144.860077,-11.955008,1.211749,-5.358215,76.437927,-10.116627
3.318750,-145.422745,-11.926248,1.748420,-5.339645,72.480507,-9.914544
3.325000,-145.967087,-11.896503,1.988877,-5.319936,68.573616,-9.722827
3.331250,-146.498627,-11.866625,1.709541,-5.299442,64.708199,-9.541898
