Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1337934518.35,2012_05_25_09:28:38,+297.41,+297.30,+02.989,+297.19,+296.66,+297.46,+297.20,+297.49,242.846786,-6.530
3.009050,5.086719,-9.048342,-3.119790,-16.229218,-11.677670,-9.376718
3.021525,5.086719,-9.048342,-3.119790,-16.229218,-11.677670,-9.376718
3.034000,5.086719,-9.048342,-3.119790,-16.229218,-11.677670,-9.376718
3.046475,5.086719,-9.048342,-3.119790,-16.229218,-11.677670,-9.376718
3.058950,5.086719,-9.048342,-3.119790,-16.229218,-11.677670,-9.376718
3.071425,5.086719,-9.048342,-3.119790,-16.229218,-11.677670,-9.376718
3.083900,5.086719,-9.048342,-3.119790,-16.229218,-11.677670,-9.376718
3.096375,5.086719,-9.048342,-3.119790,-16.229218,-11.677670,-9.376718
3.108850,5.086719,-9.048342,-3.119790,-16.229218,-11.677670,-9.376718
3.121325,5.086719,-9.048342,-3.119790,-16.229218,-11.677670,-9.376718
3.133800,5.086719,-9.048342,-3.119790,-16.229218,-11.677670,-9.376718
3.146275,5.086719,-9.036128,-3.119790,-15.913835,-11.677670,-9.427333
3.158750,6.538846,-9.024542,-15.210972,-15.599826,-13.119093,-9.495598
3.171225,8.624266,-9.017979,-25.145647,-15.298249,-14.033364,-9.581749
3.183700,10.711660,-9.015642,-32.106556,-15.007902,-14.366800,-9.684160
3.196175,12.209323,-9.008407,-35.592007,-14.741089,-14.131906,-9.797887
3.208650,13.057760,-8.997068,-35.451660,-14.497783,-10.968974,-9.919315
3.221125,13.232784,-8.987667,-31.801689,-14.278392,-9.724427,-10.057758
3.233600,12.807391,-8.984985,-25.158255,-14.077405,-8.090817,-10.223008
3.246075,11.939589,-8.977438,-16.247385,-13.902733,-6.241630,-10.420328
3.258550,10.802973,-8.967244,-5.999192,-13.739603,-4.387973,-10.658880
3.271025,11.903598,-8.959046,4.572122,-13.594451,-2.753193,-10.961843
3.283500,10.652103,-8.954248,14.340815,-13.460065,-1.661831,-11.297119
3.295975,9.597795,-8.954276,22.292772,-13.342660,0.787437,-11.664795
3.308450,8.918032,-8.959124,27.470396,-13.242554,2.890215,-12.113736
3.320925,8.672477,-8.978185,29.124504,-13.156277,2.477820,-12.654515
3.333400,8.972775,-9.014707,26.781286,-13.077278,1.262643,-13.230572
3.345875,9.853684,-9.077624,22.663271,-13.000054,1.206734,-13.835576
3.358350,11.201086,-9.181129,15.071458,-12.929299,0.114928,-14.445588
3.370825,12.489560,-9.331984,5.515334,-12.867200,-1.440602,-15.015202
3.383300,13.236331,-9.518058,-4.245387,-12.820311,-2.904846,-15.491259
3.395775,13.375213,-9.746281,-12.604747,-12.793288,-3.752640,-15.823997
3.408250,13.007926,-10.035742,-18.092333,-12.788848,-6.523658,-15.972457
3.420725,12.291611,-10.366609,-22.393433,-12.808598,-7.180199,-15.911434
3.433200,11.593699,-10.717410,-23.309576,-12.863575,-8.332973,-15.632057
3.445675,11.156509,-11.072178,-21.328817,-12.955337,-9.617691,-15.142529
3.458150,11.162346,-11.411075,-17.060556,-13.079127,-10.696568,-14.461730
3.470625,11.275077,-11.707732,-11.377406,-13.254317,-11.254056,-13.621725
3.483100,11.145175,-11.943928,-5.330877,-13.469288,-11.010609,-12.671346
3.495575,10.980682,-12.097765,0.012028,-13.727888,-12.688760,-11.673822
3.508050,10.984311,-12.158042,3.592352,-14.025264,-12.418425,-10.692080
3.520525,11.324960,-12.125351,4.480001,-14.331226,-12.949128,-9.785596
3.533000,12.203965,-12.001157,4.388400,-14.638365,-14.013228,-9.003097
3.545475,13.733176,-11.790236,1.152514,-14.933665,-15.288609,-8.367667
3.557950,13.049691,-11.505070,-4.298703,-15.220893,-16.430706,-7.864448
3.570425,13.855873,-11.171154,-10.801156,-15.485186,-16.949032,-7.520417
3.582900,13.317538,-10.814467,-17.249575,-15.715852,-19.015772,-7.333995
3.595375,11.701291,-10.453468,-22.457750,-15.904967,-18.755358,-7.245408
3.607850,9.361794,-10.105842,-25.315376,-16.046883,-18.528553,-7.211830
3.620325,6.671642,-9.795165,-24.968102,-16.138058,-17.318583,-7.255319
3.632800,4.033208,-9.526898,-23.718042,-16.180487,-17.291876,-7.345220
3.645275,1.966569,-9.298081,-19.811165,-16.192085,-16.508249,-7.451992
3.657750,0.176921,-9.104094,-14.188097,-16.182171,-15.265431,-7.555446
3.670225,-1.777271,-8.958823,-7.986058,-16.156208,-13.842047,-7.640818
3.682700,-3.549445,-8.862159,-2.375847,-16.124031,-12.480244,-7.701876
3.695175,-4.916812,-8.787372,1.582336,-16.081099,-8.927083,-7.743603
3.707650,-5.646138,-8.733677,5.242527,-16.028238,-8.095505,-7.770736
3.720125,-5.797834,-8.710984,6.131321,-15.980163,-7.651373,-7.784636
3.732600,-5.306616,-8.711448,5.021755,-15.949217,-7.621478,-7.781921
3.745075,-4.116714,-8.719774,2.538628,-15.942993,-7.976250,-7.758353
3.757550,-2.928411,-8.741192,-0.451431,-15.961292,-8.648464,-7.708930
3.770025,-2.418994,-8.782354,-3.020108,-16.022362,-9.509932,-7.630809
3.782500,-2.687224,-8.851465,-4.393872,-16.104605,-7.981016,-7.528811
3.794975,-3.636029,-8.950719,-3.823951,-16.202293,-8.701660,-7.409605
3.807450,-5.115664,-9.068419,-0.667334,-16.331684,-9.108621,-7.276995
3.819925,-7.062086,-9.209176,2.601656,-16.500189,-9.065877,-7.131888
3.832400,-9.362183,-9.391506,7.347572,-16.719591,-8.482107,-6.973670
3.844875,-9.408333,-9.618929,12.375413,-16.999588,-7.313973,-6.798710
3.857350,-11.753508,-9.890936,16.576399,-17.313961,-5.565820,-6.606380
3.869825,-13.756346,-10.201911,20.876551,-17.630247,-3.278074,-6.400167
3.882300,-15.282677,-10.567055,22.780544,-17.964073,-1.077320,-6.187278
3.894775,-16.190882,-11.004712,22.646151,-18.308805,0.394581,-5.975107
3.907250,-16.292038,-11.496210,20.914898,-18.677107,1.109222,-5.767804
3.919725,-15.378890,-12.040332,18.135672,-19.035027,1.091696,-5.567403
3.932200,-13.416528,-12.636036,14.722696,-19.348021,0.409920,-5.373512
3.944675,-13.514017,-13.279105,11.408601,-19.606171,-0.827090,-5.184648
3.957150,-11.824446,-13.960613,8.849491,-19.786829,-2.463178,-5.002552
3.969625,-11.224666,-14.657810,7.581302,-19.876707,-1.885435,-4.834172
3.982100,-11.345986,-15.338834,8.088202,-19.868420,-3.695270,-4.686330
3.994575,-11.978219,-15.989221,7.731671,-19.773123,-5.287617,-4.563144
4.007050,-12.700455,-16.577335,7.927544,-19.583111,-6.488370,-4.465879
4.019525,-13.021520,-17.069035,7.557236,-19.291157,-7.162827,-4.393877
4.032000,-12.555944,-17.438971,8.095094,-18.911091,-7.228793,-4.344440
4.044475,-13.892570,-17.673796,6.892346,-18.455046,-6.655263,-4.315250
4.056950,-13.111372,-17.765902,4.372305,-17.935335,-5.460501,-4.308360
4.069425,-12.717081,-17.708599,1.175497,-17.381647,-4.254619,-4.326818
4.081900,-12.349505,-17.493256,-2.064342,-16.820265,-3.646665,-4.374019
4.094375,-11.611590,-17.137287,-4.701096,-16.277672,-3.648803,-4.449651
4.106850,-10.218717,-16.672180,-6.225831,-15.758249,-4.217904,-4.550896
4.119325,-7.809716,-16.113394,-6.095991,-15.268479,-5.274825,-4.674597
4.131800,-7.120677,-15.486248,-3.832325,-14.789715,-6.698586,-4.817153
4.144275,-4.310739,-14.814448,0.790095,-14.348410,-8.326347,-4.975591
4.156750,-2.205275,-14.138255,5.341695,-13.979795,-7.546957,-5.151496
4.169225,-0.603423,-13.478222,10.836659,-13.671114,-8.956140,-5.346756
4.181700,0.798365,-12.832517,16.024641,-13.415760,-9.944366,-5.561453
4.194175,2.204778,-12.223580,19.775402,-13.181076,-10.347715,-5.792636
4.206650,3.698493,-11.665127,21.035936,-12.976510,-10.044436,-6.036855
4.219125,5.342690,-11.157663,21.635773,-12.812403,-8.967889,-6.291251
4.231600,7.388844,-10.699542,19.270510,-12.675729,-7.092700,-6.552973
4.244075,9.202024,-10.281903,14.745981,-12.582648,-4.443349,-6.819939
4.256550,10.242833,-9.903204,9.191573,-12.525208,-1.639935,-7.092663
4.269025,10.381156,-9.573697,3.702580,-12.507149,0.706709,-7.371639
4.281500,9.775419,-9.278406,-0.533330,-12.521354,2.575855,-7.657381
4.293975,8.624315,-9.008478,-2.480947,-12.542834,3.977994,-7.947289
4.306450,6.992597,-8.758379,-1.153713,-12.586326,4.977132,-8.238166
4.318925,5.037833,-8.544727,1.250510,-12.657516,5.684929,-8.527821
4.331400,5.319622,-8.358253,6.349885,-12.762314,6.265984,-8.812649
4.343875,3.335683,-8.192232,13.155741,-12.890079,6.917486,-9.087800
4.356350,1.682091,-8.038209,20.544636,-13.044067,7.290303,-9.351851
4.368825,0.493454,-7.900450,27.411253,-13.214821,7.068545,-9.604074
4.381300,-0.168544,-7.790045,32.593376,-13.389084,6.523516,-9.844770
4.393775,-0.162697,-7.697998,35.256344,-13.564852,5.941240,-10.071820
4.406250,0.588728,-7.615909,34.661098,-13.755945,5.645378,-10.278312
