Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1337935861.72,2012_05_25_09:51:01,+297.49,+297.38,+02.989,+297.27,+296.73,+297.54,+297.27,+297.57,242.923035,-6.547
3.009050,-0.993546,-7.877934,-11.917870,-11.757977,6.156815,-13.370905
3.021525,-0.993546,-7.877934,-11.917870,-11.757977,6.156815,-13.370905
3.034000,-0.993546,-7.877934,-11.917870,-11.757977,6.156815,-13.370905
3.046475,-0.993546,-7.877934,-11.917870,-11.757977,6.156815,-13.370905
3.058950,-0.993546,-7.877934,-11.917870,-11.757977,6.156815,-13.370905
3.071425,-0.993546,-7.877934,-11.917870,-11.757977,6.156815,-13.370905
3.083900,-0.993546,-7.877934,-11.917870,-11.757977,6.156815,-13.370905
3.096375,-0.993546,-7.877934,-11.917870,-11.757977,6.156815,-13.370905
3.108850,-0.993546,-7.877934,-11.917870,-11.757977,6.156815,-13.370905
3.121325,-0.993546,-7.877934,-11.917870,-11.757977,6.156815,-13.370905
3.133800,-0.993546,-7.877934,-11.917870,-11.757977,6.156815,-13.370905
3.146275,-0.993546,-7.974988,-11.917870,-11.857586,6.156815,-13.560260
3.158750,-3.441871,-8.051256,-18.925339,-11.990910,3.498117,-13.750604
3.171225,-3.912399,-8.107205,-24.471458,-12.149212,0.860233,-13.937205
3.183700,-5.207622,-8.149247,-26.029589,-12.328742,-1.455433,-14.115243
3.196175,-6.993396,-8.169160,-23.718735,-12.529787,-3.147923,-14.278089
3.208650,-8.941048,-8.168117,-18.066507,-12.751504,-3.947303,-14.418080
3.221125,-10.780692,-8.151709,-9.787236,-12.993368,-4.196461,-14.529056
3.233600,-12.176164,-8.127872,0.115549,-13.237732,-4.225595,-14.615162
3.246075,-12.839959,-8.096064,10.544210,-13.491033,-3.829988,-14.681614
3.258550,-13.087853,-8.053454,20.317133,-13.745662,-2.897326,-14.729485
3.271025,-13.296066,-8.001577,28.385841,-14.005108,-1.360778,-14.756952
3.283500,-13.268508,-7.945039,33.820515,-14.277916,0.804632,-14.757149
3.295975,-12.904851,-7.886037,35.886375,-14.554588,3.595891,-14.723214
3.308450,-12.040439,-7.825271,34.061604,-14.847649,6.977158,-14.650578
3.320925,-10.560839,-7.757239,28.173162,-15.167192,10.342786,-14.540655
3.333400,-8.499236,-7.684008,20.670732,-15.488843,13.061551,-14.398723
3.345875,-5.851460,-7.615790,10.306158,-15.824524,15.096263,-14.228706
3.358350,-3.285808,-7.547393,-1.196910,-16.169533,16.417795,-14.035362
3.370825,-1.409187,-7.476865,-11.877899,-16.535330,17.044123,-13.818427
3.383300,-0.245330,-7.402021,-19.891647,-16.915903,17.042784,-13.571411
3.395775,0.209234,-7.328803,-26.672762,-17.317011,16.542440,-13.286950
3.408250,-0.010677,-7.260932,-29.713572,-17.730936,18.150917,-12.969823
3.420725,-0.761132,-7.199642,-29.162762,-18.154236,17.285233,-12.625540
3.433200,-1.863631,-7.144626,-25.516500,-18.568926,16.509958,-12.262721
3.445675,-0.696875,-7.094067,-19.525742,-18.964239,15.948431,-11.887162
3.458150,-1.941075,-7.057026,-12.033107,-19.336813,15.702610,-11.505193
3.470625,-2.965649,-7.034239,-4.027710,-19.705412,15.803367,-11.117023
3.483100,-3.587663,-7.018545,3.311990,-20.041456,16.245964,-10.715939
3.495575,-3.670637,-7.013958,8.920426,-20.354818,16.993353,-10.301357
3.508050,-3.151991,-7.028466,11.778706,-20.626028,17.485069,-9.887711
3.520525,-2.000368,-7.062259,13.431601,-20.847414,17.111534,-9.486117
3.533000,-0.191646,-7.109302,11.719717,-20.996069,15.828568,-9.102530
3.545475,1.676412,-7.167921,7.669261,-21.091412,13.663757,-8.744471
3.557950,2.944254,-7.240322,2.369776,-21.136837,10.706828,-8.414127
3.570425,3.542760,-7.325398,-3.028805,-21.129326,7.084286,-8.111227
3.582900,3.573558,-7.420290,-7.387315,-21.077791,2.958556,-7.831653
3.595375,3.097665,-7.521437,-9.552671,-20.983408,0.997991,-7.581591
3.607850,2.244942,-7.628534,-8.674169,-20.832933,-3.333021,-7.371435
3.620325,1.169731,-7.746161,-6.974537,-20.647141,-7.403653,-7.203562
3.632800,0.113120,-7.859078,-2.798471,-20.415079,-11.044028,-7.078667
3.645275,-1.283997,-7.966002,3.178706,-20.177132,-14.093909,-6.993362
3.657750,-3.380621,-8.062890,9.800590,-19.931440,-16.447802,-6.941827
3.670225,-5.917443,-8.154375,15.907829,-19.703333,-18.064184,-6.915224
3.682700,-8.524364,-8.239079,20.446098,-19.487728,-16.527189,-6.911223
3.695175,-10.837001,-8.310883,22.394152,-19.270489,-16.649124,-6.933856
3.707650,-12.538968,-8.365292,23.314690,-19.055914,-16.111107,-6.985898
3.720125,-13.384409,-8.409669,21.062326,-18.855251,-15.069770,-7.062489
3.732600,-13.717475,-8.447327,16.652670,-18.685652,-13.710533,-7.158846
3.745075,-13.881327,-8.466729,11.025213,-18.544994,-12.239075,-7.267966
3.757550,-13.734213,-8.468175,5.287490,-18.423330,-10.851188,-7.381340
3.770025,-13.198376,-8.465140,0.611813,-18.351002,-9.719802,-7.495301
3.782500,-12.175379,-8.465835,-1.999732,-18.286119,-6.540559,-7.614631
3.794975,-10.543548,-8.458623,-1.769252,-18.229067,-6.173803,-7.740224
3.807450,-8.227014,-8.439555,-0.713541,-18.188038,-6.246790,-7.872036
3.819925,-5.329847,-8.412198,2.734133,-18.185886,-6.765230,-8.006128
3.832400,-2.556216,-8.390211,7.584463,-18.218418,-7.668685,-8.136767
3.844875,-0.498197,-8.369298,12.765444,-18.296885,-8.869267,-8.259900
3.857350,0.847844,-8.342091,17.110205,-18.402851,-10.232681,-8.371852
3.869825,1.522908,-8.311640,21.684549,-18.504894,-9.159917,-8.473567
3.882300,1.567280,-8.284024,23.876429,-18.613535,-10.254410,-8.572352
3.894775,1.087768,-8.262938,24.041861,-18.723436,-10.915603,-8.670105
3.907250,0.330600,-8.238770,22.725359,-18.834270,-10.989419,-8.766119
3.919725,1.868554,-8.211391,20.427404,-18.955482,-10.384874,-8.858617
3.932200,1.050537,-8.181504,17.541887,-19.038063,-9.044922,-8.943194
3.944675,0.456392,-8.161027,14.789397,-19.081873,-6.964749,-9.017735
3.957150,0.251112,-8.148147,12.821853,-19.063242,-4.183151,-9.083714
3.969625,0.573215,-8.136255,12.093364,-18.972443,-1.313241,-9.144833
3.982100,1.552691,-8.125467,13.087681,-18.821302,1.031973,-9.205738
3.994575,3.166730,-8.117762,13.224102,-18.606564,2.827234,-9.268329
4.007050,5.387382,-8.118983,13.819077,-18.331192,4.085174,-9.331097
4.019525,7.583347,-8.124047,13.853367,-17.990990,4.857854,-9.390654
4.032000,9.121735,-8.133755,14.711667,-17.591171,5.239417,-9.443893
