Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1337934816.91,2012_05_25_09:33:36,+297.42,+297.32,+02.989,+297.20,+296.67,+297.47,+297.22,+297.50,242.861954,-6.531
3.009050,23.729761,-11.035371,-10.370832,-11.900674,-17.772764,-7.223236
3.021525,23.729761,-11.035371,-10.370832,-11.900674,-17.772764,-7.223236
3.034000,23.729761,-11.035371,-10.370832,-11.900674,-17.772764,-7.223236
3.046475,23.729761,-11.035371,-10.370832,-11.900674,-17.772764,-7.223236
3.058950,23.729761,-11.035371,-10.370832,-11.900674,-17.772764,-7.223236
3.071425,23.729761,-11.035371,-10.370832,-11.900674,-17.772764,-7.223236
3.083900,23.729761,-11.035371,-10.370832,-11.900674,-17.772764,-7.223236
3.096375,23.729761,-11.035371,-10.370832,-11.900674,-17.772764,-7.223236
3.108850,23.729761,-11.035371,-10.370832,-11.900674,-17.772764,-7.223236
3.121325,23.729761,-11.035371,-10.370832,-11.900674,-17.772764,-7.223236
3.133800,23.729761,-11.035371,-10.370832,-11.900674,-17.772764,-7.223236
3.146275,23.729761,-11.334365,-10.370832,-11.994381,-17.772764,-6.872444
3.158750,21.682037,-11.671140,-17.212831,-12.113303,-17.697681,-6.526272
3.171225,19.156370,-12.042241,-22.662962,-12.261224,-17.371424,-6.188335
3.183700,16.277290,-12.446467,-24.164873,-12.429670,-14.361825,-5.864540
3.196175,13.106769,-12.893280,-21.794683,-12.617174,-13.498178,-5.562745
3.208650,9.759697,-13.394509,-16.147346,-12.815543,-12.449516,-5.286833
3.221125,8.924245,-13.947209,-7.920684,-13.029933,-11.337489,-5.037500
3.233600,6.022302,-14.565394,1.882401,-13.250567,-10.318686,-4.813324
3.246075,3.684581,-15.234033,12.223427,-13.473449,-9.580454,-4.611758
3.258550,2.170958,-15.973747,21.919186,-13.703399,-9.304078,-4.427774
3.271025,1.608237,-16.801237,29.912111,-13.935799,-7.221280,-4.260927
3.283500,2.369098,-17.669188,35.288723,-14.173462,-5.269505,-4.116072
