Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1337934969.54,2012_05_25_09:36:09,+297.43,+297.33,+02.989,+297.21,+296.68,+297.48,+297.22,+297.51,242.870193,-6.533
3.009050,-7.056489,-11.687243,-10.589642,-11.770376,-3.070454,-6.848238
3.021525,-7.056489,-11.687243,-10.589642,-11.770376,-3.070454,-6.848238
3.034000,-7.056489,-11.687243,-10.589642,-11.770376,-3.070454,-6.848238
3.046475,-7.056489,-11.687243,-10.589642,-11.770376,-3.070454,-6.848238
3.058950,-7.056489,-11.687243,-10.589642,-11.770376,-3.070454,-6.848238
3.071425,-7.056489,-11.687243,-10.589642,-11.770376,-3.070454,-6.848238
3.083900,-7.056489,-11.687243,-10.589642,-11.770376,-3.070454,-6.848238
3.096375,-7.056489,-11.687243,-10.589642,-11.770376,-3.070454,-6.848238
3.108850,-7.056489,-11.687243,-10.589642,-11.770376,-3.070454,-6.848238
3.121325,-7.056489,-11.687243,-10.589642,-11.770376,-3.070454,-6.848238
3.133800,-7.056489,-11.687243,-10.589642,-11.770376,-3.070454,-6.848238
3.146275,-7.056489,-11.772460,-10.589642,-11.866473,-3.070454,-6.946786
3.158750,-6.452815,-11.844612,-17.479090,-11.992906,-4.811512,-7.031640
3.171225,-6.357553,-11.889326,-22.908251,-12.145152,-4.235418,-7.103305
3.183700,-6.732732,-11.911995,-24.345245,-12.314939,-5.944522,-7.165908
3.196175,-7.533682,-11.920034,-21.929497,-12.510220,-7.340686,-7.223047
3.208650,-8.602902,-11.917052,-16.195877,-12.714554,-8.271664,-7.274743
3.221125,-7.327832,-11.889802,-7.855427,-12.936923,-8.635784,-7.320456
3.233600,-8.286621,-11.838430,2.099681,-13.162350,-8.382942,-7.357385
3.246075,-8.995392,-11.770663,12.577937,-13.395514,-7.515319,-7.382265
3.258550,-9.308925,-11.697272,22.434614,-13.631318,-6.074484,-7.394142
3.271025,-9.106634,-11.616494,30.588192,-13.872524,-4.678090,-7.397462
3.283500,-8.251794,-11.523885,36.111832,-14.118955,-3.947918,-7.396916
3.295975,-6.722728,-11.418042,38.247753,-14.379407,-3.917905,-7.394210
3.308450,-4.638192,-11.310617,36.534248,-14.654577,-4.587040,-7.389084
3.320925,-2.567386,-11.209157,30.748751,-14.947832,-5.904341,-7.378920
3.333400,-1.130308,-11.102097,21.005804,-15.253645,-7.781089,-7.360439
3.345875,-0.336323,-10.989261,10.137176,-15.575003,-10.082928,-7.330679
3.358350,-0.195522,-10.877217,-2.940413,-15.899150,-10.208066,-7.293931
3.370825,-0.664667,-10.771553,-16.201712,-16.251146,-12.765927,-7.257299
3.383300,-1.559238,-10.668694,-27.567162,-16.620636,-15.170770,-7.224969
3.395775,-2.623496,-10.557279,-38.239307,-17.012558,-17.281755,-7.197556
3.408250,-1.373295,-10.437950,-45.340645,-17.415884,-19.008837,-7.175320
3.420725,-2.414159,-10.321298,-48.690556,-17.821928,-20.321505,-7.153506
3.433200,-3.182177,-10.202467,-48.592091,-18.219360,-21.239471,-7.128505
3.445675,-3.483441,-10.070247,-45.517216,-18.597366,-19.396046,-7.105710
3.458150,-3.189444,-9.930787,-39.967827,-18.947641,-19.655621,-7.094496
3.470625,-2.290365,-9.790957,-32.963638,-19.294006,-19.744766,-7.101658
3.483100,-0.746881,-9.643196,-25.526262,-19.610203,-19.849373,-7.129398
3.495575,1.443299,-9.479854,-18.766954,-19.895861,-20.200331,-7.178084
3.508050,3.628451,-9.302440,-13.803404,-20.143591,-21.051767,-7.240140
3.520525,5.063707,-9.124451,-9.293293,-20.326918,-20.227205,-7.314895
3.533000,5.745923,-8.943656,-7.709750,-20.456245,-19.695473,-7.407034
3.545475,5.702188,-8.760513,-8.249775,-20.532400,-18.452389,-7.526968
3.557950,5.046958,-8.567978,-10.198616,-20.564463,-18.596313,-7.679481
3.570425,3.815960,-8.379922,-12.605751,-20.558470,-18.080336,-7.864545
3.582900,2.159827,-8.204190,-14.558464,-20.507799,-17.366638,-8.074956
3.595375,2.699979,-8.036102,-15.229416,-20.419437,-14.545843,-8.297045
3.607850,0.847838,-7.870464,-13.827439,-20.288464,-11.908596,-8.527124
3.620325,-0.845722,-7.722385,-9.824953,-20.105316,-8.738585,-8.765083
3.632800,-2.264357,-7.597215,-5.572718,-19.892715,-4.390555,-9.012347
3.645275,-3.188959,-7.492414,0.397932,-19.677027,-1.317016,-9.266701
3.657750,-3.462183,-7.399920,7.025730,-19.461708,2.174351,-9.522787
3.670225,-3.061528,-7.319441,13.148706,-19.255693,5.321477,-9.768681
3.682700,-2.071073,-7.262126,17.678703,-19.061108,9.789856,-9.992633
3.695175,-1.065425,-7.223003,19.581123,-18.857479,13.147150,-10.191045
3.707650,-0.631607,-7.195780,20.432981,-18.655684,16.056074,-10.368757
3.720125,-0.782019,-7.179399,18.126524,-18.466099,19.213085,-10.531959
3.732600,-1.491519,-7.176081,13.717074,-18.303078,20.324934,-10.683456
3.745075,-2.711193,-7.186004,7.998762,-18.179155,21.306566,-10.823471
3.757550,-4.269417,-7.198744,2.332648,-18.072763,21.701956,-10.947483
3.770025,-6.012273,-7.214583,-2.261236,-18.005871,21.116020,-11.048149
3.782500,-5.422937,-7.239986,-4.743823,-17.962175,21.706022,-11.125648
3.794975,-7.084411,-7.272852,-4.316916,-17.920778,21.586115,-11.191221
3.807450,-8.386356,-7.305112,-3.072725,-17.917002,18.935320,-11.252190
3.819925,-9.170196,-7.335268,0.639111,-17.954006,16.143549,-11.310230
3.832400,-9.344746,-7.363027,5.748012,-18.028055,13.224590,-11.361234
3.844875,-8.857005,-7.397394,11.164640,-18.162674,10.241892,-11.400507
3.857350,-7.650528,-7.425481,15.662569,-18.336498,7.272295,-11.420387
3.869825,-5.772608,-7.443546,20.334299,-18.503290,6.875377,-11.418094
3.882300,-3.867112,-7.463590,22.595274,-18.673712,4.473161,-11.409102
3.894775,-2.631804,-7.484068,22.733503,-18.845081,2.671543,-11.399600
3.907250,-2.063104,-7.501581,21.378531,-19.026550,1.584482,-11.389879
3.919725,-2.112703,-7.513624,18.913771,-19.195440,1.269971,-11.379309
3.932200,-2.739033,-7.522898,15.889974,-19.326576,1.760723,-11.364809
3.944675,-3.884876,-7.537981,12.951985,-19.399210,3.039358,-11.342873
3.957150,-5.338542,-7.557315,10.706024,-19.402975,5.055105,-11.314038
3.969625,-4.500424,-7.582411,9.806084,-19.319201,7.221502,-11.286154
3.982100,-5.948213,-7.612110,10.659917,-19.168013,8.942842,-11.265972
3.994575,-7.143056,-7.646598,10.639370,-18.946198,10.185561,-11.254641
4.007050,-7.894452,-7.686526,11.126282,-18.655554,10.958701,-11.250497
4.019525,-8.069126,-7.735790,11.053283,-18.295570,11.307313,-11.249658
4.032000,-7.556829,-7.790850,11.916997,-17.874538,11.314234,-11.247453
4.044475,-6.346080,-7.853959,10.970385,-17.407957,11.115786,-11.237885
4.056950,-4.473012,-7.923570,8.737779,-16.890448,10.884686,-11.228864
4.069425,-2.527230,-7.997701,5.783602,-16.351519,10.318400,-11.219738
4.081900,-1.194121,-8.074708,2.841720,-15.823006,9.076378,-11.213593
4.094375,-0.456005,-8.157879,0.501598,-15.311999,7.441487,-11.210152
4.106850,-0.331725,-8.248142,-0.697942,-14.816084,5.722586,-11.207299
4.119325,-0.712265,-8.342542,-0.247282,-14.348150,4.223615,-11.201447
4.131800,-1.461961,-8.437009,2.332714,-13.889393,3.245861,-11.189277
4.144275,-2.442173,-8.535340,7.338333,-13.446879,3.085571,-11.169887
4.156750,-1.035694,-8.639698,12.165035,-13.065075,1.030585,-11.146659
4.169225,-1.870732,-8.742151,17.881241,-12.727379,0.988964,-11.120030
4.181700,-2.353260,-8.843432,23.336254,-12.430611,0.234740,-11.092499
4.194175,-2.317815,-8.938519,27.274477,-12.158317,-0.959523,-11.065554
4.206650,-1.661665,-9.033921,28.738235,-11.908704,-2.279112,-11.036212
4.219125,-0.339118,-9.127095,29.428471,-11.686281,-3.415070,-11.002805
4.231600,1.733519,-9.213300,27.066631,-11.494246,-4.057021,-10.962296
4.244075,4.530472,-9.288646,22.585611,-11.339299,-3.893761,-10.914786
4.256550,7.354547,-9.350927,16.948233,-11.226161,-5.649128,-10.862509
4.269025,9.519078,-9.405960,11.374561,-11.151912,-5.426275,-10.807910
4.281500,11.047045,-9.457980,6.984303,-11.110342,-5.953540,-10.753194
4.293975,11.955864,-9.496635,4.899025,-11.085374,-6.952105,-10.700531
4.306450,12.347255,-9.521132,6.021392,-11.083912,-8.119633,-10.648644
4.318925,12.277975,-9.536947,8.166105,-11.115496,-9.131331,-10.593836
4.331400,11.893161,-9.546465,12.974580,-11.177302,-9.665665,-10.534388
4.343875,11.416427,-9.548724,19.481377,-11.269711,-9.406126,-10.470694
4.356350,10.488660,-9.541917,26.563240,-11.395724,-11.073804,-10.404618
4.368825,8.775536,-9.527213,33.080990,-11.539769,-10.779297,-10.338220
4.381300,6.515581,-9.507407,37.881649,-11.696716,-11.260371,-10.272820
4.393775,4.032759,-9.489198,40.099392,-11.865747,-12.240410,-10.208950
4.406250,1.714427,-9.468337,39.065590,-12.059658,-13.418183,-10.145118
4.418725,-0.081689,-9.437326,36.680641,-12.272180,-14.465500,-10.077470
4.431200,-1.075819,-9.402894,30.943338,-12.503913,-15.046633,-10.004982
4.443675,-1.686400,-9.374084,23.040937,-12.761185,-14.854283,-9.929008
4.456150,-2.257999,-9.348683,14.409636,-13.033531,-14.201170,-9.850834
4.468625,-2.550500,-9.320357,6.399107,-13.300815,-13.455686,-9.773956
4.481100,-2.409464,-9.290856,0.478986,-13.567721,-12.425652,-9.700663
4.493575,-1.751051,-9.260813,-1.983150,-13.828918,-10.962480,-9.632542
4.506050,-0.521769,-9.234360,-2.977324,-14.093857,-8.959188,-9.568680
4.518525,1.346356,-9.213998,-0.561716,-14.369574,-6.354558,-9.507350
4.531000,3.840085,-9.191863,4.426196,-14.643227,-3.108348,-9.446802
4.543475,6.350061,-9.169642,11.039171,-14.907682,0.777958,-9.389390
4.555950,8.187463,-9.151065,18.085173,-15.156492,4.682793,-9.335818
4.568425,9.325804,-9.132255,24.536148,-15.369171,7.977349,-9.288038
4.580900,9.827635,-9.117653,29.337545,-15.572466,10.626910,-9.246495
4.593375,9.778823,-9.099133,31.608143,-15.771756,12.645883,-9.210709
4.605850,9.306299,-9.078871,30.562551,-15.955224,14.089995,-9.177255
4.618325,8.554618,-9.059367,25.675276,-16.132254,15.081130,-9.142385
4.630800,7.702079,-9.044266,19.264477,-16.292065,15.787440,-9.104451
4.643275,6.381445,-9.028534,9.548055,-16.423155,16.412943,-9.063452
4.655750,4.275293,-9.011588,-1.959520,-16.519592,16.589430,-9.020651
4.668225,1.648817,-9.000512,-13.372095,-16.589317,15.989400,-8.977562
4.680700,-1.138099,-8.988216,-22.917423,-16.647692,14.889361,-8.936899
4.693175,-3.767458,-8.980767,-29.063055,-16.695122,13.610235,-8.898709
4.705650,-5.889431,-8.978734,-33.572514,-16.746365,12.480389,-8.863225
4.718125,-7.230909,-8.982662,-34.182384,-16.805294,11.828638,-8.828254
4.730600,-8.099056,-8.988613,-31.433939,-16.845934,11.959552,-8.794404
4.743075,-8.854373,-8.995188,-26.284657,-16.874702,10.145548,-8.762925
4.755550,-9.325898,-9.002036,-19.364347,-16.916286,10.285875,-8.736269
4.768025,-9.382489,-9.010727,-11.767212,-16.973057,9.631324,-8.717346
4.780500,-8.906013,-9.025295,-4.638215,-17.065889,8.463616,-8.707480
4.792975,-7.735018,-9.038795,0.843799,-17.199196,7.099978,-8.705330
4.805450,-5.875670,-9.041944,3.694927,-17.368891,5.885170,-8.707402
4.817925,-3.375483,-9.043201,3.121626,-17.589878,5.155585,-8.711906
4.830400,-0.909275,-9.046246,1.049647,-17.801538,5.221887,-8.717145
4.842875,0.899632,-9.050065,-4.385977,-18.043194,3.363170,-8.723418
4.855350,2.084679,-9.046594,-11.839502,-18.334507,3.464332,-8.733171
4.867825,2.673159,-9.030960,-19.793104,-18.660065,2.783274,-8.747837
4.880300,2.659129,-9.015538,-26.914698,-19.024654,1.602336,-8.767976
4.892775,2.152615,-9.003743,-31.825224,-19.425959,0.249903,-8.793091
4.905250,1.348709,-8.993946,-33.154442,-19.915665,-0.925786,-8.821219
4.917725,2.889595,-8.974145,-33.666763,-20.310286,-1.576793,-8.849473
4.930200,2.138115,-8.947482,-30.914770,-20.709446,-1.396660,-8.877033
4.942675,1.603042,-8.926214,-25.454313,-21.128841,-3.107570,-8.904366
4.955150,1.436140,-8.912198,-18.439104,-21.573845,-2.817751,-8.934734
4.967625,1.818734,-8.901861,-11.159131,-22.024530,-3.279322,-8.970223
4.980100,2.884398,-8.883885,-4.743498,-22.544296,-4.216936,-9.009760
4.992575,4.599435,-8.866811,0.209493,-22.978390,-5.306965,-9.050398
5.005050,6.898952,-8.860188,3.164239,-23.358429,-6.212367,-9.089334
5.017525,9.164163,-8.861898,3.524207,-23.728788,-6.589696,-9.122369
5.030000,10.827971,-8.864133,1.798023,-24.074594,-6.143859,-9.149765
5.042475,11.853053,-8.864283,-1.657847,-24.388083,-7.614935,-9.172918
5.054950,12.215446,-8.867043,-5.904331,-24.696386,-7.120930,-9.194710
5.067425,12.005462,-8.874712,-10.167541,-24.939022,-7.422064,-9.216705
5.079900,11.324418,-8.889135,-14.334789,-25.083792,-8.246213,-9.239485
5.092375,10.398152,-8.900891,-16.780344,-25.135859,-9.262189,-9.260001
5.104850,9.378943,-8.908107,-17.035854,-25.076639,-10.111783,-9.276677
5.117325,7.877413,-8.918770,-17.602978,-24.959272,-10.453997,-9.287053
5.129800,5.561937,-8.931988,-16.915396,-24.754820,-9.981332,-9.291171
5.142275,2.711899,-8.946333,-15.973969,-24.483088,-9.021617,-9.292670
5.154750,-0.320342,-8.961863,-15.812739,-24.143362,-7.938735,-9.295964
5.167225,-3.171491,-8.979378,-14.996860,-23.718994,-6.562315,-9.302648
5.179700,-5.523115,-9.001505,-16.068726,-23.228123,-4.749456,-9.310880
5.192175,-7.049748,-9.025583,-18.504957,-22.593588,-2.386705,-9.316267
5.204650,-8.095985,-9.053041,-20.997141,-22.016270,0.607473,-9.316543
5.217125,-9.029490,-9.083393,-23.123791,-21.431644,4.262510,-9.310078
5.229600,-9.661802,-9.120933,-24.340139,-20.853373,8.558555,-9.297107
5.242075,-9.830664,-9.158455,-23.950867,-20.280947,12.851548,-9.281690
5.254550,-9.401220,-9.198522,-21.499491,-19.728270,16.500839,-9.266452
5.267025,-8.314754,-9.241876,-16.777292,-19.099224,19.466108,-9.252724
5.279500,-6.558232,-9.287991,-10.146361,-18.544270,21.757093,-9.237857
5.291975,-4.145136,-9.336497,-2.390545,-18.045712,23.448671,-9.218261
5.304450,-1.691454,-9.377397,5.977459,-17.587584,24.667582,-9.193013
5.316925,0.115661,-9.411871,13.893425,-17.181116,25.579458,-9.160985
5.329400,1.238228,-9.451146,20.287527,-16.811882,26.371964,-9.123794
5.341875,1.697935,-9.496548,24.008095,-16.436003,26.683285,-9.085725
5.354350,1.599527,-9.538273,24.110582,-16.066441,26.180403,-9.050968
5.366825,1.115115,-9.573672,23.530359,-15.743775,25.147356,-9.018667
5.379300,0.368552,-9.602187,19.459860,-15.454082,23.899055,-8.987059
5.391775,-0.491267,-9.637259,13.311169,-15.197516,22.765930,-8.952568
5.404250,-1.826769,-9.673280,6.449768,-14.970147,22.092094,-8.913559
5.416725,-3.941264,-9.704950,0.316212,-14.768237,22.172356,-8.870910
5.429200,-6.512764,-9.730987,-3.724124,-14.570498,20.279299,-8.826447
5.441675,-9.265205,-9.758387,-4.536774,-14.374540,20.305384,-8.784221
5.454150,-11.879017,-9.787007,-3.910510,-14.202685,19.504620,-8.746947
5.466625,-13.979485,-9.817763,0.129228,-14.055717,18.154722,-8.714146
5.479100,-15.231959,-9.834337,6.706443,-13.931478,16.572721,-8.683721
5.491575,-15.963501,-9.837072,14.867920,-13.828843,15.091963,-8.652866
5.504050,-16.664452,-9.841339,23.533903,-13.754251,14.053992,-8.619741
5.516525,-17.136950,-9.844418,31.557671,-13.698444,13.758558,-8.585839
5.529000,-17.147091,-9.844258,37.806507,-13.653633,11.476462,-8.554067
5.541475,-16.543200,-9.827560,41.424049,-13.611824,11.102316,-8.527982
5.553950,-15.285451,-9.802897,41.832260,-13.593324,9.888016,-8.509579
5.566425,-13.384868,-9.779041,38.524654,-13.596584,8.110142,-8.498243
5.578900,-10.875089,-9.751669,31.280291,-13.621533,6.089560,-8.491011
5.591375,-8.322695,-9.718250,22.669811,-13.658765,4.163759,-8.485398
5.603850,-6.384415,-9.676978,11.260473,-13.700608,2.678713,-8.478209
5.616325,-5.162091,-9.639597,-1.233068,-13.724567,1.949143,-8.472555
5.628800,-4.637526,-9.610179,-12.935318,-13.724821,1.654181,-8.471837
5.641275,-4.664329,-9.584286,-21.886148,-13.717512,1.432248,-8.478763
5.653750,-5.091594,-9.545835,-29.538277,-13.703953,1.448019,-8.494515
5.666225,-5.798757,-9.507469,-33.371220,-13.681204,1.842479,-8.518181
5.678700,-4.267950,-9.473145,-33.619259,-13.650928,2.721270,-8.546470
5.691175,-5.118134,-9.441563,-30.800985,-13.618802,4.157166,-8.575833
5.703650,-5.691877,-9.404857,-25.696129,-13.570913,6.175746,-8.605931
5.716125,-5.847584,-9.363706,-19.293020,-13.511082,8.777215,-8.641067
5.728600,-5.502601,-9.317362,-12.480964,-13.450116,11.327308,-8.686244
5.741075,-4.563761,-9.271922,-6.318095,-13.406722,13.173666,-8.743993
5.753550,-2.974764,-9.211864,-1.932858,-13.385989,14.262955,-8.815534
5.766025,-0.763426,-9.140268,-0.277774,-13.393451,14.599619,-8.899923
5.778500,1.339679,-9.066364,0.331160,-13.446167,14.240778,-8.993326
5.790975,2.722553,-8.993003,-2.568772,-13.521983,13.295824,-9.088734
5.803450,3.400814,-8.915733,-8.077250,-13.615608,11.936476,-9.189972
5.815925,3.398393,-8.827665,-14.841039,-13.752493,12.792102,-9.303361
5.828400,2.777307,-8.741619,-21.624897,-13.956126,11.229592,-9.433167
5.840875,1.637294,-8.658075,-27.270504,-14.229003,9.808348,-9.581239
5.853350,0.127710,-8.577809,-30.552778,-14.573945,8.656285,-9.748692
5.865825,0.930360,-8.491536,-30.469992,-14.973313,7.860237,-9.931678
5.878300,-0.663833,-8.406729,-29.079937,-15.437839,7.444461,-10.114450
5.890775,-2.124021,-8.342064,-24.418570,-15.987395,7.434471,-10.299713
5.903250,-3.231591,-8.286072,-17.097811,-16.583210,10.278034,-10.497459
5.915725,-3.797241,-8.227943,-8.611208,-17.210335,11.068026,-10.712767
5.928200,-3.748630,-8.166283,1.012040,-17.883484,12.022470,-10.946222
5.940675,-3.155282,-8.117908,10.499331,-18.570787,12.923553,-11.196630
5.953150,0.339270,-8.086188,18.820637,-19.245348,13.497704,-11.445173
5.965625,1.949028,-8.058244,24.957642,-19.856419,13.463486,-11.671346
5.978100,3.964405,-8.031097,28.225834,-20.367960,15.105360,-11.875985
5.990575,6.169975,-8.018094,28.218739,-20.751141,16.480398,-12.062509
6.003050,8.361923,-8.019148,24.881182,-20.963902,18.499044,-12.227588
6.015525,10.421739,-8.029514,18.342766,-21.020435,19.000790,-12.364306
6.028000,12.225015,-8.040766,11.468144,-20.912354,19.975836,-12.459637
6.040475,13.517626,-8.068363,3.090927,-20.649265,20.956915,-12.496470
6.052950,16.541027,-8.119790,-4.933809,-20.241432,21.504644,-12.463781
6.065425,16.480333,-8.186220,-13.682571,-19.691870,23.639376,-12.357973
6.077900,15.776370,-8.262772,-19.993370,-19.052589,25.147255,-12.187145
6.090375,14.387660,-8.351459,-23.283319,-18.361481,26.804667,-11.958034
6.102850,12.364343,-8.468771,-23.449938,-17.648989,26.337084,-11.675399
6.115325,9.862652,-8.602104,-20.419571,-16.938963,25.698864,-11.343015
6.127800,7.086707,-8.751292,-14.411848,-16.276442,24.464077,-10.963729
6.140275,6.626783,-8.918108,-6.124631,-15.675588,22.279240,-10.540662
6.152750,3.797225,-9.111002,3.618085,-15.170778,21.284201,-10.081065
6.165225,1.247838,-9.328356,13.698086,-14.742450,19.501972,-9.608564
6.177700,-0.761861,-9.548683,22.880426,-14.357192,17.964903,-9.141929
6.190175,-2.140175,-9.781933,30.069387,-14.032711,14.633254,-8.689874
6.202650,-2.843789,-10.039644,35.309551,-13.783014,11.710892,-8.257198
6.215125,-2.843920,-10.314989,37.070076,-13.585378,8.996393,-7.844232
6.227600,-2.037786,-10.591309,35.146900,-13.440135,6.317190,-7.446770
6.240075,-1.051630,-10.869815,29.411648,-13.343566,5.981886,-7.075141
6.252550,-0.635798,-11.161226,20.067039,-13.294944,6.106584,-6.745364
6.265025,-0.780698,-11.459973,7.583245,-13.270968,4.654723,-6.457321
6.277500,-1.370698,-11.741633,-4.834745,-13.270338,3.781351,-6.207658
6.289975,-2.371363,-12.014289,-18.084541,-13.304807,3.260097,-5.991709
6.302450,-3.739929,-12.291711,-29.928761,-13.359544,2.876340,-5.800725
6.314925,-5.380142,-12.576509,-41.238506,-13.436134,2.471651,-5.632859
