Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1337938906.94,2012_05_25_10:41:46,+297.75,+297.58,+02.989,+297.47,+296.91,+297.78,+297.46,+297.81,243.106476,-6.572
4.006250,-14.935369,-12.327374,-151.737076,-1.949187,-109.579987,-18.519926
4.012500,-16.268440,-12.696190,-117.378227,-1.813535,-118.652290,-18.348354
4.018750,-17.678638,-13.033299,-83.006584,-1.690629,-127.825989,-18.126495
4.025000,-19.753223,-13.453038,-48.769169,-1.597136,-137.145935,-17.817295
4.031250,-22.399437,-14.060555,-14.511027,-1.518224,-145.983932,-17.442385
4.037500,-25.202692,-14.833126,19.815657,-1.459519,-154.327438,-17.005373
4.043750,-27.571245,-15.730566,54.138981,-1.413772,-162.140366,-16.553030
4.050000,-28.627645,-16.660505,88.429131,-1.377657,-169.467789,-16.114115
4.056250,-28.265659,-17.516092,122.620453,-1.358433,-176.440033,-15.702973
4.062500,-26.927513,-18.282623,156.751877,-1.326922,177.158203,-15.304809
4.068750,-24.706833,-18.978548,-169.139664,-1.300416,170.963669,-14.931269
4.075000,-22.248997,-19.696480,-135.076981,-1.277299,164.918121,-14.558509
4.081250,-19.684389,-20.470354,-101.061455,-1.246454,159.122330,-14.199056
4.087500,-16.357632,-21.342590,-66.984596,-1.212903,153.262543,-13.838804
4.093750,-11.294827,-22.073814,-32.807930,-1.187320,147.488098,-13.493952
4.100000,-3.857348,-22.413080,1.415875,-1.169145,141.822662,-13.158803
4.106250,5.672597,-22.289515,35.622269,-1.164956,136.247055,-12.809744
4.112500,15.753603,-21.638550,69.861046,-1.173255,130.914322,-12.481570
4.118750,24.984884,-20.626141,104.103928,-1.200814,125.821320,-12.162519
4.125000,32.081467,-19.512121,138.398163,-1.247915,120.966286,-11.845896
4.131250,36.053123,-18.440092,172.581436,-1.279874,116.254166,-11.562773
4.137500,37.697708,-17.603880,-153.133804,-1.336888,111.781418,-11.308414
4.143750,37.945496,-16.893417,-118.878113,-1.397124,107.418716,-11.078561
