Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1337938578.59,2012_05_25_10:36:18,+297.73,+297.56,+02.989,+297.45,+296.89,+297.75,+297.44,+297.79,243.085953,-6.569
4.006250,-59.915848,-6.374635,179.430984,-7.144514,-137.893875,-18.066269
4.012500,-61.097740,-6.225070,-145.088821,-7.147502,-146.528442,-17.629082
4.018750,-62.717274,-6.070200,-109.952309,-7.228447,-155.148834,-17.223248
4.025000,-65.159332,-5.999201,-74.695007,-7.282252,-163.416000,-16.720720
4.031250,-68.249374,-6.071880,-39.045895,-7.273195,-170.325195,-16.143297
4.037500,-71.447243,-6.258551,-3.416533,-7.278105,-176.890198,-15.590679
4.043750,-74.102676,-6.474505,31.733105,-7.330002,177.004059,-15.137797
4.050000,-75.759995,-6.602468,66.770050,-7.397171,171.123444,-14.770694
4.056250,-76.514748,-6.588157,102.109909,-7.418937,165.918167,-14.409575
4.062500,-76.934296,-6.418636,137.648468,-7.401938,160.909378,-14.061467
4.068750,-77.849686,-6.167856,172.990311,-7.401037,155.956192,-13.764017
4.075000,-79.855011,-5.989833,-151.784485,-7.413321,150.654709,-13.477008
4.081250,-82.951958,-5.984512,-116.341217,-7.407487,145.297501,-13.157035
4.087500,-86.624557,-6.153000,-80.817032,-7.410755,140.031311,-12.829353
4.093750,-89.997452,-6.423935,-45.309628,-7.433436,134.683533,-12.514878
4.100000,-92.363640,-6.666113,-9.629463,-7.450236,129.546509,-12.190457
4.106250,-93.525764,-6.776824,26.085272,-7.450260,124.845886,-11.871337
4.112500,-93.849770,-6.693274,61.652985,-7.488758,120.193619,-11.589453
4.118750,-94.285583,-6.490660,97.094681,-7.537139,115.760300,-11.346635
4.125000,-95.582420,-6.289675,132.654800,-7.558656,111.620544,-11.108724
4.131250,-98.123253,-6.210933,168.218872,-7.546913,107.590385,-10.863220
4.137500,-101.452873,-6.326139,-156.337692,-7.555005,103.574036,-10.689791
4.143750,-104.818497,-6.578257,-121.090790,-7.577638,99.474564,-10.538115
4.150000,-107.365265,-6.837638,-85.661018,-7.576319,95.535172,-10.376026
4.156250,-108.778183,-6.986360,-50.178074,-7.568829,91.703995,-10.224164
4.162500,-109.151840,-6.944605,-14.823795,-7.599705,87.661301,-10.111944
4.168750,-109.302338,-6.721555,20.599180,-7.664947,83.695641,-10.027225
4.175000,-110.337685,-6.483698,56.396889,-7.667023,79.918961,-9.898543
4.181250,-112.595764,-6.347147,92.353134,-7.644523,76.256401,-9.755477
4.187500,-116.093353,-6.427114,128.027359,-7.675106,72.195831,-9.665420
4.193750,-119.884514,-6.686081,163.514236,-7.722363,68.010010,-9.590978
4.200000,-123.024101,-7.031010,-160.669739,-7.726833,64.158157,-9.490103
4.206250,-124.898529,-7.325166,-124.725929,-7.703010,60.540756,-9.336234
4.212500,-125.522675,-7.438701,-89.069664,-7.702362,56.797058,-9.226515
4.218750,-125.231575,-7.344111,-53.538376,-7.740060,52.995163,-9.165847
4.225000,-125.047440,-7.098901,-17.782160,-7.749458,49.416500,-9.090709
4.231250,-125.855408,-6.849852,18.148775,-7.719351,46.183632,-9.022593
4.237500,-127.979866,-6.716921,53.978024,-7.705554,42.871185,-8.996418
4.243750,-131.080612,-6.752776,89.526360,-7.725908,39.346233,-9.022345
4.250000,-134.347733,-6.929641,125.106400,-7.727335,35.800880,-9.037418
4.256250,-137.079361,-7.144300,160.824921,-7.708979,32.353924,-9.044598
4.262500,-138.856842,-7.302090,-163.535461,-7.697105,28.718658,-9.065033
4.268750,-139.873901,-7.341275,-127.905045,-7.683944,24.931429,-9.073951
4.275000,-140.512329,-7.272585,-92.176079,-7.668351,21.129967,-9.068377
4.281250,-141.505630,-7.170762,-56.387791,-7.637619,17.374994,-9.052772
4.287500,-143.060043,-7.116374,-20.552023,-7.617040,13.637667,-9.049656
4.293750,-145.247940,-7.141436,15.224802,-7.617882,9.921592,-9.061297
4.300000,-147.552917,-7.240974,51.038635,-7.616047,6.299682,-9.077372
4.306250,-149.604645,-7.350389,86.842766,-7.610260,2.860280,-9.107366
4.312500,-151.076508,-7.409637,122.634109,-7.606487,-0.637305,-9.153859
4.318750,-152.024414,-7.383317,158.372681,-7.605391,-4.194037,-9.199636
4.325000,-152.927124,-7.267418,-165.943710,-7.591679,-7.746915,-9.252941
4.331250,-154.229004,-7.140620,-130.294373,-7.563310,-11.331531,-9.304815
4.337500,-156.116898,-7.076693,-94.659317,-7.535360,-14.934047,-9.374469
4.343750,-158.423370,-7.094401,-58.931438,-7.507870,-18.527620,-9.448857
4.350000,-160.798874,-7.167039,-23.209894,-7.474110,-22.106512,-9.511066
4.356250,-162.868759,-7.263619,12.482301,-7.440886,-25.687704,-9.596679
4.362500,-164.429337,-7.307374,48.266628,-7.420053,-29.307594,-9.713869
4.368750,-165.607025,-7.271244,84.117004,-7.390347,-32.917297,-9.821056
4.375000,-166.859024,-7.184845,119.976067,-7.372209,-36.653728,-9.946741
4.381250,-168.450592,-7.118102,155.743179,-7.359755,-40.444447,-10.059234
4.387500,-170.569412,-7.112489,-168.503662,-7.340155,-44.346870,-10.159944
4.393750,-172.961304,-7.192304,-132.736084,-7.310296,-48.222942,-10.221894
4.400000,-175.143936,-7.318821,-97.043816,-7.290103,-52.105492,-10.294972
4.406250,-176.823425,-7.414158,-61.478924,-7.278433,-55.992443,-10.375687
4.412500,-177.802643,-7.410926,-25.762421,-7.241703,-59.798710,-10.459890
4.418750,-178.359085,-7.277671,10.041519,-7.177613,-63.369270,-10.533528
4.425000,-179.129044,-7.050645,45.756050,-7.136658,-66.978348,-10.652966
4.431250,179.330383,-6.846855,81.329025,-7.126167,-70.767319,-10.817269
4.437500,176.750977,-6.759855,116.963722,-7.092381,-74.532082,-10.991965
4.443750,173.456787,-6.843200,152.921051,-7.023421,-78.134857,-11.107498
4.450000,170.081970,-7.056209,-171.272034,-6.960976,-82.122238,-11.231313
4.456250,167.422531,-7.322369,-135.884003,-6.960365,-86.719231,-11.412845
4.462500,165.884537,-7.511952,-100.398888,-6.947997,-91.262550,-11.582312
4.468750,165.399673,-7.529232,-64.523056,-6.882236,-95.480965,-11.683064
4.475000,165.401077,-7.381827,-28.675915,-6.802460,-99.592461,-11.781002
4.481250,165.195312,-7.139174,6.909175,-6.757308,-103.722221,-11.926418
4.487500,163.960327,-6.926199,42.306816,-6.747073,-108.099869,-12.130795
4.493750,161.542465,-6.846156,77.916466,-6.707063,-111.936897,-12.321744
4.500000,158.520142,-6.916302,113.550278,-6.678663,-115.524010,-12.525240
4.506250,155.647003,-7.064992,148.832077,-6.704429,-119.239357,-12.751020
4.512500,153.517487,-7.199389,-175.812637,-6.740934,-122.734993,-12.957683
4.518750,152.286713,-7.242043,-140.080933,-6.715552,-125.851021,-13.061666
4.525000,151.609085,-7.139395,-104.304680,-6.677273,-128.844238,-13.122954
4.531250,151.016235,-6.921353,-68.857857,-6.661565,-132.248093,-13.173281
4.537500,149.788773,-6.670597,-33.458088,-6.665244,-135.920929,-13.239733
4.543750,147.487183,-6.527693,2.323516,-6.609440,-139.437012,-13.242769
4.550000,144.216385,-6.549184,38.191376,-6.541134,-143.050140,-13.231415
4.556250,140.667007,-6.735658,73.690987,-6.540552,-147.069901,-13.319394
4.562500,137.750076,-6.977750,109.139404,-6.554564,-151.382339,-13.424443
4.568750,135.954987,-7.138697,144.905914,-6.531937,-155.466476,-13.469036
4.575000,135.298416,-7.161000,-179.123810,-6.489188,-159.272430,-13.498912
4.581250,135.182755,-6.980401,-143.439240,-6.468443,-163.150986,-13.512586
4.587500,134.782547,-6.690394,-107.897011,-6.436160,-167.079010,-13.508180
4.593750,133.216812,-6.428541,-72.353813,-6.410047,-170.761292,-13.521090
4.600000,130.313644,-6.320291,-36.921146,-6.407241,-174.325912,-13.533982
4.606250,126.570076,-6.416062,-1.547624,-6.412182,-177.877869,-13.627446
4.612500,122.719086,-6.675211,33.942619,-6.388573,178.870621,-13.698890
4.618750,119.756424,-6.968810,69.616615,-6.345634,175.757050,-13.753962
4.625000,117.979218,-7.189706,105.099304,-6.356897,172.442673,-13.872392
4.631250,117.510338,-7.235178,140.465256,-6.394363,168.916107,-13.984654
4.637500,117.475540,-7.100183,176.159561,-6.380475,165.434296,-14.014603
4.643750,117.080841,-6.852512,-147.867920,-6.333307,162.102432,-13.966463
4.650000,115.731270,-6.631468,-112.193665,-6.320419,158.413925,-13.931185
4.656250,113.223610,-6.543401,-76.871170,-6.355944,154.341873,-13.908152
4.662500,109.934059,-6.622664,-41.313957,-6.337152,150.867950,-13.800697
4.668750,106.631905,-6.819935,-5.537714,-6.297165,147.577133,-13.686247
4.675000,104.143822,-7.025895,29.976591,-6.317072,144.140778,-13.655792
4.681250,102.724838,-7.141718,65.262115,-6.349241,140.643311,-13.708411
4.687500,102.202057,-7.096579,101.019791,-6.328596,137.549911,-13.736317
4.693750,101.763969,-6.917648,137.158539,-6.258724,134.738876,-13.721655
4.700000,100.826004,-6.688240,172.802536,-6.244724,131.831543,-13.768321
4.706250,98.815254,-6.535567,-151.910339,-6.291539,128.507278,-13.860472
4.712500,95.853416,-6.533061,-116.443367,-6.304359,125.553307,-13.910310
4.718750,92.477234,-6.680232,-80.436066,-6.245334,122.937050,-13.887222
4.725000,89.442642,-6.889696,-44.739845,-6.230403,119.825668,-13.943864
4.731250,87.222748,-7.083316,-9.557810,-6.280960,116.340942,-14.082461
4.737500,86.053726,-7.158731,25.929230,-6.258994,113.334061,-14.183146
4.743750,85.446373,-7.092951,61.941483,-6.175515,110.806122,-14.212543
4.750000,84.817841,-6.923107,97.623787,-6.097377,108.295601,-14.214726
4.756250,83.466782,-6.763165,132.799835,-6.103943,105.843346,-14.143186
4.762500,81.151329,-6.713094,167.926376,-6.084998,103.757309,-13.854676
4.768750,78.221710,-6.791129,-156.624649,-6.077391,101.960564,-13.398786
4.775000,75.399147,-6.934556,-121.582962,-6.160918,98.194588,-13.174064
4.781250,73.072578,-7.105376,-86.563026,-6.286973,92.971664,-13.250663
4.787500,71.338234,-7.240021,-51.057369,-6.364155,88.528000,-13.413815
4.793750,70.403572,-7.269934,-15.013785,-6.370660,85.305710,-13.527660
4.800000,69.836014,-7.191496,21.032629,-6.341919,82.611000,-13.674215
4.806250,69.110306,-7.033674,56.623066,-6.374011,79.775703,-13.851230
4.812500,67.882362,-6.874416,92.012100,-6.434828,76.813904,-14.069551
4.818750,65.903648,-6.785057,127.707275,-6.443567,73.853844,-14.255479
4.825000,63.441193,-6.786979,163.542175,-6.441512,70.873672,-14.392953
4.831250,60.825916,-6.849157,-160.796509,-6.460761,67.328796,-14.564002
4.837500,58.450054,-6.925613,-125.295364,-6.503286,63.882130,-14.684873
4.843750,56.659889,-6.961604,-89.571754,-6.536460,60.430943,-14.749483
4.850000,55.137161,-6.935658,-53.877991,-6.575583,57.321846,-14.795985
4.856250,53.746647,-6.859922,-18.296993,-6.633504,54.258041,-14.880738
4.862500,52.050812,-6.786679,17.175587,-6.708868,51.164150,-14.971365
4.868750,49.863560,-6.765035,52.811031,-6.801960,48.310013,-15.106036
4.875000,47.345108,-6.812238,88.514732,-6.920355,45.322746,-15.305684
4.881250,44.739616,-6.947215,124.373810,-7.060272,42.232365,-15.590210
4.887500,42.377975,-7.138399,160.807632,-7.119308,39.126240,-15.988878
