Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1337938715.57,2012_05_25_10:38:35,+297.74,+297.57,+02.989,+297.46,+296.90,+297.76,+297.45,+297.80,243.096451,-6.567
4.006250,168.426041,-14.421909,-148.413544,-1.828911,-131.289429,-18.449888
4.012500,167.604126,-14.934181,-114.502357,-1.722859,-140.270386,-18.110573
4.018750,166.682312,-15.467793,-80.543724,-1.630983,-148.836197,-17.674604
4.025000,165.105316,-16.125847,-46.650417,-1.553953,-157.360382,-17.225534
4.031250,163.509949,-16.992474,-12.760795,-1.499461,-165.283508,-16.695967
4.037500,162.261719,-18.020813,21.225845,-1.460282,-172.589539,-16.221954
4.043750,162.213196,-19.076340,55.207199,-1.433481,-179.207794,-15.727446
4.050000,164.072418,-20.127003,89.291763,-1.407336,174.576752,-15.291044
4.056250,167.847122,-20.970980,123.190025,-1.393630,168.820770,-14.902911
4.062500,173.626724,-21.547201,157.110580,-1.366404,163.320526,-14.540583
4.068750,-179.672424,-21.850775,-168.987061,-1.350860,157.998322,-14.208169
4.075000,-172.206909,-21.910982,-135.086838,-1.337848,152.793976,-13.888934
4.081250,-164.954361,-21.759045,-101.131691,-1.323568,147.551941,-13.578964
4.087500,-158.401855,-21.471411,-67.153412,-1.318928,142.308990,-13.263720
4.093750,-151.989243,-21.033236,-33.047638,-1.323408,137.071259,-12.959445
4.100000,-146.324036,-20.430758,1.175531,-1.341544,131.940460,-12.644198
4.106250,-140.992828,-19.656534,35.355728,-1.365405,126.885300,-12.347584
4.112500,-136.249664,-18.712063,69.572380,-1.401360,122.056854,-12.050387
4.118750,-132.789383,-17.672113,103.778320,-1.453384,117.464241,-11.772491
4.125000,-131.009277,-16.678585,138.061783,-1.515357,113.102585,-11.500689
4.131250,-131.320786,-15.849045,172.255157,-1.559812,108.869171,-11.245399
4.137500,-132.900696,-15.223445,-153.467300,-1.613633,104.828896,-11.031905
4.143750,-135.019928,-14.807826,-119.209305,-1.682689,100.895058,-10.840785
4.150000,-136.746628,-14.446246,-85.006584,-1.743059,97.036766,-10.669715
4.156250,-137.659088,-14.013078,-50.740429,-1.822362,93.020988,-10.532560
4.162500,-137.814529,-13.433227,-16.455713,-1.908376,89.065170,-10.410736
4.168750,-137.955139,-12.705880,18.127748,-2.003016,85.083084,-10.291458
4.175000,-138.875381,-11.983905,52.609520,-2.093469,81.125946,-10.187490
4.181250,-141.342041,-11.377025,87.064728,-2.185790,77.092010,-10.078266
4.187500,-145.143066,-11.011680,121.456108,-2.300392,72.857376,-9.978938
4.193750,-149.367645,-10.861835,156.065399,-2.411852,68.814873,-9.866299
4.200000,-153.137314,-10.834840,-169.162537,-2.510865,64.919167,-9.734698
4.206250,-155.641815,-10.766792,-134.433395,-2.629656,61.077595,-9.611941
4.212500,-156.959335,-10.561213,-99.554787,-2.750541,57.191265,-9.522435
4.218750,-157.361450,-10.153611,-64.534531,-2.857789,53.511745,-9.441358
4.225000,-157.855591,-9.628028,-29.116390,-2.949569,49.982624,-9.364659
4.231250,-159.342056,-9.098746,6.026544,-3.032997,46.504681,-9.313454
4.237500,-162.184860,-8.694336,40.979588,-3.142857,42.996597,-9.319737
4.243750,-165.906586,-8.459889,75.841164,-3.256974,39.447594,-9.331704
4.250000,-169.933060,-8.368706,110.749634,-3.359382,35.927273,-9.347463
4.256250,-173.442795,-8.330810,145.530746,-3.447790,32.432796,-9.362724
4.262500,-176.069244,-8.252665,-179.869934,-3.554953,28.679548,-9.397632
4.268750,-177.922653,-8.063111,-145.027466,-3.660758,24.813683,-9.425236
4.275000,-179.509171,-7.784852,-110.033821,-3.743887,20.953527,-9.430616
4.281250,178.603226,-7.495990,-75.011566,-3.852809,17.090223,-9.442160
4.287500,176.056046,-7.253808,-39.952950,-3.965385,13.138317,-9.452707
4.293750,172.981628,-7.114234,-4.531285,-4.109627,9.390222,-9.474473
4.300000,169.741180,-7.043460,30.814795,-4.255854,5.689629,-9.491831
4.306250,166.777039,-6.998089,66.098396,-4.407288,2.152795,-9.530846
4.312500,164.341278,-6.916884,101.305420,-4.566187,-1.444913,-9.583934
4.318750,162.435257,-6.750246,136.636887,-4.723307,-4.859948,-9.661018
4.325000,160.539429,-6.516831,171.805328,-4.879280,-8.294785,-9.736620
4.331250,158.336823,-6.285645,-152.921310,-5.026095,-11.867390,-9.842330
