Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1337938348.8,2012_05_25_10:32:28,+297.69,+297.54,+02.989,+297.43,+296.87,+297.72,+297.42,+297.77,243.068054,-6.562
4.006250,120.981438,-5.698895,-174.110519,-8.933570,-140.260101,-17.562103
4.012500,119.643051,-5.571536,-138.833466,-8.874448,-148.216522,-17.143671
4.018750,117.794548,-5.445730,-103.819672,-8.894655,-156.363297,-16.794209
4.025000,115.117989,-5.411568,-68.670921,-8.911987,-163.897629,-16.373909
4.031250,111.786346,-5.515768,-32.963055,-8.864772,-170.596466,-15.887134
4.037500,108.407196,-5.735538,2.681105,-8.832807,-176.970734,-15.368500
4.043750,105.593002,-5.987552,37.848118,-8.889327,176.700226,-14.955721
4.050000,103.900429,-6.148699,72.894279,-8.966139,170.395401,-14.590629
4.056250,103.025093,-6.159512,108.234184,-8.994170,165.030945,-14.218377
4.062500,102.535797,-6.009754,143.716660,-8.968844,159.836502,-13.842550
4.068750,101.572937,-5.788695,178.973343,-8.973494,154.523712,-13.502303
4.075000,99.403984,-5.632771,-146.016281,-8.963324,149.205673,-13.173872
4.081250,96.120811,-5.662164,-110.776382,-8.930283,143.985519,-12.854494
4.087500,92.349487,-5.874002,-75.422714,-8.894173,138.928268,-12.529682
4.093750,88.914749,-6.175956,-40.037956,-8.878439,133.776718,-12.248701
4.100000,86.534157,-6.445392,-4.449260,-8.836635,128.885376,-11.950652
4.106250,85.403076,-6.582784,31.199139,-8.792616,124.357613,-11.669343
4.112500,85.033760,-6.525388,66.797386,-8.787036,119.842911,-11.423954
4.118750,84.676178,-6.346997,102.317665,-8.804986,115.511620,-11.205704
4.125000,83.389740,-6.162937,137.977798,-8.802120,111.333809,-10.958357
4.131250,80.828232,-6.117668,173.645309,-8.783145,107.296730,-10.736131
4.137500,77.501663,-6.258689,-150.773972,-8.790582,103.165283,-10.556327
4.143750,74.121094,-6.535788,-115.407684,-8.819025,99.032021,-10.405503
4.150000,71.616638,-6.818161,-79.868446,-8.812430,95.099724,-10.221206
4.156250,70.364044,-6.976717,-44.386665,-8.795598,91.242668,-10.046901
4.162500,70.092293,-6.945594,-8.903712,-8.818978,87.201065,-9.918323
4.168750,70.089905,-6.740151,26.437485,-8.837104,83.194649,-9.805639
4.175000,69.239769,-6.496186,62.082752,-8.800221,79.401314,-9.647179
4.181250,66.975891,-6.355621,97.941597,-8.730172,75.872742,-9.497783
4.187500,63.547138,-6.432811,133.395950,-8.700713,71.887268,-9.404811
4.193750,59.697933,-6.695483,168.755585,-8.687827,67.842552,-9.332428
4.200000,56.593288,-7.052737,-155.556122,-8.639047,64.144066,-9.239835
4.206250,54.720516,-7.352764,-119.679161,-8.573605,60.646626,-9.118828
