Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1337939110.8,2012_05_25_10:45:10,+297.77,+297.60,+02.989,+297.49,+296.93,+297.80,+297.48,+297.83,243.126190,-6.574
4.006250,-105.187126,-10.350257,-151.422119,-1.913397,53.808739,-6.262671
4.012500,-110.651917,-11.262798,-117.301773,-1.807512,49.718204,-6.232833
4.018750,-114.612686,-12.305294,-83.026611,-1.688426,45.872448,-6.208442
4.025000,-116.253998,-13.238762,-48.641876,-1.565971,42.128716,-6.200226
4.031250,-115.573151,-13.885221,-14.324489,-1.479373,38.359386,-6.220401
4.037500,-113.483597,-14.162458,19.933882,-1.418529,34.481377,-6.264779
4.043750,-111.907341,-14.260248,54.182343,-1.392044,30.488857,-6.332699
4.050000,-112.376221,-14.488946,88.530380,-1.349948,26.545673,-6.394853
4.056250,-115.451393,-15.154257,122.799103,-1.325482,22.536940,-6.465253
4.062500,-119.722313,-16.318117,156.932877,-1.298518,18.414930,-6.544718
4.068750,-122.956757,-17.787397,-168.979523,-1.278712,14.234225,-6.627662
4.075000,-123.403259,-19.396872,-134.979660,-1.251241,9.994269,-6.693274
4.081250,-120.046082,-20.820702,-100.974052,-1.219159,5.736514,-6.768174
4.087500,-112.975655,-21.797260,-66.907074,-1.184600,1.547968,-6.851167
4.093750,-102.762070,-22.165209,-32.787090,-1.152930,-2.548893,-6.941142
4.100000,-91.496834,-21.951378,1.442566,-1.139198,-6.617827,-7.032074
4.106250,-80.768707,-21.343250,35.642845,-1.125320,-10.587580,-7.161075
4.112500,-72.459068,-20.632795,69.814957,-1.124942,-14.450764,-7.307352
4.118750,-66.851685,-19.976707,104.060776,-1.156521,-18.227884,-7.472607
4.125000,-62.349052,-19.324587,138.316299,-1.200005,-22.090216,-7.669194
4.131250,-58.407509,-18.666153,172.473297,-1.239570,-25.967535,-7.881607
4.137500,-54.311760,-17.840651,-153.283401,-1.299811,-29.927343,-8.119864
4.143750,-50.599842,-16.801218,-119.036697,-1.378181,-34.010670,-8.349239
4.150000,-47.711414,-15.663007,-84.831223,-1.467873,-38.226734,-8.581971
4.156250,-46.980850,-14.559017,-50.694492,-1.573252,-42.628384,-8.805429
4.162500,-48.742931,-13.732847,-16.482533,-1.668202,-47.065048,-9.017961
4.168750,-52.013958,-13.220199,17.801907,-1.780504,-51.286438,-9.221911
