Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1337939384.36,2012_05_25_10:49:44,+297.80,+297.62,+02.989,+297.51,+296.95,+297.82,+297.50,+297.86,243.146011,-6.576
4.006250,33.067329,-8.309265,178.652145,-7.059751,45.585129,-6.367953
4.012500,28.883842,-8.718580,-146.146271,-7.094063,41.668095,-6.354053
4.018750,26.337952,-9.169621,-110.550453,-7.099710,38.095440,-6.337677
4.025000,25.986828,-9.428372,-74.977219,-7.105837,34.436779,-6.341342
4.031250,27.531906,-9.313804,-39.537624,-7.171293,30.592936,-6.405712
4.037500,29.997032,-8.806873,-4.159334,-7.266107,26.655472,-6.505976
4.043750,31.338024,-8.117646,31.472963,-7.333424,22.850908,-6.579389
4.050000,30.054441,-7.562140,67.189613,-7.364384,19.093725,-6.642780
4.056250,26.039988,-7.381483,102.632698,-7.422528,15.079546,-6.723664
4.062500,20.568140,-7.588259,137.767654,-7.480510,10.861084,-6.837576
4.068750,15.656067,-8.038507,173.061600,-7.520463,6.693374,-6.942953
4.075000,12.679184,-8.494810,-151.502319,-7.520235,2.688120,-7.029792
4.081250,11.986300,-8.753705,-116.131989,-7.518272,-1.321737,-7.131333
4.087500,13.311130,-8.656152,-80.690216,-7.505270,-5.313969,-7.235555
4.093750,15.204954,-8.217949,-45.086948,-7.472563,-9.127744,-7.338639
4.100000,16.053461,-7.636729,-9.378675,-7.454422,-13.013021,-7.467783
4.106250,14.575401,-7.194299,26.235889,-7.458264,-16.860252,-7.623324
4.112500,10.926036,-7.046589,61.935505,-7.473967,-20.637598,-7.797225
4.118750,6.320290,-7.192743,97.765297,-7.488290,-24.262957,-7.966599
4.125000,2.375279,-7.469612,133.485718,-7.508143,-28.012484,-8.151978
4.131250,-0.066676,-7.707874,169.064072,-7.545323,-31.839506,-8.384290
4.137500,-0.776915,-7.731267,-155.270432,-7.574294,-35.646519,-8.599605
4.143750,-0.542609,-7.510283,-119.565323,-7.571097,-39.420059,-8.800293
4.150000,-0.375494,-7.141298,-83.997627,-7.583993,-43.357658,-9.021431
4.156250,-1.540447,-6.777060,-48.654198,-7.611722,-47.556618,-9.256383
4.162500,-4.437392,-6.602592,-13.275213,-7.606395,-51.721886,-9.468305
