Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1337939194.18,2012_05_25_10:46:34,+297.78,+297.61,+02.989,+297.50,+296.94,+297.80,+297.49,+297.85,243.132950,-6.574
4.006250,79.286392,-12.489347,-148.824356,-1.838899,46.039856,-6.355189
4.012500,74.730629,-13.580425,-115.071960,-1.736470,42.137310,-6.341281
4.018750,72.034241,-14.774578,-81.220985,-1.638000,38.290798,-6.345731
4.025000,71.851883,-15.846058,-47.217331,-1.543646,34.574902,-6.367694
4.031250,74.149971,-16.575560,-13.297983,-1.472108,30.861261,-6.413663
4.037500,77.865242,-16.967516,20.668251,-1.432122,27.088398,-6.490879
4.043750,81.362396,-17.186703,54.668491,-1.415585,23.231249,-6.585758
4.050000,83.076103,-17.581091,88.754044,-1.402968,19.344234,-6.697762
4.056250,83.179832,-18.296503,122.763168,-1.398300,15.421906,-6.813059
4.062500,83.199051,-19.275961,156.705139,-1.390255,11.365771,-6.925394
4.068750,85.268517,-20.313978,-169.385437,-1.387754,7.268660,-7.045329
4.075000,90.434654,-21.080954,-135.500275,-1.383923,3.131681,-7.162166
4.081250,99.035156,-21.327051,-101.571854,-1.373981,-1.016337,-7.259428
4.087500,109.362144,-20.922096,-67.591789,-1.357919,-5.115806,-7.347960
4.093750,119.849792,-19.970390,-33.547256,-1.357237,-9.140794,-7.454622
4.100000,128.006958,-18.744415,0.677340,-1.359594,-13.037573,-7.564823
4.106250,132.486664,-17.624788,34.850368,-1.371578,-16.773621,-7.701735
4.112500,133.683945,-16.762989,69.087990,-1.390664,-20.442827,-7.871354
4.118750,132.897339,-16.235085,103.331444,-1.433060,-23.990627,-8.058431
4.125000,131.599442,-15.875471,137.641907,-1.496377,-27.512974,-8.289648
4.131250,131.297012,-15.509729,171.884735,-1.544131,-31.193077,-8.535718
4.137500,132.170853,-14.991808,-153.727631,-1.607715,-34.880402,-8.790438
4.143750,133.533112,-14.271629,-119.365082,-1.683618,-38.791004,-9.038010
4.150000,134.466537,-13.433888,-85.164223,-1.771525,-42.862309,-9.291252
4.156250,133.867874,-12.624847,-50.842411,-1.850350,-47.158798,-9.512650
4.162500,131.442337,-12.051285,-16.503998,-1.919561,-51.395306,-9.718806
4.168750,127.800964,-11.726670,18.060949,-2.014560,-55.710346,-9.902431
4.175000,124.120834,-11.591581,52.445782,-2.101113,-59.998417,-10.125127
4.181250,121.336540,-11.485486,86.820824,-2.170019,-63.987980,-10.340974
4.187500,119.695427,-11.301217,121.386070,-2.224105,-67.747849,-10.556398
4.193750,119.074402,-10.937719,155.986038,-2.289814,-71.407532,-10.822444
4.200000,118.834953,-10.426622,-169.441422,-2.379145,-75.126694,-11.117986
4.206250,117.851562,-9.863090,-134.923996,-2.492066,-78.919937,-11.429760
4.212500,115.611740,-9.371924,-100.018799,-2.590666,-82.651268,-11.754415
4.218750,112.203049,-9.071165,-65.027817,-2.707318,-86.598824,-12.081053
4.225000,108.269814,-8.936728,-29.941212,-2.860967,-90.995590,-12.442516
4.231250,104.587090,-8.902866,5.028163,-3.013320,-95.649933,-12.788181
4.237500,101.670998,-8.873852,40.153427,-3.138391,-100.230164,-13.079450
4.243750,99.584351,-8.766467,75.260208,-3.265769,-105.081703,-13.327538
4.250000,98.108444,-8.551696,110.056137,-3.390248,-110.051018,-13.582529
4.256250,96.741692,-8.272732,144.724136,-3.501866,-115.185104,-13.783857
4.262500,94.978554,-7.976935,179.382492,-3.595001,-120.192520,-13.972742
4.268750,92.601151,-7.731396,-145.734436,-3.684431,-125.271362,-14.180286
4.275000,89.822098,-7.550390,-110.850830,-3.764985,-130.210388,-14.406130
4.281250,87.031181,-7.438277,-75.894485,-3.861182,-135.018524,-14.680138
