Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1337939287.34,2012_05_25_10:48:07,+297.79,+297.61,+02.989,+297.50,+296.94,+297.81,+297.49,+297.85,243.139984,-6.571
4.006250,-145.114517,-7.963039,-174.570206,-8.809889,45.442020,-6.346380
4.012500,-149.461990,-8.399337,-139.455383,-8.829158,41.467209,-6.334735
4.018750,-152.197266,-8.874058,-103.922180,-8.809683,37.887333,-6.309871
4.025000,-152.750778,-9.163047,-68.419235,-8.792094,34.279411,-6.308750
4.031250,-151.290894,-9.069343,-33.178032,-8.825986,30.457033,-6.385284
4.037500,-148.978714,-8.576716,2.142017,-8.888858,26.427975,-6.483938
4.043750,-147.687195,-7.901733,37.527222,-8.922544,22.602549,-6.569218
4.050000,-149.194656,-7.373469,73.113770,-8.918002,18.852297,-6.629798
4.056250,-153.390350,-7.214124,108.335236,-8.931774,14.795633,-6.711396
4.062500,-158.927826,-7.449472,143.352371,-8.949160,10.488818,-6.811254
4.068750,-163.960526,-7.923554,178.549881,-8.945522,6.322400,-6.908422
4.075000,-167.029373,-8.405718,-146.212372,-8.910976,2.337384,-6.991322
4.081250,-167.789093,-8.676139,-110.940735,-8.877265,-1.597267,-7.087437
4.087500,-166.629822,-8.610751,-75.565216,-8.838136,-5.438824,-7.205399
4.093750,-164.797989,-8.192742,-40.025311,-8.797710,-9.211561,-7.327645
4.100000,-164.017044,-7.638293,-4.384600,-8.779736,-12.979959,-7.474086
4.106250,-165.570892,-7.219861,31.094204,-8.784985,-16.862921,-7.649506
4.112500,-169.309814,-7.090508,66.692207,-8.807671,-20.749485,-7.833439
4.118750,-173.902405,-7.263937,102.398605,-8.819263,-24.532795,-7.994855
4.125000,-177.861252,-7.557554,138.049500,-8.842499,-28.426174,-8.170316
4.131250,179.703644,-7.806364,173.505905,-8.871095,-32.430275,-8.366103
4.137500,178.945801,-7.854005,-150.940613,-8.882752,-36.318897,-8.572527
4.143750,179.290726,-7.643940,-115.358047,-8.865231,-40.036804,-8.753335
4.150000,179.357483,-7.283550,-79.883026,-8.858467,-43.890976,-8.975494
4.156250,178.161057,-6.935224,-44.609058,-8.855901,-47.820732,-9.236305
4.162500,175.201813,-6.780012,-9.192592,-8.834975,-51.785957,-9.484005
4.168750,171.287506,-6.855626,26.517715,-8.798192,-55.477440,-9.695954
4.175000,167.482147,-7.098141,62.031013,-8.780319,-59.536816,-9.940515
4.181250,164.662964,-7.361111,97.433289,-8.802450,-63.793663,-10.207810
4.187500,163.189804,-7.506152,133.066895,-8.789189,-67.891518,-10.435445
4.193750,162.839996,-7.455375,169.037613,-8.734900,-71.546806,-10.614846
4.200000,162.885223,-7.222248,-155.163895,-8.696108,-75.297005,-10.800628
4.206250,162.444717,-6.912643,-119.579376,-8.696976,-79.206284,-11.047755
4.212500,160.612473,-6.659105,-83.761139,-8.689900,-83.117188,-11.284243
4.218750,157.748932,-6.555633,-47.740494,-8.638419,-86.955513,-11.514617
4.225000,154.278656,-6.618844,-11.768148,-8.604048,-91.021797,-11.771168
4.231250,151.005737,-6.770039,23.894331,-8.609336,-95.774521,-12.091501
4.237500,148.499710,-6.921413,59.512501,-8.615059,-100.773407,-12.389839
4.243750,146.859375,-6.969566,95.275955,-8.585994,-105.633774,-12.640924
4.250000,145.828018,-6.911353,130.954117,-8.543845,-110.522202,-12.856516
4.256250,144.871109,-6.777712,166.233383,-8.528296,-115.494438,-13.060524
4.262500,143.426636,-6.630920,-158.468765,-8.497279,-120.395020,-13.253463
4.268750,141.377670,-6.530139,-122.987770,-8.450305,-124.973076,-13.449746
4.275000,138.939560,-6.500799,-87.458199,-8.386903,-129.568390,-13.660321
4.281250,136.402161,-6.537461,-51.979240,-8.337934,-134.318680,-13.932864
4.287500,134.150589,-6.573771,-16.334162,-8.311170,-139.141266,-14.241106
4.293750,132.302795,-6.570920,19.534260,-8.255925,-143.933380,-14.525698
4.300000,130.652435,-6.518862,55.408127,-8.230571,-149.235153,-14.798178
4.306250,128.922928,-6.448470,91.161263,-8.232598,-154.743408,-15.027243
4.312500,126.946686,-6.388121,126.888016,-8.241821,-160.645599,-15.199203
4.318750,124.677864,-6.377893,162.645599,-8.244448,-166.436813,-15.327587
4.325000,122.251205,-6.397952,-161.598557,-8.248764,-172.247681,-15.450867
4.331250,119.966446,-6.439897,-125.957413,-8.231752,-177.980011,-15.546851
4.337500,117.910927,-6.472738,-90.314865,-8.204963,176.409958,-15.653479
4.343750,116.158028,-6.466710,-54.798008,-8.173082,170.833069,-15.755413
4.350000,114.563698,-6.428772,-19.239546,-8.144807,165.226379,-15.830569
4.356250,112.764557,-6.380363,16.309149,-8.092304,159.638947,-15.894251
4.362500,110.824318,-6.345869,52.043869,-8.034982,154.042130,-15.946580
4.368750,108.679131,-6.351316,87.664337,-8.001623,148.400421,-15.994086
