Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1337880496.71,2012_05_24_18:28:16,+298.37,+298.54,+02.989,+298.40,+297.77,+298.87,+298.36,+298.93,243.943176,-6.914
3.001581,77.870308,0.196417,-101.605080,-20.388531,99.940453,-20.603197
3.006586,82.128906,0.435476,-131.370941,-17.634850,104.988861,-19.410444
3.011592,84.077148,0.327204,-114.155815,-19.120207,112.620979,-18.074961
3.016597,90.065163,0.328423,-104.304558,-16.367054,118.149864,-17.164547
3.021603,91.188187,0.388608,-86.175842,-17.659929,123.901566,-16.888020
3.026609,95.938377,0.184408,-75.957253,-16.078606,129.595749,-17.239529
3.031614,98.616570,0.342640,-69.437126,-18.972263,133.201736,-18.462778
3.036620,101.352623,0.244161,-40.271275,-17.774000,135.371017,-20.227331
3.041625,105.445358,0.371858,-38.498470,-19.844027,134.291107,-22.481112
3.046631,108.786217,0.336942,-15.499994,-20.386459,132.235977,-24.394554
3.051637,111.789619,0.477902,2.361989,-24.387758,126.960876,-26.030848
3.056642,114.946808,0.409216,14.140304,-31.027515,123.122528,-27.837076
3.061648,116.210487,0.684593,16.897921,-28.291393,123.930061,-30.932089
3.066653,120.680779,0.387273,17.349377,-26.804132,130.818787,-36.127068
3.071659,123.133102,0.238753,100.907768,-31.819120,138.289673,-56.227993
3.076664,127.342209,0.470796,134.920349,-26.659058,85.759125,-36.258415
3.081670,130.253830,0.395067,102.388947,-28.966345,-3.820076,-31.037888
3.086676,133.451431,0.321016,109.498512,-37.996719,6.720579,-29.149776
3.091681,136.079926,0.274743,-131.131470,-26.072422,12.989645,-29.326727
3.096687,140.117218,0.368341,-146.703125,-24.165285,24.450811,-31.828054
3.101692,141.685516,0.363230,-141.203873,-22.373478,24.228493,-38.187485
3.106698,144.791885,0.251580,-116.782951,-24.521971,-5.477881,-33.988842
3.111704,147.767120,0.305116,-100.337639,-21.958199,-80.100372,-28.483671
3.116709,151.125534,0.485683,-71.020462,-22.625814,-90.561935,-26.218857
3.121715,156.451843,0.279299,-41.055683,-23.429361,-94.678886,-25.183044
3.126720,158.733307,0.453030,-12.818510,-23.383921,-94.225250,-25.634260
3.131726,161.361954,0.351962,23.343594,-19.529949,-96.299667,-26.857140
3.136732,164.271591,0.530120,27.956158,-21.594669,-104.619225,-28.187336
3.141737,167.892349,0.450076,60.625328,-25.772375,-108.826599,-29.293413
3.146743,172.289398,0.347876,79.968521,-41.980995,-107.141136,-30.755329
3.151748,173.638733,0.426882,167.276367,-31.770760,-92.345673,-30.448570
3.156754,175.191818,0.158754,96.221664,-30.364931,-61.831066,-28.747717
3.161760,-179.539825,0.335873,-105.145218,-28.459671,-31.186491,-26.770861
3.166765,-176.319458,0.111527,167.082870,-27.223059,-5.464741,-25.176647
3.171771,-173.675018,0.493214,-170.945221,-27.438210,13.207483,-24.291008
3.176776,-170.675140,0.271948,-152.642380,-25.074234,35.771679,-23.704531
3.181782,-168.172226,0.756700,-114.014984,-23.002314,54.186867,-22.756847
3.186788,-163.784164,0.740164,-106.469009,-22.084480,71.557510,-22.345667
3.191793,-160.103516,0.364870,-124.302841,-21.175922,82.448753,-21.924137
3.196799,-157.569168,0.407325,-103.149719,-22.524281,90.127625,-21.582657
3.201804,-153.725357,0.484408,-66.448524,-21.019806,94.429848,-21.360563
3.206810,-151.618469,0.185144,-70.545273,-20.011198,95.629402,-21.591568
3.211815,-149.663239,0.074141,-65.216331,-25.095407,98.531555,-21.980961
3.216821,-145.336960,0.334779,-56.272423,-26.215107,105.196869,-23.125597
3.221827,-142.321976,0.276009,-25.377539,-41.986340,115.616966,-24.307243
3.226832,-137.080673,0.408323,153.224136,-29.561934,131.905548,-25.833694
3.231838,-136.572342,0.416033,-119.611153,-36.332649,158.815140,-26.491899
3.236843,-134.160355,0.474146,-117.343246,-33.402512,-174.170532,-26.553310
3.241849,-128.810104,0.560566,-62.786766,-22.154379,-151.031143,-27.221506
3.246855,-126.342773,0.222630,-94.988358,-25.335674,-139.275482,-28.926161
3.251860,-123.908806,0.540919,-101.289207,-20.713737,-136.037659,-32.868378
3.256866,-121.168762,0.445656,-78.535141,-23.625149,-143.528015,-38.386677
3.261871,-118.147911,0.433432,-85.062370,-23.802996,-162.115067,-40.516644
3.266877,-114.137222,0.372383,-51.388718,-25.788029,141.933289,-37.733368
3.271883,-111.742661,0.337153,-32.421989,-28.591238,125.741188,-40.787022
3.276888,-107.502625,0.336979,2.675179,-30.981596,95.854973,-36.472172
3.281894,-105.496338,0.646459,-11.796495,-29.876804,68.317307,-32.959824
3.286899,-101.982430,0.214044,131.183517,-27.349285,79.080055,-33.341908
