Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1337881151.8,2012_05_24_18:39:11,+298.37,+298.53,+02.989,+298.39,+297.77,+298.88,+298.34,+298.91,243.932999,-6.867
3.001581,82.264977,0.377972,-60.567760,-29.058434,88.738663,-23.441460
3.006586,86.622620,0.381468,-130.193024,-21.720036,100.125359,-22.851528
3.011592,89.238411,0.308951,-101.057304,-23.868202,113.720421,-22.020573
3.016597,93.444031,0.401051,-100.819939,-21.068317,125.081512,-21.169346
3.021603,95.354042,0.457379,-72.722343,-25.177715,136.220673,-21.132700
3.026609,100.352463,0.371729,-89.658958,-22.138309,146.370346,-21.950623
3.031614,103.265808,0.380683,-87.968201,-29.738625,155.344620,-24.037643
3.036620,105.866516,0.245258,-82.942657,-24.921345,165.243011,-27.378422
3.041625,108.579414,0.398242,-77.908806,-26.546017,175.667297,-32.823750
3.046631,111.966301,0.558947,-34.602345,-28.811127,-167.536514,-41.572853
3.051637,116.995132,0.430500,44.667160,-37.420162,-135.659180,-50.934219
3.056642,119.368813,0.382893,167.499084,-34.754482,-83.675636,-66.116196
3.061648,120.568993,0.548052,-177.673492,-27.636738,81.979263,-51.469730
3.066653,125.646530,0.253881,-108.661850,-27.874922,168.562256,-47.476528
3.071659,128.340775,0.415842,170.933548,-40.357784,177.026428,-47.359585
3.076664,131.685013,0.545260,-97.623451,-26.698057,122.602081,-42.059723
3.081670,133.269211,0.331131,32.879562,-25.259857,60.487186,-34.904606
3.086676,137.751526,0.603218,30.140455,-29.058542,76.485329,-31.866755
3.091681,139.816528,0.266607,27.033382,-30.869747,89.186157,-29.269880
3.096687,144.026276,0.521104,102.227516,-36.642197,102.266327,-29.543125
3.101692,147.547180,0.492821,127.941689,-32.008446,123.073883,-29.916321
3.106698,150.252472,0.298997,-148.030746,-32.919220,153.365494,-29.558308
3.111704,152.677216,0.434042,-24.213026,-26.264864,-165.710114,-27.595844
3.116709,155.619781,0.319052,-74.738823,-23.738560,-132.473434,-25.642843
3.121715,161.171982,0.147763,-29.965052,-26.913372,-115.813095,-24.733671
3.126720,163.156693,0.451711,-22.373371,-24.778200,-102.579453,-24.994122
3.131726,165.710907,0.406941,14.011457,-24.744083,-89.944633,-26.070354
3.136732,168.282867,0.387767,48.258438,-32.069695,-81.090546,-27.329605
3.141737,172.057175,0.500740,21.190454,-36.615608,-64.187386,-27.459089
3.146743,176.339661,0.366811,171.659012,-28.299353,-45.438362,-25.918974
3.151748,178.068634,0.339021,-90.656914,-25.276377,-24.698730,-23.553673
3.156754,179.545456,0.198623,-86.772072,-21.335640,-9.961967,-21.504086
3.161760,-175.462601,0.440075,-75.150513,-22.933313,0.876311,-20.173643
3.166765,-171.874390,0.228240,-83.553825,-22.975622,13.044476,-19.333746
3.171771,-170.070480,0.348295,-65.332237,-27.972431,24.157228,-19.116068
3.176776,-166.162964,0.333779,-89.249184,-22.359266,37.635605,-19.204073
3.181782,-164.274689,0.532028,-74.881393,-20.327671,52.027126,-19.308592
3.186788,-160.018539,0.572431,-74.462105,-22.982792,66.916321,-19.579100
3.191793,-157.109146,0.382759,-89.342262,-20.948038,79.817604,-19.803942
3.196799,-153.306168,0.315005,-90.331200,-20.456923,90.767120,-20.034006
3.201804,-150.120682,0.352855,-70.089745,-20.196354,98.656754,-20.344324
3.206810,-147.147583,0.243139,-73.047852,-22.702539,102.954681,-21.017073
3.211815,-145.581482,0.226159,-66.472260,-22.875147,106.904037,-21.428144
3.216821,-140.197723,0.542632,-68.087746,-26.327847,113.636101,-22.888224
3.221827,-137.785263,0.481761,-16.878117,-30.235489,119.686333,-24.923328
3.226832,-134.934525,0.474824,-8.622884,-28.144045,135.441101,-27.024452
3.231838,-131.945328,0.151880,-85.758926,-35.899323,158.477676,-27.978025
3.236843,-129.798157,0.376065,-167.195999,-26.990564,-176.595688,-30.186258
3.241849,-124.971497,0.556558,-39.847519,-22.614473,-154.206696,-33.271751
3.246855,-121.633827,0.264581,-63.970234,-27.640751,-139.367950,-40.237526
3.251860,-119.059547,0.470960,-49.371510,-23.555323,-155.018784,-36.761181
3.256866,-116.270706,0.612161,-53.342888,-22.853312,110.562790,-30.260105
3.261871,-112.793465,0.393669,-44.343506,-26.737896,94.726799,-26.774158
3.266877,-108.365562,0.394699,-24.101601,-23.517048,96.989479,-25.304384
3.271883,-106.610313,0.437904,15.585430,-22.290323,103.071228,-24.668097
3.276888,-103.482529,0.296862,38.454266,-24.217604,106.801849,-24.673203
3.281894,-98.921089,0.857087,29.203154,-27.547565,109.978973,-22.765221
3.286899,-97.310951,0.269739,88.020447,-25.534037,119.006042,-23.001612
3.291905,-92.998947,0.503434,27.150888,-21.315180,126.432365,-21.610212
3.296911,-90.432373,0.286562,31.716942,-18.460768,136.007217,-20.824190
3.301916,-87.199142,0.535599,-2.708947,-19.084478,150.040421,-19.998280
3.306922,-84.654633,0.314519,32.778294,-19.214106,161.944519,-19.678589
3.311927,-80.625847,0.488072,60.457058,-22.015623,172.956635,-19.783293
3.316933,-77.872414,0.487524,51.739849,-22.856855,-176.418610,-20.975771
3.321939,-75.944397,0.372991,72.089050,-24.208908,-170.194016,-22.770649
3.326944,-72.262726,0.302833,47.141624,-28.743290,-157.404739,-25.213615
3.331950,-69.678604,0.512286,60.411869,-26.554317,-143.014908,-26.982248
3.336955,-66.177910,0.285804,15.628709,-23.186977,-127.980293,-26.115427
3.341961,-62.577526,0.180679,30.044838,-25.030304,-108.184212,-25.173046
3.346967,-59.734951,0.515796,19.399597,-20.606754,-96.084488,-24.593695
3.351972,-56.018353,0.534007,32.569279,-22.784075,-86.876152,-24.615505
3.356978,-53.398407,0.270984,52.841095,-28.290894,-76.785812,-25.636921
3.361983,-50.729855,0.387459,27.436605,-25.596804,-60.821365,-27.703583
3.366989,-47.454403,0.392785,94.543495,-37.702839,-42.191692,-30.057135
3.371994,-43.138466,0.338563,143.782944,-28.813040,-13.514833,-30.653776
3.377000,-40.568321,0.554862,96.486053,-27.706989,25.385225,-30.480385
3.382006,-37.612274,0.541518,50.138496,-55.848133,59.359650,-31.010469
3.387011,-36.231075,0.308721,43.293636,-26.255823,87.481087,-32.411015
3.392017,-31.719206,0.576566,-9.818542,-30.566910,107.676720,-34.958298
3.397022,-27.907793,0.549571,-6.103851,-32.438908,136.820618,-37.128536
3.402028,-24.377474,0.510210,6.803628,-36.072777,158.401566,-38.493702
3.407034,-19.465624,0.375848,106.247475,-30.591484,-175.818420,-44.190117
3.412039,-19.309233,0.355336,-173.396362,-32.772629,-175.045166,-39.806026
3.417045,-14.794153,0.326676,-139.126251,-35.514313,-176.548462,-36.127033
3.422050,-12.366390,0.648319,-115.292908,-27.692492,-179.024979,-34.133801
3.427056,-8.999201,0.511612,-86.592300,-26.198872,-171.445435,-35.019939
3.432062,-6.141171,0.439602,-56.302738,-30.358114,-174.038605,-43.190948
3.437067,-1.948964,0.257082,-17.545488,-25.507479,-178.620987,-36.197094
3.442073,0.013596,0.334343,12.838923,-22.545668,39.928001,-29.521378
3.447078,4.150572,0.364722,37.245220,-27.514639,38.916912,-25.663177
3.452084,6.585094,0.578072,83.229362,-25.621231,43.975121,-24.104979
3.457090,10.154469,0.381893,72.156624,-26.043293,53.805893,-24.262259
3.462095,12.247029,0.459443,89.972260,-28.993666,65.718536,-24.896936
3.467101,16.577181,0.370424,114.626144,-37.093250,82.969429,-25.473272
3.472106,20.146082,0.261515,40.316116,-24.304049,106.761368,-25.141584
3.477112,22.495432,0.405515,15.729508,-22.811268,127.209297,-24.454409
3.482118,26.019909,0.435057,20.881443,-23.916786,144.651749,-23.738930
3.487123,28.029839,0.350242,65.544678,-19.976309,152.980362,-23.236958
3.492129,31.782938,0.598700,63.692333,-24.770145,158.908234,-22.672522
3.497134,33.961006,0.433853,96.578888,-25.683456,167.015213,-22.570648
3.502140,37.738819,0.534912,89.072784,-24.979729,176.780640,-22.169903
3.507145,40.808842,0.377636,63.797104,-34.831081,-167.798798,-21.952835
3.512151,44.209446,0.346664,71.058159,-24.146698,-149.554901,-21.502632
3.517157,46.012383,0.311832,7.195301,-22.333973,-131.041275,-20.930496
3.522162,49.617065,0.447286,32.840248,-26.625942,-113.682106,-20.722197
3.527168,52.883900,0.328695,26.517328,-23.620274,-99.523628,-21.287001
3.532173,57.118851,0.614924,73.025894,-22.506527,-87.999390,-21.906984
3.537179,60.874706,0.306736,39.618755,-25.586172,-79.450348,-24.092131
3.542185,62.615910,0.525989,65.217346,-25.679878,-70.381744,-25.695429
3.547190,66.048653,0.288735,83.254189,-36.826687,-62.678551,-26.700989
3.552196,68.700439,0.621728,76.446098,-30.596073,-43.000431,-26.855757
3.557201,71.222923,0.443991,-66.361183,-37.000378,-23.165480,-25.014261
3.562207,75.828087,0.498046,-21.828876,-32.483551,-7.177865,-23.941607
3.567213,79.139359,0.584472,-39.953079,-30.335625,5.583715,-23.702005
3.572218,81.580635,0.342348,-30.852180,-25.918831,17.513260,-24.270914
3.577224,85.625420,0.348900,-6.946042,-36.172382,27.934010,-26.079576
3.582229,87.498589,0.285004,53.564835,-31.019802,39.535748,-29.693125
3.587235,91.226707,0.086155,-24.116409,-28.052988,51.503819,-34.986389
3.592241,94.978241,0.289243,18.301723,-31.723064,46.448730,-38.420391
3.597246,95.942879,0.403107,-113.512581,-27.496174,5.493358,-32.843277
3.602252,99.887917,0.443813,118.988564,-40.869221,-9.316779,-29.573730
3.607257,103.421600,0.462844,-68.017082,-29.299650,-2.916089,-26.910664
3.612263,106.991776,0.606091,85.462082,-29.216499,4.674011,-24.935329
3.617269,111.025322,0.680284,21.902929,-23.045549,11.889752,-24.186821
3.622274,114.069077,0.570526,59.612045,-21.465233,15.208670,-23.328659
3.627280,116.834496,0.365098,105.296135,-19.881226,15.179712,-22.871426
3.632285,120.705177,0.359130,109.191017,-20.686357,9.612707,-21.293579
3.637291,122.887268,0.313662,141.586166,-22.429295,8.873054,-20.471022
3.642296,125.064926,0.477734,163.818207,-30.964148,12.784829,-20.126272
3.647302,128.862869,0.284664,168.199539,-31.469049,21.623268,-19.687946
3.652308,131.249435,0.573819,119.991585,-26.549435,40.713753,-19.146940
3.657313,136.154480,0.410660,28.520950,-25.087063,56.916145,-18.421492
3.662319,139.663055,0.452294,45.724922,-20.836430,75.580437,-18.151211
3.667324,141.796371,0.451645,80.783577,-21.145613,90.102249,-17.601250
3.672330,143.148941,0.279166,94.110497,-18.531328,97.956985,-17.947914
3.677336,148.730728,0.493811,103.487236,-22.202581,102.628853,-18.578594
3.682341,151.074966,0.628952,130.706573,-20.045126,105.219666,-19.357239
3.687347,153.620590,0.771829,131.632370,-28.895712,107.963623,-20.559519
3.692352,155.906204,0.235592,123.550156,-24.492680,113.266373,-20.259178
3.697358,161.777313,0.190253,116.173370,-31.161272,123.624702,-20.143791
3.702364,162.115799,0.662962,97.559410,-23.823990,137.745911,-20.700768
3.707369,165.924988,0.425359,101.299698,-22.236897,153.738876,-20.920650
3.712375,169.274933,0.538079,129.802078,-21.521338,166.327667,-22.080978
3.717380,172.134064,0.298017,119.721565,-23.970411,177.848053,-24.044649
3.722386,175.000626,0.476762,122.092552,-25.043768,-171.486359,-27.057747
3.727392,179.717545,0.539719,136.130661,-29.199781,-169.547012,-31.171871
3.732397,-176.136536,0.366409,117.295563,-24.903217,-166.312607,-35.299286
3.737403,-172.686508,0.015715,174.502884,-32.343391,175.080170,-35.971378
3.742408,-170.507217,0.116507,-145.409927,-37.388706,164.767975,-35.092228
3.747414,-168.679688,0.645071,-97.092247,-34.292770,178.133301,-33.771072
3.752420,-165.358124,0.208157,72.196663,-28.604132,-148.112885,-31.595192
3.757425,-160.364517,0.385057,116.492271,-25.073757,-127.855530,-30.557339
3.762431,-158.343735,0.463340,111.263344,-29.274693,-112.904266,-30.852793
