Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1337771547.97,2012_05_23_12:12:27,+38.702,+11.244,+49.947,+11.210,+134.36,+14.882,+15.264,+15.071,13.162050,-14.792
3.001581,47.487576,-2.427252,9.521356,-5.804860,-150.923279,-10.240600
3.006586,48.392239,-2.396354,12.695336,-6.464211,-150.768127,-9.968391
3.011592,46.187477,-2.177830,11.580111,-6.567242,-150.916779,-9.598652
3.016597,47.397732,-2.366556,10.435866,-6.517676,-149.759476,-9.275510
3.021603,45.894791,-2.128724,15.465384,-6.159667,-147.238907,-8.990940
3.026609,46.715870,-2.461644,12.627069,-5.662256,-144.019501,-8.804228
3.031614,46.169815,-2.191981,14.890472,-5.809283,-139.985489,-8.751432
3.036620,43.568951,-2.179155,19.373550,-5.872624,-136.487854,-8.840884
3.041625,43.902149,-2.093501,25.494921,-6.156302,-134.000809,-8.981005
3.046631,44.071743,-2.271836,22.943029,-6.032109,-132.843018,-9.087383
3.051637,42.362293,-1.936961,26.521189,-6.732647,-132.683884,-9.210679
3.056642,42.374744,-1.863368,26.198391,-7.062627,-132.036285,-9.255434
3.061648,39.645649,-1.564216,23.702274,-6.623491,-131.196030,-9.365758
3.066653,39.613094,-2.036934,24.752274,-7.431714,-128.969284,-9.619143
3.071659,38.467216,-1.983702,23.674925,-6.966154,-126.243790,-9.981283
3.076664,38.197315,-1.607681,20.076817,-6.851045,-123.828964,-10.304519
3.081670,35.636776,-1.874411,20.870337,-6.697186,-122.201431,-10.535381
3.086676,36.152321,-1.847175,23.884676,-6.833086,-121.774826,-10.588661
3.091681,34.931255,-1.783218,22.139769,-7.218711,-121.829498,-10.466277
3.096687,36.232346,-1.535908,25.940510,-7.667748,-121.404297,-10.437918
3.101692,34.378139,-1.515218,25.046366,-7.437905,-119.698051,-10.601993
3.106698,32.351067,-1.714200,24.610598,-7.611279,-116.988403,-10.953097
3.111704,30.923395,-1.683922,25.594118,-7.760782,-113.683235,-11.515961
3.116709,30.123896,-1.911697,21.327141,-7.928479,-111.074150,-12.042377
3.121715,30.349293,-1.944168,23.705076,-7.550023,-109.741142,-12.490000
3.126720,29.360802,-1.588391,21.702620,-7.671287,-110.911659,-12.661717
3.131726,27.718779,-1.677872,25.402468,-7.867953,-112.964684,-12.521857
3.136732,25.972778,-1.427069,24.587187,-8.523745,-115.292282,-12.460952
3.141737,26.376554,-1.484901,29.424240,-9.188422,-116.835197,-12.521309
3.146743,24.411968,-1.508896,27.704166,-9.454870,-117.041458,-12.827315
3.151748,22.920732,-1.527682,21.560921,-9.909764,-116.806038,-13.156717
3.156754,21.097864,-1.675375,20.501892,-9.952054,-116.209557,-13.245505
3.161760,19.538258,-1.512508,18.254656,-8.986279,-116.051025,-12.984067
3.166765,19.843250,-1.873712,19.687777,-8.308472,-115.924957,-12.409758
