Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1337699179.49,2012_05_22_16:06:19,+297.14,+94.838,+296.84,+296.32,+263.89,+296.44,+296.40,+296.48,242.060196,-29.215
3.001581,145.102631,-3.701795,108.743835,-7.583168,-88.615784,-15.212703
3.006586,145.644424,-3.896497,108.975342,-7.458057,-90.100494,-14.910580
3.011592,145.568405,-4.146593,112.159286,-7.579326,-90.959541,-14.386465
3.016597,146.068100,-3.709929,113.926613,-7.404368,-92.458031,-13.655536
3.021603,145.368988,-3.881199,114.536484,-8.101601,-92.923935,-12.976580
3.026609,148.307648,-4.436091,116.588402,-7.975099,-91.492310,-12.417130
3.031614,145.262100,-4.325752,115.822800,-7.626278,-88.146370,-12.061735
3.036620,143.354202,-4.259966,119.088493,-7.479998,-83.484940,-11.938807
3.041625,145.340988,-4.225056,120.692604,-6.809000,-78.827385,-11.845647
3.046631,144.466049,-4.052144,120.825439,-6.790574,-74.121460,-11.821395
3.051637,144.765121,-4.116702,122.897858,-6.530021,-70.821129,-11.737416
3.056642,144.298401,-4.251900,128.373077,-6.730325,-68.862747,-11.520340
3.061648,142.440338,-4.266030,131.980133,-7.268752,-67.181404,-11.237820
3.066653,143.119492,-4.260691,138.244766,-7.434724,-65.350433,-11.018868
3.071659,142.122543,-4.261962,135.897095,-7.322661,-62.704288,-10.931428
3.076664,141.745865,-4.373827,136.283829,-7.942910,-59.977600,-11.004993
3.081670,141.234543,-4.421972,137.310593,-7.968375,-57.226757,-11.216304
3.086676,139.121048,-4.292737,135.242859,-7.921649,-54.599922,-11.390021
3.091681,139.737411,-4.261304,138.806854,-7.229251,-53.411541,-11.337192
3.096687,139.789612,-4.349819,142.171066,-7.244429,-52.569244,-11.102777
3.101692,138.328369,-4.273441,143.469406,-6.976209,-51.354065,-10.776388
3.106698,139.551849,-3.856914,148.582382,-7.449287,-49.459789,-10.454420
3.111704,139.153839,-4.068865,152.263977,-7.604093,-46.316723,-10.377822
3.116709,140.342361,-4.114076,150.865570,-8.539104,-42.365551,-10.500008
3.121715,138.686798,-4.093819,146.568451,-8.123380,-38.067837,-10.831212
3.126720,137.825836,-4.041152,148.368805,-7.768170,-34.627720,-11.224556
3.131726,136.870544,-3.918513,146.316544,-6.910092,-31.538019,-11.547697
3.136732,135.392456,-4.096738,150.397675,-7.419192,-29.679750,-11.731499
3.141737,137.594711,-3.894675,154.004517,-7.282264,-28.101515,-11.798469
3.146743,136.961853,-3.887017,157.862640,-7.470354,-27.254368,-11.869020
3.151748,136.530975,-3.947814,160.896973,-7.727899,-26.429184,-12.127231
3.156754,134.024948,-3.499279,163.568588,-8.379168,-25.577707,-12.606599
3.161760,135.191147,-3.368449,162.598755,-9.076805,-26.347572,-13.113667
3.166765,136.042496,-4.004089,164.064697,-9.143262,-28.223860,-13.603354
3.171771,131.306335,-3.460545,161.046814,-9.256632,-31.661407,-13.620147
3.176776,131.567978,-3.412652,157.809692,-9.563556,-35.453270,-13.375844
3.181782,131.736694,-3.484502,155.206192,-9.442350,-37.841591,-12.973194
3.186788,128.481766,-3.330085,153.057892,-9.521486,-37.554520,-12.580007
3.191793,129.842361,-3.984565,154.551407,-9.496862,-35.944912,-12.303995
3.196799,129.535858,-3.536436,161.701965,-9.786078,-32.861374,-12.250869
3.201804,128.730682,-3.378438,161.417053,-10.201762,-30.357330,-12.259187
3.206810,128.656235,-3.486904,159.346680,-9.371366,-27.373014,-12.347721
3.211815,125.645302,-3.557108,162.224854,-9.538424,-24.634014,-12.374445
3.216821,126.184471,-3.548867,159.364059,-9.256419,-21.286245,-12.453399
3.221827,127.200203,-3.712039,157.468048,-8.326918,-17.231663,-12.495752
3.226832,126.018112,-3.577868,154.448181,-8.072354,-11.737851,-12.657432
3.231838,123.989716,-3.425809,159.376343,-7.705057,-6.877440,-13.006305
3.236843,123.713928,-3.193994,160.680191,-8.786160,-2.675599,-13.532575
3.241849,126.649742,-2.796864,165.760010,-8.413571,0.148145,-14.118988
3.246855,123.423233,-3.737472,173.739258,-9.227230,0.049622,-14.656971
3.251860,122.605881,-2.974391,170.575928,-9.511619,-2.386537,-14.966433
3.256866,122.282425,-3.142476,169.665283,-10.042834,-5.405486,-15.064829
3.261871,121.362289,-3.318767,163.617462,-10.092384,-7.430483,-15.113449
3.266877,120.144073,-3.095148,159.522400,-10.300920,-8.065123,-15.013729
3.271883,117.691719,-3.201165,161.865723,-9.009574,-7.383803,-14.933088
3.276888,117.706856,-3.154631,162.225815,-9.413150,-5.678618,-14.855115
3.281894,115.097679,-3.389172,164.161514,-9.627027,-4.887289,-14.868235
3.286899,115.825371,-3.728063,171.080750,-9.000834,-4.439446,-14.297375
3.291905,116.905258,-2.831879,172.709503,-9.987493,-3.942274,-14.105669
3.296911,114.371429,-3.285469,168.198975,-10.060167,-1.239279,-13.944723
3.301916,113.915947,-2.723588,168.588226,-11.107562,2.574941,-13.933552
3.306922,111.991386,-3.244375,166.498215,-10.906066,8.180408,-14.355665
3.311927,113.760269,-2.919135,170.356674,-10.044346,14.906127,-15.055943
3.316933,112.523628,-3.375854,168.222687,-9.668754,21.478329,-15.802141
3.321939,107.973251,-2.873565,165.614883,-10.198705,27.426331,-16.797375
3.326944,107.647346,-3.164143,165.233505,-9.505790,31.484264,-18.013153
3.331950,109.640495,-3.051179,168.689255,-10.845105,31.524168,-18.907934
3.336955,106.882019,-3.244956,166.874649,-11.405063,29.188877,-20.082539
3.341961,107.955376,-3.181770,167.354813,-12.285014,25.382822,-21.433002
3.346967,102.783646,-2.889035,165.093857,-12.111506,21.277016,-22.999123
3.351972,105.471687,-3.235588,155.078094,-12.675637,16.289196,-24.251945
3.356978,103.088623,-3.402292,156.495911,-11.723589,5.361878,-24.200293
3.361983,100.940285,-3.567096,162.272629,-11.387056,-5.787660,-23.060406
3.366989,100.563400,-3.266432,163.750839,-12.353399,-17.098305,-21.056496
3.371994,98.135628,-3.280565,163.438339,-12.046853,-19.146778,-19.528521
3.377000,97.169243,-3.193436,168.175064,-14.617680,-17.306618,-18.576065
3.382006,95.928932,-3.249942,165.885193,-14.296785,-13.119630,-18.058947
3.387011,92.709259,-3.258284,171.382462,-16.130404,-9.327482,-18.026377
3.392017,92.506714,-3.420638,169.504410,-17.566547,-6.826226,-18.347710
3.397022,91.786064,-3.517454,170.976074,-17.689320,-5.361117,-18.670332
3.402028,89.168152,-3.435754,175.121643,-21.209558,-6.248219,-19.062895
3.407034,89.251099,-3.991907,159.713715,-22.586063,-5.751087,-19.593193
3.412039,86.636482,-3.736771,161.685425,-31.314522,-5.383750,-19.878048
3.417045,85.756310,-4.126729,151.664383,-31.995314,-4.559560,-20.860176
3.422050,84.779533,-3.978769,-171.727768,-34.802795,-2.763660,-22.692642
3.427056,80.169167,-4.649959,-32.756985,-19.460989,-2.803975,-25.512802
3.432062,78.382607,-5.014194,-13.334076,-17.524082,-8.358927,-29.288395
3.437067,75.294640,-4.996052,-16.598326,-14.329345,-20.973379,-34.448654
3.442073,74.697441,-5.717756,-4.820063,-12.964987,-40.251083,-48.728561
3.447078,74.045059,-6.212512,-9.730397,-12.463147,-106.461624,-33.131870
3.452084,71.035713,-6.668270,-12.694419,-10.651978,132.641373,-24.771217
3.457090,68.347481,-7.600555,-22.689106,-9.227298,122.823242,-19.845263
3.462095,71.156914,-8.914216,-27.761442,-7.218605,122.589058,-16.511709
3.467101,72.192024,-9.261199,-38.418091,-5.987703,123.235649,-14.256345
3.472106,75.930786,-10.591803,-39.611576,-5.281909,123.322807,-12.685061
3.477112,81.138458,-10.843287,-41.075676,-4.741207,123.184959,-11.574194
3.482118,84.892273,-10.778518,-43.889523,-4.625864,122.012703,-10.702341
3.487123,91.762787,-10.829694,-45.648838,-4.308614,119.970566,-10.012358
3.492129,102.103600,-9.387520,-50.863255,-4.395922,118.492493,-9.407477
3.497134,107.437286,-9.802350,-52.572975,-4.171700,117.557060,-8.992149
3.502140,109.845673,-8.504808,-55.569733,-4.453763,117.538246,-8.858244
