Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338121056.62,2012_05_27_13:17:36,+40.703,+10.256,+55.338,+10.269,+13.903,+13.713,+14.009,+13.760,10.368722,-15.840
3.006250,34.338364,-1.758672,59.502541,-26.660286,-79.813103,-27.424637
3.012500,34.338364,-1.758672,59.502541,-26.660286,-79.813103,-27.424637
3.018750,34.338364,-1.758672,59.502541,-26.660286,-79.813103,-27.424637
3.025000,34.338364,-1.758672,59.502541,-26.660286,-79.813103,-27.424637
3.031250,34.338364,-1.758672,59.502541,-26.660286,-79.813103,-27.424637
3.037500,34.338364,-1.758672,59.502541,-26.660286,-79.813103,-27.424637
3.043750,34.338364,-1.758672,59.502541,-26.660286,-79.813103,-27.424637
3.050000,34.338364,-1.758672,59.502541,-26.660286,-79.813103,-27.424637
3.056250,34.338364,-1.758672,59.502541,-26.660286,-79.813103,-27.424637
3.062500,34.338364,-1.758672,59.502541,-26.660286,-79.813103,-27.424637
3.068750,34.338364,-1.758672,59.502541,-26.660286,-79.813103,-27.424637
3.075000,34.338364,-1.758672,59.502541,-26.660286,-79.813103,-27.424637
3.081250,34.338364,-1.758672,59.502541,-26.660286,-79.813103,-27.424637
3.087500,34.338364,-1.758672,59.502541,-26.660286,-79.813103,-27.424637
3.093750,34.338364,-1.760351,59.502541,-26.457005,-79.813103,-27.176119
3.100000,40.245934,-1.762307,56.823250,-26.301577,-81.829597,-26.944815
3.106250,46.153378,-1.764255,53.257965,-26.218061,-82.229172,-26.732094
3.112500,52.061306,-1.766184,49.175213,-26.225750,-80.650650,-26.512211
3.118750,57.968403,-1.768282,43.178108,-26.267317,-78.939140,-26.213497
3.125000,63.874241,-1.770512,38.386547,-26.309149,-74.891747,-25.952684
3.131250,69.779762,-1.772805,34.000637,-26.378031,-68.726898,-25.665575
3.137500,75.684113,-1.775434,30.285837,-26.475595,-60.839508,-25.341833
3.143750,81.586784,-1.778627,27.450811,-26.593622,-51.414894,-24.989573
3.150000,87.490410,-1.782090,25.674377,-26.717812,-40.608959,-24.621380
3.156250,93.397369,-1.785367,25.078026,-26.833282,-28.594061,-24.255663
3.162500,97.411858,-1.788356,25.726437,-26.927029,-15.571815,-23.916059
3.168750,101.153328,-1.791482,27.636528,-26.991440,-1.753808,-23.650640
3.175000,104.088112,-1.794890,30.850578,-27.004402,10.807268,-23.405758
3.181250,105.725746,-1.798412,33.611767,-26.953011,24.135227,-23.183950
3.187500,105.641113,-1.801773,37.390762,-26.854624,36.915859,-23.015644
3.193750,103.492943,-1.804910,41.480480,-26.721346,48.653172,-22.917168
3.200000,99.043861,-1.807726,45.309181,-26.561052,58.936226,-22.892181
3.206250,92.171608,-1.810173,48.395096,-26.383932,67.370895,-22.941233
3.212500,82.874527,-1.812425,50.321014,-26.203613,73.648857,-23.072014
3.218750,71.273186,-1.814913,50.773537,-26.030663,77.546387,-23.266790
3.225000,57.605671,-1.817282,51.753391,-25.858522,78.689575,-23.470892
3.231250,42.215172,-1.819134,51.799370,-25.687714,77.250107,-23.693014
3.237500,25.526947,-1.820675,49.424183,-25.518095,75.233963,-23.924578
3.243750,8.029166,-1.822533,46.734863,-25.327702,71.060646,-24.143303
3.250000,-9.745479,-1.824986,43.604694,-25.155722,65.330475,-24.329756
3.256250,-27.246765,-1.827584,39.672390,-25.015793,58.598293,-24.483032
3.262500,-43.939564,-1.829855,35.179588,-24.891186,51.496311,-24.592033
3.268750,-59.333027,-1.831848,30.066832,-24.778009,44.720547,-24.647949
3.275000,-73.003166,-1.833968,24.211248,-24.674568,38.855251,-24.650717
3.281250,-84.610504,-1.836486,17.504744,-24.572220,34.406116,-24.607622
3.287500,-93.915817,-1.839387,9.855973,-24.458132,31.755764,-24.532377
3.293750,-100.795227,-1.842428,1.230676,-24.294909,31.163208,-24.425797
3.300000,-105.248131,-1.845383,-6.196482,-24.126026,32.782917,-24.289276
3.306250,-107.396004,-1.848069,-14.854299,-23.990297,36.599285,-24.149107
3.312500,-107.476532,-1.850544,-23.508799,-23.868082,42.430813,-24.036371
3.318750,-105.831429,-1.852911,-31.873480,-23.766808,50.009819,-23.971836
3.325000,-102.887726,-1.855070,-39.689571,-23.703899,58.994202,-23.966679
3.331250,-99.137253,-1.856877,-46.694725,-23.705826,68.951370,-24.023857
3.337500,-95.113022,-1.858321,-52.698120,-23.845537,79.368866,-24.141472
3.343750,-89.193626,-1.859442,-57.769394,-24.003141,89.706711,-24.305271
3.350000,-83.274681,-1.860124,-62.194103,-24.225739,97.569450,-24.460081
3.356250,-77.356827,-1.860521,-65.623215,-24.554071,106.175690,-24.658173
3.362500,-71.440811,-1.860737,-66.352325,-25.009781,112.441711,-24.908016
3.368750,-65.526520,-1.860672,-66.014839,-25.573290,116.487808,-25.198164
3.375000,-59.612831,-1.860059,-64.486237,-26.217381,117.915520,-25.572868
3.381250,-53.701195,-1.859013,-61.779446,-26.907429,116.540306,-25.908669
3.387500,-47.795708,-1.858320,-57.989857,-27.604464,113.020302,-26.231655
3.393750,-41.896587,-1.858404,-53.273983,-28.263632,106.780357,-26.534616
3.400000,-36.000015,-1.858838,-47.850861,-28.841476,98.385040,-26.809923
3.406250,-30.101847,-1.859062,-42.054092,-29.317039,88.835312,-27.088570
3.412500,-24.204302,-1.859401,-36.210262,-29.664816,78.797119,-27.336618
3.418750,-18.311522,-1.860623,-28.386763,-29.862768,66.911926,-27.532824
3.425000,-12.421871,-1.862778,-22.122107,-29.906431,55.468475,-27.670929
3.431250,-6.529515,-1.865048,-15.566545,-29.810356,44.901222,-27.757330
3.437500,-0.632984,-1.867197,-8.976923,-29.560024,35.663666,-27.796152
3.443750,5.263327,-1.870011,-2.374259,-29.152658,28.442230,-27.734587
3.450000,11.157894,-1.873746,3.723835,-28.634586,21.515177,-27.602583
3.456250,17.056421,-1.877667,9.153740,-28.045153,16.665581,-27.413523
3.462500,22.963703,-1.881015,13.908272,-27.428391,13.597132,-27.169781
3.468750,28.876112,-1.883716,18.068846,-26.830770,11.999109,-26.868658
3.475000,34.788879,-1.886171,21.742153,-26.318932,11.519458,-26.525444
3.481250,40.701096,-1.888517,25.190968,-25.843740,11.767650,-26.154970
3.487500,46.612686,-1.890925,27.152292,-25.437645,12.372544,-25.751476
3.493750,52.522827,-1.893754,29.005463,-25.136818,12.900780,-25.322824
3.500000,58.432362,-1.897030,30.580652,-24.946856,12.919868,-24.880842
3.506250,64.344551,-1.900126,31.777882,-24.853409,12.095810,-24.435394
3.512500,70.261688,-1.902411,32.500286,-24.821352,10.158028,-23.995649
