Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1337763550.67,2012_05_23_09:59:10,+39.138,+11.270,+51.094,+11.235,+132.34,+14.835,+15.237,+15.045,13.118258,-30.232
3.001581,-171.474365,1.375534,129.970657,-19.329107,97.709717,-19.479897
3.006586,-165.053818,1.650698,145.193420,-19.802559,100.585785,-19.556873
3.011592,-161.260727,1.487724,151.387085,-20.626554,104.795174,-20.610609
3.016597,-156.288818,1.503559,179.481628,-22.174381,110.875381,-22.698410
3.021603,-152.277390,1.729764,-177.906921,-23.105286,118.911385,-25.631992
3.026609,-145.453186,1.570117,-144.720261,-34.268784,134.741302,-30.392448
3.031614,-141.156250,1.406495,-45.667942,-28.630739,168.723114,-31.484449
3.036620,-137.640320,1.484701,-48.670609,-26.637081,-136.935684,-28.485567
3.041625,-131.760849,1.490438,39.363567,-28.378893,-104.188583,-26.834490
3.046631,-128.557724,1.537347,51.416870,-26.155386,-98.153831,-25.913919
3.051637,-122.787613,1.682491,74.595894,-21.874714,-95.228081,-25.489435
3.056642,-119.319298,1.553890,91.142738,-23.936195,-98.630653,-24.673115
3.061648,-115.267647,1.709982,81.743752,-21.268484,-99.651642,-24.516773
3.066653,-109.832977,1.471417,124.847382,-27.387201,-98.267105,-24.589884
3.071659,-106.460175,1.402314,176.746719,-25.598639,-94.785583,-25.562868
3.076664,-101.176804,1.470446,136.464081,-23.700890,-93.607483,-26.869259
3.081670,-96.777939,1.565670,-165.966949,-25.598078,-95.546722,-27.781683
3.086676,-92.003876,1.593029,172.219177,-20.083193,-105.103264,-26.600069
3.091681,-88.633202,1.343528,-167.736115,-18.442625,-125.575584,-23.775600
3.096687,-83.020088,1.769002,-162.305359,-20.395651,-128.882446,-21.462179
3.101692,-78.294212,1.437409,-137.301361,-19.485336,-130.311661,-20.017300
3.106698,-73.726662,1.644966,-125.406235,-16.857611,-128.487717,-19.638863
3.111704,-70.495399,1.523654,-90.208405,-19.267828,-126.929062,-19.907280
3.116709,-66.633598,1.553304,-89.490952,-17.004648,-128.398453,-20.771921
3.121715,-60.673988,1.466769,-50.647346,-16.698889,-135.978043,-21.249229
3.126720,-55.240620,1.458178,-33.902100,-16.269732,-146.957474,-21.198143
3.131726,-51.300549,1.593641,-11.038644,-18.222891,-155.201721,-20.885660
3.136732,-48.237125,1.462954,1.258259,-20.328142,-163.275131,-21.114176
3.141737,-43.015881,1.709596,10.289352,-22.186062,-164.123154,-21.768351
3.146743,-38.382710,1.523386,25.258020,-22.544807,-163.484680,-22.503220
3.151748,-33.521320,1.563698,59.098988,-22.229046,-162.924866,-22.666245
3.156754,-29.903507,1.366911,31.839869,-19.670361,-162.696671,-21.721968
3.161760,-25.568573,1.674807,53.592533,-21.953150,-161.704834,-20.446920
3.166765,-19.109568,1.429025,17.706892,-15.888871,-159.263992,-18.834129
3.171771,-16.141212,1.671706,37.767879,-18.309296,-152.096207,-17.711132
3.176776,-11.013481,1.367972,55.897308,-18.857643,-142.756622,-17.021894
3.181782,-8.399871,1.684134,66.978462,-17.958208,-132.746841,-16.921032
3.186788,-4.636715,1.668336,87.293625,-18.549358,-121.374184,-16.927717
3.191793,2.032921,1.468409,69.717735,-21.442020,-109.781799,-17.390366
3.196799,7.674433,1.730134,75.623009,-19.935755,-97.731949,-17.448633
3.201804,11.640019,1.657120,76.101341,-16.765120,-85.026375,-17.147627
3.206810,16.459036,1.439257,66.194595,-16.176701,-73.139748,-16.438066
3.211815,19.263458,1.605777,56.902496,-17.341022,-63.012360,-15.858237
3.216821,24.828756,1.592339,71.197266,-16.636875,-52.298248,-15.149536
3.221827,28.916931,1.363183,75.472000,-17.556156,-42.594700,-15.199561
3.226832,35.232899,1.546480,81.820686,-14.982266,-33.062420,-15.479738
3.231838,37.832928,1.408182,95.683594,-17.723312,-25.769922,-16.512047
3.236843,41.661495,1.684780,121.510139,-16.616034,-16.817986,-17.676228
3.241849,48.270714,1.719930,128.977478,-18.669807,-10.056745,-19.553314
3.246855,51.453300,1.522157,125.587173,-23.429087,-2.543979,-21.316940
3.251860,56.877956,1.785977,137.042160,-26.642420,6.171967,-22.430929
3.256866,60.836071,1.717050,135.330185,-25.090242,16.705545,-22.602982
3.261871,64.742493,1.452921,96.916229,-23.639513,25.944630,-22.347977
3.266877,70.564278,1.756192,66.973137,-21.561277,35.382526,-22.050648
3.271883,73.959923,1.508262,123.949745,-20.466326,43.051353,-21.853338
3.276888,79.233719,1.572705,120.174423,-21.975739,46.171787,-21.793594
3.281894,83.663307,1.860586,146.622437,-27.260868,47.837872,-21.915121
3.286899,87.158783,1.371949,169.480148,-17.851589,52.189861,-21.537422
3.291905,91.883125,1.638231,167.943207,-19.414295,41.709393,-20.357552
3.296911,95.982758,1.404482,-176.394791,-20.196920,48.597675,-19.464331
3.301916,100.770927,1.567312,164.204559,-18.556114,51.448616,-18.143332
3.306922,105.101547,1.516075,-173.868759,-19.665367,60.359600,-17.055340
3.311927,110.577316,1.603324,-160.951736,-16.740980,70.819946,-16.139097
3.316933,115.810173,1.754501,-167.456314,-15.919379,80.435333,-15.348896
3.321939,116.689728,1.714482,-152.044373,-15.599154,90.079262,-15.288707
3.326944,123.474640,1.602026,-148.096725,-14.727467,96.486229,-15.750292
