Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1337702750.13,2012_05_22_17:05:50,+288.00,+128.70,+296.77,+296.07,+297.68,+296.71,+296.43,+296.54,242.116852,-29.218
3.001581,-126.642632,0.561547,-177.090073,-20.337196,117.610504,-18.918894
3.006586,-119.373871,0.363092,-176.766144,-17.809855,124.511093,-18.134609
3.011592,-116.362122,0.379790,-162.465546,-16.641413,131.428207,-17.843637
3.016597,-109.745827,0.353990,-143.676880,-16.422472,138.233673,-17.994135
3.021603,-107.315346,0.539681,-124.038979,-18.823307,143.799271,-18.844055
3.026609,-99.526031,0.283344,-109.866394,-20.390112,150.337204,-20.389856
3.031614,-94.723030,0.337327,-106.965034,-22.066402,156.015396,-22.744684
3.036620,-92.353981,0.415118,-69.175804,-27.732153,161.940399,-26.039427
3.041625,-85.102211,0.491807,-65.457741,-26.867380,169.188065,-29.858810
3.046631,-82.404686,0.433020,-14.543052,-30.010809,179.096329,-34.209354
3.051637,-76.918648,0.451815,17.937443,-33.716339,-160.175186,-36.610924
3.056642,-73.657471,0.370088,3.970819,-28.211826,-125.916168,-36.049717
3.061648,-68.831390,0.585341,114.990120,-27.296566,-84.398865,-33.577049
3.066653,-63.519798,0.378336,-159.859497,-33.026512,-65.502777,-32.247955
3.071659,-59.294628,0.408379,92.189629,-34.731476,-47.916553,-31.415861
3.076664,-55.486088,0.438254,114.284241,-29.977093,-33.195518,-30.788656
3.081670,-50.374214,0.316739,-160.217331,-31.723639,-18.814051,-31.965149
3.086676,-46.416924,0.444005,-133.818481,-25.735523,-7.350001,-33.844742
3.091681,-43.222885,0.170399,-117.977829,-21.019182,-18.890587,-32.730923
3.096687,-37.179947,0.557373,-139.803879,-20.128515,-33.234756,-29.613298
3.101692,-31.472845,0.391863,-134.842209,-20.465046,-52.496380,-26.080595
3.106698,-27.393139,0.304703,-117.598915,-19.586321,-57.424538,-23.772087
3.111704,-23.169552,0.270922,-74.510948,-20.621277,-55.754051,-22.779173
3.116709,-17.108086,0.155589,-81.876610,-18.974768,-52.962418,-22.594252
3.121715,-12.211658,0.313712,-41.484295,-20.815874,-52.034622,-23.138186
3.126720,-7.958517,0.538014,-29.978912,-17.858917,-52.668724,-24.049347
3.131726,-3.934649,0.593524,2.569461,-20.870447,-53.607201,-25.950199
3.136732,-0.453054,0.390272,13.355395,-21.686701,-58.256931,-28.331612
3.141737,4.671124,0.548827,33.395287,-25.052490,-60.517357,-31.629147
3.146743,10.649551,0.290770,49.052578,-33.358479,-61.824196,-38.863789
3.151748,14.631218,0.375796,114.387733,-33.881874,-67.853790,-46.418148
3.156754,17.299795,0.426275,113.472687,-27.063204,-171.222595,-35.206745
3.161760,23.335131,0.511169,150.815750,-29.087620,171.658951,-30.182636
3.166765,28.289808,0.323189,75.897781,-24.523500,178.336502,-27.220505
3.171771,31.093817,0.324474,123.667717,-23.699459,-166.154617,-24.996908
3.176776,37.140255,0.237669,122.888763,-23.138866,-152.195938,-23.022705
3.181782,40.388500,0.483501,140.587540,-22.418217,-138.258240,-22.060799
3.186788,45.333244,0.303156,171.581284,-23.537357,-127.278725,-21.419506
3.191793,49.459896,0.390034,175.559372,-22.508047,-116.454399,-21.233921
3.196799,55.303303,0.351411,-164.759979,-23.353130,-106.899811,-21.303953
3.201804,60.488083,0.465171,-147.463867,-29.108892,-95.317421,-21.712662
3.206810,65.208824,0.323529,-169.120193,-29.892212,-81.507736,-21.848013
3.211815,68.957649,0.466197,130.702042,-27.285364,-62.831581,-21.646858
3.216821,73.911110,0.566564,101.486115,-26.002735,-43.800262,-20.938208
3.221827,78.400345,0.319417,114.858627,-22.859642,-24.116869,-20.070381
3.226832,84.106689,0.306218,129.564468,-19.242582,-9.151978,-19.276958
3.231838,87.674774,0.229495,143.161514,-19.692066,3.386322,-19.024923
3.236843,91.900673,0.565886,168.692230,-19.406664,13.918173,-19.056978
3.241849,97.441025,0.375228,176.822495,-18.981909,23.860224,-19.871443
