Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338038426.0,2012_05_26_14:20:26,+298.24,+298.27,+297.94,+298.14,+297.58,+298.62,+298.13,+298.65,243.685669,-5.827
3.006250,-12.649801,-3.308931,-9.562103,-28.681736,-20.094532,-29.780401
3.012500,-12.649801,-3.308931,-9.562103,-28.681736,-20.094532,-29.780401
3.018750,-12.649801,-3.308931,-9.562103,-28.681736,-20.094532,-29.780401
3.025000,-12.649801,-3.308931,-9.562103,-28.681736,-20.094532,-29.780401
3.031250,-12.649801,-3.308931,-9.562103,-28.681736,-20.094532,-29.780401
3.037500,-12.649801,-3.308931,-9.562103,-28.681736,-20.094532,-29.780401
3.043750,-12.649801,-3.308931,-9.562103,-28.681736,-20.094532,-29.780401
3.050000,-12.649801,-3.308931,-9.562103,-28.681736,-20.094532,-29.780401
3.056250,-12.649801,-3.308931,-9.562103,-28.681736,-20.094532,-29.780401
3.062500,-12.649801,-3.308931,-9.562103,-28.681736,-20.094532,-29.780401
3.068750,-12.649801,-3.308931,-9.562103,-28.681736,-20.094532,-29.780401
3.075000,-12.649801,-3.308931,-9.562103,-28.681736,-20.094532,-29.780401
3.081250,-12.649801,-3.308931,-9.562103,-28.681736,-20.094532,-29.780401
3.087500,-12.649801,-3.308931,-9.562103,-28.681736,-20.094532,-29.780401
3.093750,-12.649801,-3.311572,-9.562103,-28.597078,-20.094532,-29.958422
3.100000,-12.661094,-3.314636,-18.180279,-28.481077,-21.783222,-30.052958
3.106250,-12.674399,-3.318255,-27.219036,-28.348421,-24.881395,-30.063644
3.112500,-12.687363,-3.322121,-34.511585,-28.213917,-29.553558,-29.990105
3.118750,-12.698017,-3.325911,-40.089550,-28.093199,-35.810165,-29.828732
3.125000,-12.707518,-3.329708,-44.034683,-28.003056,-43.546967,-29.575539
3.131250,-12.717998,-3.333573,-46.442337,-27.934870,-50.691147,-29.234369
3.137500,-12.729600,-3.337664,-47.235996,-27.861906,-58.614845,-28.816231
3.143750,-12.742431,-3.342059,-46.749218,-27.806072,-68.318108,-28.329912
3.150000,-12.756009,-3.346854,-45.233681,-27.779200,-77.245613,-27.787277
3.156250,-12.768651,-3.351845,-42.849899,-27.780729,-83.173615,-27.209061
3.162500,-12.779436,-3.356698,-39.770870,-27.805063,-87.446503,-26.621906
3.168750,-12.788671,-3.361394,-36.186550,-27.840794,-89.279572,-26.051645
3.175000,-12.798009,-3.366181,-32.028027,-27.874235,-90.142845,-25.524782
3.181250,-12.808368,-3.371210,-27.246304,-27.884972,-88.125885,-25.070091
3.187500,-12.818563,-3.376403,-22.026758,-27.843246,-83.311630,-24.708994
3.193750,-12.826732,-3.381558,-16.302923,-27.773136,-75.725197,-24.388365
3.200000,-12.833303,-3.386665,-12.271504,-27.666901,-67.499123,-24.100536
3.206250,-12.839207,-3.391724,-8.929710,-27.518875,-55.543800,-23.903336
3.212500,-12.843404,-3.396609,-4.664661,-27.333662,-42.213497,-23.799519
3.218750,-12.846180,-3.401286,-1.225184,-27.120501,-28.130245,-23.783546
3.225000,-12.849100,-3.406055,1.617182,-26.891741,-13.680160,-23.859379
3.231250,-12.852008,-3.410858,4.164172,-26.657055,0.782842,-24.107512
3.237500,-12.853088,-3.415281,6.765135,-26.421473,14.143850,-24.299620
3.243750,-12.852615,-3.419262,7.874603,-26.188942,26.480192,-24.543375
3.250000,-12.854150,-3.423305,9.414702,-25.963661,37.349594,-24.838678
3.256250,-12.858709,-3.427834,11.125140,-25.744028,48.067345,-25.169109
3.262500,-12.863328,-3.432517,12.717729,-25.528805,56.493423,-25.510214
3.268750,-12.865778,-3.436829,13.796256,-25.340601,62.726707,-25.837215
3.275000,-12.866601,-3.440641,14.035133,-25.180647,66.901970,-26.136402
3.281250,-12.869247,-3.444546,13.234473,-25.040298,69.250053,-26.391748
3.287500,-12.876178,-3.448987,13.300233,-24.909586,70.120918,-26.584949
3.293750,-12.885032,-3.453978,12.591524,-24.778997,69.866470,-26.704210
3.300000,-12.892613,-3.459178,11.375037,-24.635311,68.830734,-26.739370
3.306250,-12.897656,-3.464323,9.913151,-24.458412,67.374374,-26.682913
3.312500,-12.900459,-3.469386,8.363281,-24.254576,63.679588,-26.536812
3.318750,-12.902345,-3.474542,6.621051,-24.055155,59.431355,-26.310921
3.325000,-12.903944,-3.479900,4.919611,-23.851130,56.542789,-26.027788
3.331250,-12.903598,-3.485353,3.379189,-23.642481,53.408936,-25.708551
3.337500,-12.899597,-3.490465,2.011499,-23.435915,48.196812,-25.369175
3.343750,-12.891669,-3.495017,0.777749,-23.244968,42.565716,-25.026617
3.350000,-12.881164,-3.499075,-0.369629,-23.085594,36.270206,-24.696365
3.356250,-12.869689,-3.502716,0.685439,-22.980795,30.990854,-24.391130
3.362500,-12.857875,-3.506009,2.501464,-22.978725,24.922085,-24.116446
3.368750,-12.845091,-3.508728,3.640018,-23.017872,18.459766,-23.866955
3.375000,-12.831535,-3.510852,6.654104,-23.126846,11.830175,-23.702667
3.381250,-12.818059,-3.512230,10.617665,-23.344170,7.478442,-23.632643
3.387500,-12.805327,-3.512860,15.430759,-23.670488,2.413988,-23.663239
3.393750,-12.795775,-3.513174,20.939842,-24.093048,-1.151335,-23.802443
3.400000,-12.791454,-3.513588,26.919933,-24.589249,-4.796374,-24.026936
3.406250,-12.790418,-3.513942,33.111187,-25.128836,-6.620296,-24.306215
3.412500,-12.791299,-3.514035,37.317963,-25.682764,-7.120432,-24.526323
3.418750,-12.794475,-3.514038,40.844471,-26.224379,-5.860068,-24.893265
3.425000,-12.802414,-3.514471,45.028965,-26.729437,-3.545515,-25.290163
3.431250,-12.814657,-3.515588,47.780167,-27.174173,-0.470297,-25.687971
3.437500,-12.827501,-3.516887,48.987099,-27.537491,2.960964,-26.066156
3.443750,-12.839485,-3.518042,48.609657,-27.808321,6.359661,-26.413176
3.450000,-12.853041,-3.519592,46.712063,-27.977032,9.637450,-26.721350
3.456250,-12.870313,-3.522080,43.531673,-28.022324,12.826225,-26.957973
3.462500,-12.887792,-3.525102,39.315666,-27.951197,14.070994,-27.110920
3.468750,-12.900946,-3.527910,34.331074,-27.783855,14.898432,-27.183111
3.475000,-12.910351,-3.530368,29.034590,-27.541784,14.857450,-27.172647
3.481250,-12.921083,-3.532944,22.054037,-27.249983,15.524809,-27.081631
3.487500,-12.935136,-3.536141,15.547155,-26.940853,15.056965,-26.917210
3.493750,-12.950676,-3.539906,9.548055,-26.649118,13.865222,-26.685007
3.500000,-12.965105,-3.543957,4.322529,-26.334885,12.411584,-26.389246
3.506250,-12.977697,-3.548231,-0.089349,-26.039173,11.220975,-26.032232
3.512500,-12.988462,-3.552373,-3.825410,-25.789993,10.808522,-25.624851
3.518750,-12.997913,-3.556230,-6.783606,-25.599731,11.642849,-25.184200
3.525000,-13.008260,-3.560205,-8.845691,-25.466251,14.181299,-24.724796
3.531250,-13.022966,-3.564962,-9.938769,-25.377802,18.822197,-24.260794
3.537500,-13.041426,-3.570709,-10.056921,-25.307873,23.678190,-23.804613
3.543750,-13.058290,-3.576784,-9.233880,-25.191196,30.272934,-23.365242
