Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338128108.31,2012_05_27_15:15:08,+40.692,+10.236,+55.421,+10.251,+13.888,+13.697,+13.995,+13.745,10.350463,-15.867
3.006250,99.333252,-20.192284,49.508492,-5.631392,60.316544,-4.837387
3.012500,102.131851,-19.847216,58.988758,-5.963705,31.397444,-4.902669
3.018750,101.181564,-19.983339,68.845253,-6.165751,2.248533,-4.944159
3.025000,97.127335,-20.590761,79.213531,-6.317696,-27.008686,-4.996287
3.031250,95.113441,-21.187023,89.729515,-6.452507,-56.137417,-5.092245
3.037500,97.135429,-21.163029,100.265396,-6.592967,-84.951424,-5.218462
3.043750,100.525864,-20.686161,110.598480,-6.682818,-113.351540,-5.385322
3.050000,100.949913,-20.543495,120.523994,-6.732659,-141.156189,-5.567107
3.056250,97.453896,-20.993341,130.160156,-6.703975,-168.491486,-5.713873
3.062500,94.208496,-21.709190,139.650925,-6.620708,164.553802,-5.797884
3.068750,94.795868,-22.151525,149.288696,-6.544169,137.808456,-5.777717
3.075000,98.863602,-21.935328,159.015396,-6.497488,111.138649,-5.667671
3.081250,103.531677,-21.433945,168.739548,-6.435407,84.337639,-5.500396
3.087500,104.779404,-21.248030,178.452621,-6.333726,57.447304,-5.340767
3.093750,103.179733,-21.515203,-172.450043,-6.106840,30.165964,-5.184575
3.100000,103.128822,-21.791594,-163.863937,-5.744278,2.572413,-5.017157
3.106250,106.433990,-21.453789,-155.234726,-5.296506,-25.025902,-4.837456
3.112500,112.082329,-20.469477,-146.389664,-4.843933,-52.293949,-4.688261
3.118750,115.618118,-19.296211,-137.228485,-4.464796,-78.669006,-4.605984
3.125000,113.785599,-18.647505,-128.011169,-4.219067,-104.251076,-4.641547
3.131250,108.734627,-18.511534,-119.055443,-4.059330,-129.244507,-4.799220
3.137500,104.338440,-18.500315,-110.777733,-3.986709,-154.097198,-5.026211
3.143750,101.332382,-18.412151,-103.611229,-3.948834,-179.525711,-5.233241
3.150000,99.405670,-18.221241,-97.090576,-3.955879,154.259506,-5.362104
3.156250,96.820908,-18.146765,-91.395889,-4.005754,127.107979,-5.406152
3.162500,92.841888,-18.359499,-86.097717,-4.103292,99.144249,-5.416084
3.168750,88.657280,-18.758406,-81.285713,-4.227647,70.498192,-5.400260
3.175000,85.753700,-19.199560,-76.667831,-4.284344,40.983723,-5.351625
3.181250,83.854630,-19.708408,-72.142288,-4.238716,10.618041,-5.192157
3.187500,82.425377,-20.291323,-66.894531,-4.091734,-20.019262,-4.902684
3.193750,82.004662,-20.882713,-60.507397,-3.922918,-50.130089,-4.577429
3.200000,83.302788,-21.308456,-52.442738,-3.784034,-78.759758,-4.293134
3.206250,86.089531,-21.426361,-42.976646,-3.765636,-105.833679,-4.132792
3.212500,89.423698,-21.399044,-32.288109,-3.840458,-131.787186,-4.097969
3.218750,91.550529,-21.431990,-21.159067,-3.972690,-157.100922,-4.177741
3.225000,92.778290,-21.526806,-10.039414,-4.117759,177.684937,-4.335313
3.231250,94.733704,-21.567131,0.979732,-4.268287,152.376236,-4.554144
3.237500,97.759720,-21.270685,11.546906,-4.406933,126.748291,-4.821736
3.243750,101.072861,-20.778385,21.537605,-4.587622,100.605942,-5.133107
3.250000,102.749168,-20.303144,30.618336,-4.781142,73.650185,-5.465099
3.256250,102.666008,-20.022152,38.703548,-4.989789,45.729012,-5.746865
3.262500,101.512047,-19.820595,45.633991,-5.118590,16.692045,-5.923908
3.268750,100.939751,-19.557762,51.684509,-5.116903,-12.916186,-5.959816
3.275000,100.111038,-19.358690,57.435677,-4.999607,-42.566582,-5.878977
3.281250,98.000809,-19.404718,63.612274,-4.829916,-71.692299,-5.713826
3.287500,94.884827,-19.803341,70.644463,-4.676797,-99.895348,-5.483864
3.293750,92.986420,-20.251663,78.856239,-4.583180,-127.092262,-5.230745
3.300000,94.077568,-20.376732,87.980026,-4.551810,-153.244598,-5.000562
3.306250,96.947113,-20.055563,97.743408,-4.559858,-178.513824,-4.841693
3.312500,98.695778,-19.765221,107.684601,-4.588608,156.778824,-4.776923
3.318750,97.267105,-19.923620,117.386383,-4.580403,132.043640,-4.816602
3.325000,94.887703,-20.472204,126.556145,-4.555930,106.623764,-4.893812
3.331250,94.866615,-20.890764,135.121063,-4.515507,80.209496,-4.969932
