Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338128756.85,2012_05_27_15:25:56,+40.663,+10.254,+55.439,+10.264,+13.893,+13.702,+14.000,+13.750,10.362333,-15.848
3.006250,-10.197828,-14.610335,49.516346,-5.630980,107.556633,-7.667335
3.012500,-10.754189,-14.804104,59.095409,-5.962112,79.671173,-7.214918
3.018750,-10.720135,-14.801697,69.040092,-6.166179,51.372982,-6.933889
3.025000,-13.632346,-15.225174,79.414474,-6.296744,22.973146,-6.785869
3.031250,-17.680059,-15.949961,89.976707,-6.426496,-5.374581,-6.742617
3.037500,-19.336767,-16.521622,100.422081,-6.570140,-33.834568,-6.784563
3.043750,-17.539217,-16.500233,110.733162,-6.661583,-62.399017,-6.875260
3.050000,-14.983319,-16.173618,120.627151,-6.719484,-91.178055,-7.003104
3.056250,-15.667081,-16.180773,130.197128,-6.692957,-120.303497,-7.115912
3.062500,-18.778585,-16.645813,139.732986,-6.622520,-149.948486,-7.189960
3.068750,-20.510174,-17.124474,149.311203,-6.548213,179.773880,-7.176476
3.075000,-18.766829,-17.072683,159.117447,-6.478701,149.160583,-7.069760
3.081250,-14.967432,-16.440079,168.980225,-6.426060,118.575096,-6.919529
3.087500,-13.280374,-15.875801,178.615463,-6.306794,88.579178,-6.806145
3.093750,-15.879756,-15.839822,-172.238235,-6.078490,59.172512,-6.758239
3.100000,-19.338682,-16.046303,-163.693741,-5.725039,30.239311,-6.757607
3.106250,-20.375076,-16.052525,-155.096680,-5.275929,1.913895,-6.775532
3.112500,-18.790285,-15.566430,-146.266281,-4.824652,-25.551165,-6.806707
3.118750,-17.283573,-14.810042,-137.122345,-4.450724,-51.795624,-6.919367
3.125000,-18.992334,-14.295480,-127.943199,-4.211294,-76.405830,-7.145528
3.131250,-23.506119,-14.139701,-118.940643,-4.057454,-99.605438,-7.488069
3.137500,-28.472956,-14.230672,-110.595726,-3.984852,-121.790932,-7.889670
3.143750,-32.487213,-14.304306,-103.419914,-3.938504,-144.026337,-8.217827
3.150000,-35.405640,-14.351794,-96.937950,-3.929170,-167.194870,-8.382776
3.156250,-38.210052,-14.356733,-91.256691,-3.966833,167.960266,-8.359580
3.162500,-41.600048,-14.488857,-85.999168,-4.072011,141.405075,-8.190460
3.168750,-45.334602,-14.805060,-81.177818,-4.203726,113.394791,-8.007298
3.175000,-48.754345,-15.180079,-76.552345,-4.273677,84.116722,-7.818810
3.181250,-51.537922,-15.598658,-72.017143,-4.233921,53.357449,-7.556954
3.187500,-53.945885,-16.080694,-66.775734,-4.081371,21.462606,-7.126991
3.193750,-55.958210,-16.702026,-60.404045,-3.908767,-10.471842,-6.581079
3.200000,-56.795181,-17.283165,-52.319221,-3.767041,-41.173309,-6.029111
3.206250,-55.900795,-17.649656,-42.799416,-3.743720,-69.840965,-5.617133
