Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338038882.63,2012_05_26_14:28:02,+298.24,+298.28,+297.92,+298.16,+297.61,+298.66,+298.14,+298.66,243.702881,-6.485
3.006250,23.575266,-24.960569,-93.301056,-9.162524,-13.607206,-6.857255
3.012500,23.575266,-24.960569,-93.301056,-9.162524,-13.607206,-6.857255
3.018750,23.575266,-24.960569,-93.301056,-9.162524,-13.607206,-6.857255
3.025000,23.575266,-24.960569,-93.301056,-9.162524,-13.607206,-6.857255
3.031250,23.575266,-24.960569,-93.301056,-9.162524,-13.607206,-6.857255
3.037500,23.575266,-24.960569,-93.301056,-9.162524,-13.607206,-6.857255
3.043750,23.575266,-24.960569,-93.301056,-9.162524,-13.607206,-6.857255
3.050000,23.575266,-24.960569,-93.301056,-9.162524,-13.607206,-6.857255
3.056250,23.575266,-24.960569,-93.301056,-9.162524,-13.607206,-6.857255
3.062500,23.575266,-24.960569,-93.301056,-9.162524,-13.607206,-6.857255
3.068750,23.575266,-24.960569,-93.301056,-9.162524,-13.607206,-6.857255
3.075000,23.575266,-24.960569,-93.301056,-9.162524,-13.607206,-6.857255
3.081250,23.575266,-24.960569,-93.301056,-9.162524,-13.607206,-6.857255
3.087500,23.575266,-24.960569,-93.301056,-9.162524,-13.607206,-6.857255
3.093750,23.575266,-25.168299,-93.301056,-9.003772,-13.607206,-6.873557
3.100000,23.325102,-25.351366,-85.326920,-8.854769,-18.436657,-6.885530
3.106250,23.397118,-25.502312,-76.420555,-8.725227,-23.173355,-6.893907
3.112500,23.740700,-25.615511,-65.003059,-8.625359,-27.819721,-6.899700
3.118750,24.311132,-25.684803,-53.055229,-8.563165,-32.381874,-6.904355
3.125000,25.062775,-25.703585,-40.708527,-8.542562,-36.868896,-6.909723
3.131250,25.931246,-25.668818,-28.114153,-8.566243,-41.294724,-6.917384
3.137500,26.827253,-25.583359,-15.414421,-8.638016,-45.677727,-6.928236
3.143750,27.655592,-25.454857,-2.764510,-8.759341,-50.041424,-6.942317
3.150000,28.351379,-25.290302,9.661387,-8.927859,-54.407879,-6.958632
3.156250,28.874331,-25.095201,21.686811,-9.137550,-58.796940,-6.975672
3.162500,29.191040,-24.876495,33.147549,-9.379046,-63.222797,-6.991350
3.168750,29.257860,-24.644442,43.910404,-9.638822,-67.695023,-7.003591
3.175000,29.042809,-24.412107,53.880089,-9.902303,-72.217377,-7.010404
3.181250,28.530348,-24.191790,63.007362,-10.153933,-76.790359,-7.009929
3.187500,27.754709,-23.990568,71.292145,-10.379095,-81.409729,-7.000881
3.193750,26.763165,-23.813164,78.781761,-10.564072,-86.067902,-6.982613
3.200000,25.603067,-23.662416,83.670166,-10.697339,-90.755043,-6.955163
3.206250,24.305843,-23.542290,87.703262,-10.770537,-95.458344,-6.919760
