Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338030400.99,2012_05_26_12:06:40,+298.00,+297.82,+02.989,+297.70,+297.14,+298.06,+297.69,+298.09,243.317642,-6.615
3.006250,14.314902,-10.008292,3.033324,-8.973138,-87.417694,-12.224077
3.012500,14.314902,-10.008292,3.033324,-8.973138,-87.417694,-12.224077
3.018750,14.314902,-10.008292,3.033324,-8.973138,-87.417694,-12.224077
3.025000,14.314902,-10.008292,3.033324,-8.973138,-87.417694,-12.224077
3.031250,14.314902,-10.008292,3.033324,-8.973138,-87.417694,-12.224077
3.037500,14.314902,-10.008292,3.033324,-8.973138,-87.417694,-12.224077
3.043750,14.314902,-10.008292,3.033324,-8.973138,-87.417694,-12.224077
3.050000,14.314902,-10.008292,3.033324,-8.973138,-87.417694,-12.224077
3.056250,14.314902,-10.008292,3.033324,-8.973138,-87.417694,-12.224077
3.062500,14.314902,-10.008292,3.033324,-8.973138,-87.417694,-12.224077
3.068750,14.314902,-10.008292,3.033324,-8.973138,-87.417694,-12.224077
3.075000,14.314902,-10.008292,3.033324,-8.973138,-87.417694,-12.224077
3.081250,14.314902,-10.008292,3.033324,-8.973138,-87.417694,-12.224077
3.087500,14.314902,-10.008292,3.033324,-8.973138,-87.417694,-12.224077
3.093750,14.314902,-9.860452,3.033324,-9.047132,-87.417694,-12.648776
3.100000,13.671165,-9.725598,3.185910,-9.120934,-88.163673,-13.047016
3.106250,13.011295,-9.602400,2.701472,-9.194016,-87.126854,-13.411827
3.112500,12.345733,-9.489376,1.416142,-9.265991,-84.053238,-13.736466
3.118750,11.679922,-9.385236,1.377169,-9.336468,-78.794739,-14.014482
3.125000,11.015221,-9.289304,1.150538,-9.405177,-71.316093,-14.240314
3.131250,10.350866,-9.201177,-0.688424,-9.471990,-61.697559,-14.410101
3.137500,9.687591,-9.120589,-2.058542,-9.536780,-50.129368,-14.521240
3.143750,9.026436,-9.047380,-3.067483,-9.599316,-36.898983,-14.572468
3.150000,8.369318,-8.981318,-3.841005,-9.659275,-22.377470,-14.563883
3.156250,7.720220,-8.921731,-4.514588,-9.716441,-7.003675,-14.497049
3.162500,7.082119,-8.867951,-5.227889,-9.770686,8.741393,-14.375230
3.168750,6.456708,-8.819522,-6.115394,-9.821719,24.360073,-14.202531
3.175000,5.843891,-8.776044,-7.301559,-9.869152,39.365028,-13.984050
3.181250,5.243397,-8.737403,-8.895889,-9.912750,53.299965,-13.725771
3.187500,4.656734,-8.703309,-8.816795,-9.952426,65.768410,-13.434502
3.193750,4.084470,-8.673356,-8.486724,-9.987896,76.452660,-13.117061
3.200000,3.528839,-8.647025,-9.339801,-10.019000,85.130432,-12.780149
3.206250,2.991045,-8.623837,-9.328576,-10.045613,91.684372,-12.430441
3.212500,2.470603,-8.603402,-8.617073,-10.067961,96.111565,-12.073972
3.218750,1.966547,-8.585496,-7.403500,-10.086057,98.523956,-11.715866
3.225000,1.477020,-8.570035,-5.909438,-10.099928,99.143982,-11.360359
3.231250,1.001435,-8.557055,-4.371286,-10.109650,98.293602,-11.010914
