Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338030677.5,2012_05_26_12:11:17,+298.01,+297.84,+02.989,+297.71,+297.15,+298.07,+297.70,+298.11,243.328842,-6.614
3.006250,-74.398346,-3.724556,3.950259,-6.473068,21.925808,-10.878863
3.012500,-74.398346,-3.724556,3.950259,-6.473068,21.925808,-10.878863
3.018750,-74.398346,-3.724556,3.950259,-6.473068,21.925808,-10.878863
3.025000,-74.398346,-3.724556,3.950259,-6.473068,21.925808,-10.878863
3.031250,-74.398346,-3.724556,3.950259,-6.473068,21.925808,-10.878863
3.037500,-74.398346,-3.724556,3.950259,-6.473068,21.925808,-10.878863
3.043750,-74.398346,-3.724556,3.950259,-6.473068,21.925808,-10.878863
3.050000,-74.398346,-3.724556,3.950259,-6.473068,21.925808,-10.878863
3.056250,-74.398346,-3.724556,3.950259,-6.473068,21.925808,-10.878863
3.062500,-74.398346,-3.724556,3.950259,-6.473068,21.925808,-10.878863
3.068750,-74.398346,-3.724556,3.950259,-6.473068,21.925808,-10.878863
3.075000,-74.398346,-3.724556,3.950259,-6.473068,21.925808,-10.878863
3.081250,-74.398346,-3.724556,3.950259,-6.473068,21.925808,-10.878863
3.087500,-74.398346,-3.724556,3.950259,-6.473068,21.925808,-10.878863
3.093750,-74.398346,-3.691881,3.950259,-6.517151,21.925808,-10.904184
3.100000,-74.777107,-3.658597,4.288977,-6.565299,20.710543,-10.932567
3.106250,-75.171303,-3.625080,4.117288,-6.617124,19.465393,-10.963840
3.112500,-75.579659,-3.591593,3.239621,-6.672341,18.191509,-10.997873
3.118750,-75.999420,-3.557946,1.491742,-6.731078,16.888029,-11.035299
3.125000,-76.428986,-3.523785,0.919603,-6.793569,15.554705,-11.076665
3.131250,-76.867424,-3.488894,0.089233,-6.859899,14.194591,-11.122004
3.137500,-77.316231,-3.453276,-0.524977,-6.929615,12.810746,-11.171595
3.143750,-77.777351,-3.417001,-2.356911,-7.002904,11.402189,-11.226142
3.150000,-78.253014,-3.380382,-3.361988,-7.079982,9.967251,-11.286358
3.156250,-78.744934,-3.343857,-3.702845,-7.160518,8.509031,-11.352401
3.162500,-79.254227,-3.308004,-3.575214,-7.244098,7.029008,-11.424339
3.168750,-79.779228,-3.272994,-3.204464,-7.330854,5.525980,-11.502896
3.175000,-80.317833,-3.238794,-2.831026,-7.421459,3.995261,-11.588911
3.181250,-80.867355,-3.205291,-2.692865,-7.515955,2.436915,-11.682752
3.187500,-81.426651,-3.172209,-3.015806,-7.613959,0.854438,-11.784213
3.193750,-81.995819,-3.139376,-1.839350,-7.715640,-0.753970,-11.893770
3.200000,-82.576126,-3.106783,-0.704117,-7.821404,-2.391347,-12.012094
3.206250,-83.169212,-3.074606,0.744932,-7.931748,-4.058743,-12.139811
3.212500,-83.776299,-3.042977,0.952844,-8.046592,-5.755836,-12.277173
3.218750,-84.397545,-3.011974,1.846750,-8.165906,-7.479924,-12.424285
3.225000,-85.032883,-2.981577,3.145907,-8.289840,-9.232680,-12.581837
3.231250,-85.681801,-2.951675,4.545577,-8.418880,-11.015679,-12.750863
3.237500,-86.344528,-2.922183,5.734373,-8.553584,-12.828987,-12.932415
3.243750,-87.022324,-2.892932,6.411846,-8.693801,-14.670751,-13.127151
3.250000,-87.717506,-2.864197,6.300126,-8.839400,-16.537081,-13.335776
3.256250,-88.432877,-2.836305,7.320901,-8.990952,-18.428240,-13.559952
3.262500,-89.169746,-2.809673,7.911888,-9.149531,-20.348288,-13.802058
3.268750,-89.929054,-2.784714,8.428384,-9.315495,-22.293535,-14.064536
3.275000,-90.709709,-2.761479,9.227615,-9.488874,-24.258350,-14.349067
3.281250,-91.510635,-2.739958,8.749775,-9.669997,-26.242546,-14.659113
3.287500,-92.330574,-2.720062,8.909110,-9.860401,-28.254313,-15.000062
3.293750,-93.170326,-2.701531,9.417752,-10.061465,-30.305508,-15.378421
3.300000,-94.032410,-2.684489,9.968195,-10.273758,-32.405357,-15.800885
3.306250,-94.920189,-2.669212,10.239945,-10.498595,-34.572311,-16.278183
3.312500,-95.837242,-2.656134,9.912442,-10.738234,-36.853889,-16.827719
3.318750,-96.786591,-2.645701,8.685427,-10.995046,-39.356956,-17.445160
3.325000,-97.770508,-2.638323,8.461191,-11.270076,-40.455444,-18.104647
3.331250,-98.791367,-2.634290,7.649209,-11.563899,-41.760902,-18.817722
3.337500,-99.852425,-2.634075,6.553344,-11.875960,-42.794079,-19.585340
3.343750,-100.958794,-2.638381,5.471723,-12.203711,-43.228939,-20.394447
3.350000,-102.117157,-2.648560,4.691369,-12.543265,-42.819283,-21.222382
3.356250,-103.335365,-2.666446,4.459028,-12.889957,-41.376900,-22.040516
3.362500,-104.620766,-2.694469,4.957554,-13.237486,-38.782207,-22.816366
3.368750,-105.977837,-2.735430,6.303719,-13.576227,-34.978550,-23.515446
3.375000,-107.409309,-2.792604,8.543367,-13.893566,-29.974699,-24.103249
3.381250,-108.913376,-2.869706,9.754136,-14.175636,-23.850565,-24.548309
3.387500,-110.487343,-2.971527,11.462707,-14.407449,-16.752819,-24.823730
3.393750,-112.122543,-3.103731,15.152679,-14.574266,-8.883126,-24.909050
3.400000,-113.794830,-3.270530,18.765125,-14.662413,-0.494696,-24.791672
3.406250,-115.462051,-3.473388,22.121462,-14.660360,8.124223,-24.467440
3.412500,-117.079109,-3.713560,25.040756,-14.559046,16.663671,-23.940819
3.418750,-118.605461,-3.991959,27.349167,-14.352823,24.806870,-23.225132
3.425000,-119.988304,-4.307369,28.886065,-14.040867,32.242981,-22.342793
3.431250,-121.165726,-4.655493,29.515991,-13.626799,38.683319,-21.323801
3.437500,-122.073410,-5.029502,29.144514,-13.117941,43.885464,-20.203287
3.443750,-122.653320,-5.420114,27.720989,-12.525572,47.664902,-19.020123
3.450000,-122.856758,-5.815929,25.237799,-11.865407,49.894207,-17.815054
3.456250,-122.647949,-6.203999,21.734869,-11.156123,50.519035,-16.629473
3.462500,-122.009399,-6.570451,19.471807,-10.418442,49.566975,-15.501030
3.468750,-120.946136,-6.901690,15.333240,-9.673194,47.146580,-14.461720
3.475000,-119.485611,-7.185377,11.611834,-8.941241,43.447052,-13.535901
3.481250,-117.676407,-7.411068,8.409925,-8.242659,38.720856,-12.739434
3.487500,-115.586517,-7.571134,5.810292,-7.594458,33.284115,-12.075050
3.493750,-113.298645,-7.661001,3.876094,-7.009426,27.520117,-11.528094
3.500000,-110.905014,-7.679564,2.645708,-6.496003,21.906279,-11.097134
3.506250,-108.500221,-7.628939,2.134909,-6.058959,14.957547,-10.800818
3.512500,-106.177841,-7.514340,2.346247,-5.698818,8.432612,-10.616420
3.518750,-104.023544,-7.343523,3.280529,-5.413220,2.218057,-10.521505
3.525000,-102.111473,-7.126281,4.926741,-5.198016,-3.703084,-10.498847
3.531250,-100.500755,-6.873753,7.252799,-5.047362,-9.324457,-10.534178
3.537500,-99.233482,-6.597913,8.322314,-4.952465,-14.641501,-10.614055
3.543750,-98.334076,-6.310839,9.718238,-4.902680,-19.649025,-10.726010
3.550000,-97.809067,-6.024353,10.867014,-4.888335,-24.355001,-10.859521
3.556250,-97.644737,-5.749191,11.229031,-4.901779,-28.783323,-11.006627
3.562500,-97.810661,-5.493874,12.503160,-4.935770,-32.960873,-11.160479
3.568750,-98.256767,-5.263335,12.951949,-4.983240,-36.910652,-11.314719
3.575000,-98.922318,-5.058780,12.792874,-5.038591,-40.662212,-11.464244
3.581250,-99.753006,-4.880030,12.289758,-5.097937,-44.252380,-11.605846
3.587500,-100.709633,-4.727267,11.744112,-5.158682,-47.718155,-11.737797
3.593750,-101.757584,-4.599264,11.480899,-5.218752,-51.092472,-11.858841
3.600000,-102.857697,-4.493196,9.937257,-5.275949,-54.401440,-11.967441
3.606250,-103.982185,-4.406194,9.049922,-5.328921,-57.670361,-12.063096
