Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338030246.11,2012_05_26_12:04:06,+298.00,+297.82,+02.989,+297.69,+297.13,+298.05,+297.68,+298.08,243.310394,-6.614
4.006250,51.054214,-8.421297,1.288844,-7.343682,-2.418912,-5.832741
4.012500,51.054214,-8.421297,1.288844,-7.343682,-2.418912,-5.832741
4.018750,51.054214,-8.421297,1.288844,-7.343682,-2.418912,-5.832741
4.025000,51.054214,-8.421297,1.288844,-7.343682,-2.418912,-5.832741
4.031250,51.054214,-8.421297,1.288844,-7.343682,-2.418912,-5.832741
4.037500,51.054214,-8.129502,1.288844,-7.317618,-2.418912,-5.970200
4.043750,51.331512,-7.854641,31.753500,-7.301811,-6.187006,-6.120742
4.050000,71.538071,-7.681499,56.423157,-7.293083,-9.936240,-6.282352
4.056250,103.974617,-7.648729,65.929001,-7.286874,-13.687742,-6.452812
4.062500,136.300522,-7.732739,56.684082,-7.278199,-17.452259,-6.629276
4.068750,156.198593,-7.860098,32.251945,-7.261808,-21.227064,-6.809225
4.075000,167.066711,-7.942697,1.982300,-7.233178,-24.994560,-6.990727
4.081250,172.948181,-7.917740,-22.552099,-7.189919,-28.728949,-7.173545
4.087500,173.971375,-7.773749,-31.983669,-7.134017,-32.412834,-7.360625
4.093750,174.851669,-7.552535,-22.712799,-7.070526,-36.039753,-7.557252
4.100000,175.146957,-7.325325,1.726299,-7.005919,-39.612026,-7.768331
4.106250,174.705582,-7.158205,26.766270,-6.946670,-43.145180,-7.996781
4.112500,173.708237,-7.081874,51.385086,-6.897828,-46.663292,-8.242603
4.118750,172.551346,-7.081112,60.978504,-6.862278,-50.195786,-8.503401
4.125000,171.638535,-7.107967,51.952095,-6.840070,-53.762550,-8.773866
4.131250,171.185730,-7.109081,27.833883,-6.829367,-57.371395,-9.048879
4.137500,171.141464,-7.052789,-2.086621,-6.827017,-61.019947,-9.325212
4.143750,171.243805,-6.943336,-26.305542,-6.828234,-64.691017,-9.602049
4.150000,171.180939,-6.814253,-35.504459,-6.828005,-68.362503,-9.880775
4.156250,170.755905,-6.709189,-26.115540,-6.821552,-72.016678,-10.165494
4.162500,169.979645,-6.657735,-1.687581,-6.805972,-75.653900,-10.462158
4.168750,169.052200,-6.660981,23.219362,-6.780414,-79.295486,-10.776149
4.175000,168.244080,-6.692415,47.617260,-6.745380,-82.973213,-11.109430
4.181250,167.752762,-6.712677,56.950455,-6.703475,-86.726151,-11.460989
4.187500,167.605484,-6.690169,47.673794,-6.658640,-90.592300,-11.826453
4.193750,167.654907,-6.616017,23.361750,-6.615944,-94.595055,-12.200177
4.200000,167.659927,-6.506776,-6.652433,-6.579634,-98.734245,-12.577263
4.206250,167.406937,-6.395354,-30.837957,-6.552450,-102.994751,-12.955694
4.212500,166.809448,-6.313786,-39.874523,-6.535883,-107.355515,-13.337632
4.218750,165.935822,-6.279241,-30.213472,-6.529250,-111.800316,-13.727384
4.225000,164.964218,-6.287836,-5.436248,-6.530471,-116.324417,-14.128922
4.231250,164.088501,-6.319441,19.845055,-6.537146,-120.944565,-14.543151
4.237500,163.433716,-6.349092,44.581650,-6.546830,-125.694183,-14.965799
4.243750,163.010818,-6.358654,54.167988,-6.556518,-130.608887,-15.388313
4.250000,162.735077,-6.343369,45.032948,-6.562871,-135.727493,-15.801080
4.256250,162.486572,-6.310420,20.743042,-6.563005,-141.077972,-16.197987
4.262500,162.166367,-6.273129,-9.358176,-6.554666,-146.677902,-16.579552
4.268750,161.740219,-6.242667,-33.711708,-6.536301,-147.274612,-16.950905
4.275000,161.234283,-6.223564,-42.955585,-6.507840,-142.351059,-17.318260
4.281250,160.701859,-6.213801,-33.497601,-6.471322,-122.587120,-17.682129
4.287500,160.187439,-6.208523,-8.880280,-6.430902,-84.452759,-18.032757
4.293750,159.700302,-6.204023,16.322456,-6.391762,-31.558338,-18.349150
4.300000,159.223694,-6.200652,41.091274,-6.358941,26.748234,-18.603462
4.306250,158.733322,-6.201341,50.831680,-6.336560,78.969879,-18.771515
4.312500,158.221085,-6.209079,41.960972,-6.326921,115.898239,-18.843130
4.318750,157.705978,-6.223845,18.018105,-6.329463,134.159897,-18.824842
4.325000,157.218384,-6.242476,-11.699452,-6.341358,137.518738,-18.740183
4.331250,156.784271,-6.260207,-35.690895,-6.358036,135.455612,-18.619267
4.337500,156.407455,-6.273445,-44.655293,-6.373800,128.527390,-18.488043
4.343750,156.065750,-6.281947,-35.041225,-6.382053,121.915291,-18.359077
4.350000,155.729324,-6.288351,-10.406112,-6.377622,115.469658,-18.228334
4.356250,155.374573,-6.295795,14.683064,-6.357602,109.027863,-18.080103
4.362500,154.999878,-6.306148,39.236301,-6.322220,102.501404,-17.894461
4.368750,154.620377,-6.318111,48.702610,-6.274975,95.902939,-17.656666
4.375000,154.254608,-6.328838,39.553032,-6.221935,89.360138,-17.365227
4.381250,153.905243,-6.336754,15.376127,-6.169753,83.056442,-17.031456
4.387500,153.554733,-6.344210,-14.484236,-6.124177,77.162514,-16.678278
4.393750,153.176651,-6.357431,-38.496067,-6.088349,71.769699,-16.331762
4.400000,152.760559,-6.383221,-47.353260,-6.063602,66.866425,-16.014755
4.406250,152.331055,-6.424655,-37.527401,-6.048954,62.352833,-15.740984
4.412500,151.947830,-6.476729,-12.620905,-6.042103,58.090454,-15.510828
4.418750,151.679169,-6.526390,12.744369,-6.039670,53.945332,-15.314719
4.425000,151.561462,-6.558260,37.523472,-6.038828,49.828037,-15.137307
4.431250,151.565948,-6.562126,47.122551,-6.037321,45.701668,-14.963720
4.437500,151.599274,-6.539489,37.993130,-6.031348,41.581741,-14.783714
4.443750,151.534103,-6.505375,13.726955,-6.016857,37.511524,-14.593644
4.450000,151.275711,-6.482780,-16.318369,-5.991420,33.532436,-14.397469
4.456250,150.810104,-6.491766,-40.596004,-5.954618,29.660688,-14.203575
4.462500,150.227798,-6.539128,-49.769405,-5.908927,25.889748,-14.020946
4.468750,149.688843,-6.613942,-40.270657,-5.858651,22.200905,-13.854876
4.475000,149.350006,-6.691539,-15.657336,-5.808840,18.569086,-13.706618
4.481250,149.287552,-6.744544,9.498818,-5.763298,14.982038,-13.573208
