Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338030543.89,2012_05_26_12:09:03,+298.01,+297.83,+02.989,+297.71,+297.14,+298.07,+297.69,+298.10,243.324814,-6.615
3.006250,110.375549,-4.509820,10.299494,-6.748435,-82.862183,-12.600844
3.012500,110.375549,-4.509820,10.299494,-6.748435,-82.862183,-12.600844
3.018750,110.375549,-4.509820,10.299494,-6.748435,-82.862183,-12.600844
3.025000,110.375549,-4.509820,10.299494,-6.748435,-82.862183,-12.600844
3.031250,110.375549,-4.509820,10.299494,-6.748435,-82.862183,-12.600844
3.037500,110.375549,-4.509820,10.299494,-6.748435,-82.862183,-12.600844
3.043750,110.375549,-4.509820,10.299494,-6.748435,-82.862183,-12.600844
3.050000,110.375549,-4.509820,10.299494,-6.748435,-82.862183,-12.600844
3.056250,110.375549,-4.509820,10.299494,-6.748435,-82.862183,-12.600844
3.062500,110.375549,-4.509820,10.299494,-6.748435,-82.862183,-12.600844
3.068750,110.375549,-4.509820,10.299494,-6.748435,-82.862183,-12.600844
3.075000,110.375549,-4.509820,10.299494,-6.748435,-82.862183,-12.600844
3.081250,110.375549,-4.509820,10.299494,-6.748435,-82.862183,-12.600844
3.087500,110.375549,-4.509820,10.299494,-6.748435,-82.862183,-12.600844
3.093750,110.375549,-4.611849,10.299494,-6.485802,-82.862183,-13.038464
3.100000,108.307526,-4.723526,8.909813,-6.222220,-83.422150,-13.451913
3.106250,106.256546,-4.844465,8.196878,-5.960486,-82.226807,-13.833845
3.112500,104.227745,-4.973914,8.012115,-5.702586,-79.023933,-14.176768
3.118750,102.222855,-5.111345,8.171684,-5.450526,-73.670433,-14.474010
3.125000,100.240196,-5.256617,8.467281,-5.205371,-66.137825,-14.719946
3.131250,98.275505,-5.410299,8.678824,-4.967603,-56.507366,-14.909730
3.137500,96.325928,-5.573092,8.575618,-4.738767,-44.967892,-15.039701
3.143750,94.392059,-5.745474,7.942653,-4.519217,-31.808105,-15.108078
3.150000,92.475243,-5.927988,8.754644,-4.309174,-17.400576,-15.114677
3.156250,90.577667,-6.120762,9.486159,-4.108312,-2.178973,-15.060366
3.162500,88.701820,-6.324129,10.507467,-3.915893,13.383696,-14.947160
3.168750,86.849365,-6.538430,10.271398,-3.731771,28.794403,-14.779028
3.175000,85.019783,-6.764319,10.708097,-3.556260,43.567173,-14.561519
3.181250,83.214462,-7.002583,11.546803,-3.389028,57.253056,-14.300575
3.187500,81.434387,-7.253827,12.494979,-3.229492,69.465736,-14.002679
3.193750,79.682632,-7.519136,13.250480,-3.077390,79.893913,-13.674520
3.200000,77.961655,-7.799158,13.515410,-2.932693,88.318756,-13.323641
3.206250,76.275261,-8.094756,13.014989,-2.795391,94.626106,-12.957382
3.212500,74.625870,-8.407193,13.680907,-2.665034,98.819443,-12.582080
3.218750,73.015335,-8.737830,13.963433,-2.541522,101.014160,-12.203513
3.225000,71.448158,-9.088575,14.221933,-2.424692,101.433395,-11.826715
3.231250,69.927887,-9.461826,12.922040,-2.314342,100.400070,-11.455816
3.237500,68.461342,-9.860091,12.028130,-2.210338,98.320168,-11.094118
3.243750,67.060646,-10.286452,11.315333,-2.112474,95.664589,-10.743932
3.250000,65.740257,-10.743927,10.546798,-2.020631,92.941422,-10.407578
3.256250,64.522400,-11.235697,9.489323,-1.934635,88.505997,-10.086312
3.262500,63.435978,-11.765280,7.922348,-1.854275,84.228729,-9.780942
3.268750,62.520630,-12.334653,5.650880,-1.779489,80.088135,-9.491664
3.275000,61.831776,-12.943544,2.513550,-1.710181,76.064217,-9.218471
3.281250,61.436501,-13.589275,0.559910,-1.646284,72.139099,-8.961013
