Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338031561.42,2012_05_26_12:26:01,+298.05,+297.88,+02.989,+297.76,+297.19,+298.13,+297.74,+298.16,243.373352,-6.621
3.006250,-79.841370,-6.104056,0.992122,-9.089901,29.703276,-9.319324
3.012500,-79.841370,-6.104056,0.992122,-9.089901,29.703276,-9.319324
3.018750,-79.841370,-6.104056,0.992122,-9.089901,29.703276,-9.319324
3.025000,-79.841370,-6.104056,0.992122,-9.089901,29.703276,-9.319324
3.031250,-79.841370,-6.104056,0.992122,-9.089901,29.703276,-9.319324
3.037500,-79.841370,-6.104056,0.992122,-9.089901,29.703276,-9.319324
3.043750,-79.841370,-6.104056,0.992122,-9.089901,29.703276,-9.319324
3.050000,-79.841370,-6.104056,0.992122,-9.089901,29.703276,-9.319324
3.056250,-79.841370,-6.104056,0.992122,-9.089901,29.703276,-9.319324
3.062500,-79.841370,-6.104056,0.992122,-9.089901,29.703276,-9.319324
3.068750,-79.841370,-6.104056,0.992122,-9.089901,29.703276,-9.319324
3.075000,-79.841370,-6.104056,0.992122,-9.089901,29.703276,-9.319324
3.081250,-79.841370,-6.104056,0.992122,-9.089901,29.703276,-9.319324
3.087500,-79.841370,-6.104056,0.992122,-9.089901,29.703276,-9.319324
3.093750,-79.841370,-6.176346,0.992122,-9.175561,29.703276,-9.363620
3.100000,-79.576164,-6.241572,1.150168,-9.261312,28.097111,-9.418414
3.106250,-79.292946,-6.300067,0.675921,-9.346372,26.513157,-9.482586
3.112500,-78.996101,-6.352112,-0.594607,-9.430293,24.955626,-9.555290
3.118750,-78.686859,-6.397676,-0.615835,-9.513107,23.426655,-9.635795
3.125000,-78.366364,-6.436388,-0.822740,-9.594576,21.929739,-9.723176
3.131250,-78.036598,-6.468013,-2.636998,-9.674252,20.469776,-9.816467
3.137500,-77.702446,-6.492501,-3.977371,-9.751793,19.045734,-9.915141
3.143750,-77.369080,-6.510049,-4.953834,-9.827154,17.656641,-10.018832
3.150000,-77.042091,-6.521164,-5.691752,-9.900229,16.302799,-10.126792
3.156250,-76.727310,-6.526669,-6.325460,-9.970429,14.984789,-10.238181
3.162500,-76.428642,-6.527400,-6.992700,-10.037124,13.701396,-10.352112
3.168750,-76.146690,-6.524003,-7.829708,-10.100239,12.448749,-10.468237
3.175000,-75.880661,-6.516804,-8.962692,-10.159596,11.222452,-10.586194
3.181250,-75.628548,-6.505767,-10.499269,-10.214862,10.019258,-10.705353
3.187500,-75.389664,-6.490845,-10.357111,-10.265438,8.838913,-10.825027
3.193750,-75.164597,-6.472032,-9.958285,-10.311039,7.677210,-10.944738
3.200000,-74.955475,-6.449595,-10.738871,-10.351756,6.529817,-11.064225
3.206250,-74.764526,-6.423749,-10.652113,-10.387592,5.393845,-11.183471
3.212500,-74.593391,-6.394892,-9.861011,-10.418476,4.266038,-11.302122
3.218750,-74.443352,-6.363458,-8.562529,-10.444388,3.146372,-11.420014
3.225000,-74.314232,-6.329644,-6.979624,-10.465319,2.032013,-11.537069
3.231250,-74.204979,-6.293539,-5.350339,-10.481262,0.919842,-11.653556
3.237500,-74.114868,-6.255132,-3.914797,-10.492466,-0.193289,-11.769794
3.243750,-74.044327,-6.214428,-2.902541,-10.499104,-1.310534,-11.886059
3.250000,-73.994804,-6.171668,-0.352820,-10.500788,-2.434275,-12.002469
3.256250,-73.968292,-6.127229,2.195147,-10.497162,-3.566110,-12.119297
3.262500,-73.966576,-6.081745,3.200557,-10.488507,-4.711791,-12.237087
3.268750,-73.989990,-6.035785,4.621122,-10.474970,-5.875807,-12.356565
3.275000,-74.037300,-5.989689,6.228483,-10.456035,-7.059626,-12.477749
3.281250,-74.105133,-5.943500,7.785532,-10.431279,-8.263277,-12.600508
3.287500,-74.190964,-5.897104,9.053867,-10.400887,-9.491228,-12.725416
3.293750,-74.292542,-5.850141,9.808645,-10.365189,-10.747956,-12.853242
3.300000,-74.409599,-5.802422,9.852664,-10.324250,-12.035099,-12.984407
3.306250,-74.543114,-5.753834,9.025272,-10.277853,-13.351451,-13.118933
3.312500,-74.695671,-5.704615,9.373499,-10.226194,-14.698862,-13.257457
3.318750,-74.869278,-5.655110,9.460984,-10.170044,-16.081324,-13.400968
3.325000,-75.065582,-5.605761,7.865681,-10.109412,-17.500237,-13.549799
3.331250,-75.284256,-5.556790,6.672526,-10.043919,-18.952602,-13.703963
3.337500,-75.523674,-5.508299,5.773349,-9.973571,-20.440277,-13.863826
3.343750,-75.782257,-5.460152,5.042127,-9.898697,-21.966648,-14.030201
3.350000,-76.059052,-5.412279,4.344481,-9.819307,-23.532562,-14.203705
3.356250,-76.353958,-5.364580,3.545384,-9.734835,-25.135159,-14.384334
3.362500,-76.669189,-5.317318,2.511522,-9.644871,-26.770542,-14.572490
3.368750,-77.006630,-5.270899,1.117719,-9.549700,-28.441462,-14.768815
3.375000,-77.367920,-5.225953,-0.744916,-9.449334,-30.146862,-14.974026
3.381250,-77.752487,-5.182851,-0.991923,-9.343413,-31.883514,-15.188255
3.387500,-78.158600,-5.141868,-1.044474,-9.231770,-33.650013,-15.412182
3.393750,-78.583282,-5.102958,-2.338287,-9.114738,-35.449684,-15.646484
3.400000,-79.023911,-5.065887,-2.826623,-8.992484,-37.283741,-15.891768
3.406250,-79.479012,-5.030409,-2.672502,-8.865098,-39.153351,-16.148367
3.412500,-79.949860,-4.996499,-2.074223,-8.732897,-41.062141,-16.416479
3.418750,-80.438034,-4.964327,-1.256693,-8.596336,-43.017044,-16.696465
3.425000,-80.946167,-4.934358,-0.456475,-8.455648,-45.025784,-16.988489
3.431250,-81.476334,-4.907256,0.087173,-8.310913,-47.092720,-17.292507
3.437500,-82.028465,-4.883660,0.144790,-8.162567,-49.227745,-17.608633
3.443750,-82.601097,-4.864072,1.673978,-8.010966,-51.439445,-17.936609
3.450000,-83.190536,-4.848629,3.136553,-7.856145,-53.736675,-18.275900
3.456250,-83.793060,-4.837331,2.994497,-7.698326,-56.130432,-18.626291
3.462500,-84.406120,-4.830232,3.205805,-7.538034,-58.633404,-18.987181
3.468750,-85.027924,-4.827322,3.541322,-7.375637,-61.265503,-19.357920
3.475000,-85.657860,-4.828919,3.763743,-7.211403,-64.045845,-19.736662
3.481250,-86.295815,-4.835420,3.637423,-7.045836,-66.995934,-20.120924
3.487500,-86.940620,-4.847428,2.938507,-6.879920,-70.140205,-20.508274
3.493750,-87.589302,-4.865297,1.470107,-6.714527,-73.499992,-20.896179
3.500000,-88.237625,-4.889166,-0.927102,-6.550029,-77.092651,-21.281202
3.506250,-88.879288,-4.918796,-2.203186,-6.387374,-80.940971,-21.659855
3.512500,-89.509430,-4.953810,-3.792751,-6.227783,-85.071770,-22.028744
3.518750,-90.124016,-4.993758,-5.219918,-6.072328,-87.615211,-22.382929
3.525000,-90.720848,-5.038377,-7.913404,-5.921572,-90.210411,-22.716194
3.531250,-91.298630,-5.087523,-9.821582,-5.776319,-92.339928,-23.021917
3.537500,-91.856689,-5.141245,-11.105775,-5.637882,-93.516251,-23.294241
3.543750,-92.392303,-5.199531,-11.958152,-5.506934,-93.308571,-23.527050
3.550000,-92.902153,-5.262182,-12.592390,-5.383677,-91.353798,-23.714598
3.556250,-93.380798,-5.328716,-13.238628,-5.268763,-87.388847,-23.852526
3.562500,-93.823418,-5.398324,-14.132204,-5.163356,-81.261292,-23.937910
3.568750,-94.225098,-5.470119,-15.493211,-5.067867,-72.929413,-23.967676
3.575000,-94.583786,-5.543257,-15.347782,-4.982134,-62.462326,-23.939672
3.581250,-94.898865,-5.617019,-15.225381,-4.906324,-50.048717,-23.852942
3.587500,-95.170700,-5.690791,-14.763188,-4.841086,-35.979156,-23.708292
3.593750,-95.399315,-5.764004,-15.508805,-4.786808,-20.625288,-23.508015
3.600000,-95.585442,-5.836170,-15.523848,-4.742978,-4.420130,-23.255142
3.606250,-95.729378,-5.906623,-15.076424,-4.708987,12.161069,-22.953808
3.612500,-95.830643,-5.974612,-14.462242,-4.685118,28.615789,-22.610584
3.618750,-95.890991,-6.039299,-13.986137,-4.671473,44.450367,-22.232393
3.625000,-95.912537,-6.099995,-13.938994,-4.667316,59.205013,-21.826630
3.631250,-95.899529,-6.156204,-14.590303,-4.671789,72.474121,-21.400043
3.637500,-95.857292,-6.207731,-14.009151,-4.684501,83.924278,-20.959547
3.643750,-95.791832,-6.254493,-13.746335,-4.704937,93.312988,-20.511547
3.650000,-95.707901,-6.296642,-13.438495,-4.732380,100.516983,-20.061150
3.656250,-95.609566,-6.334324,-12.722123,-4.766049,105.529716,-19.613136
3.662500,-95.498909,-6.367570,-13.148998,-4.805262,108.463470,-19.172443
3.668750,-95.378365,-6.396246,-12.789632,-4.849560,109.543793,-18.743727
3.675000,-95.250099,-6.420298,-11.918272,-4.898240,109.094650,-18.330332
3.681250,-95.116196,-6.439703,-10.832723,-4.950609,107.522827,-17.934956
3.687500,-94.980713,-6.454636,-9.839836,-5.006166,105.298820,-17.559481
3.693750,-94.846817,-6.465361,-9.240024,-5.064538,102.931786,-17.204767
3.700000,-94.717323,-6.472249,-9.310249,-5.125298,98.781212,-16.871166
3.706250,-94.593903,-6.475580,-8.123099,-5.188014,94.724007,-16.559195
3.712500,-94.477325,-6.475475,-7.232194,-5.252104,90.747017,-16.268970
3.718750,-94.368179,-6.472082,-6.280024,-5.317193,86.833801,-16.000664
3.725000,-94.267128,-6.465433,-4.909977,-5.383172,82.971390,-15.754653
3.731250,-94.175415,-6.455669,-4.678280,-5.449999,79.143761,-15.531620
3.737500,-94.095161,-6.443039,-3.658240,-5.517286,75.340103,-15.331596
3.743750,-94.027908,-6.427962,-2.126454,-5.584354,71.550499,-15.154666
3.750000,-93.975189,-6.410670,-0.385181,-5.651227,67.764206,-15.001076
3.756250,-93.937019,-6.391408,1.252639,-5.718027,63.971298,-14.871420
3.762500,-93.913269,-6.370265,2.485644,-5.784635,60.163902,-14.766545
3.768750,-93.903542,-6.347486,3.036763,-5.850709,56.336380,-14.687319
3.775000,-93.908531,-6.323150,4.833474,-5.915781,52.484032,-14.634263
3.781250,-93.927757,-6.297385,6.318860,-5.980073,48.600151,-14.608600
3.787500,-93.961098,-6.270274,7.847723,-6.043953,44.676357,-14.611970
3.793750,-94.008804,-6.241898,7.883795,-6.107340,40.707932,-14.645361
3.800000,-94.069862,-6.212292,8.391361,-6.169947,36.690956,-14.709788
3.806250,-94.143906,-6.181382,9.142701,-6.231813,32.614784,-14.806712
3.812500,-94.231377,-6.149028,9.898928,-6.293154,28.467579,-14.938025
3.818750,-94.332855,-6.115267,10.423603,-6.354012,24.233923,-15.105635
3.825000,-94.449745,-6.080238,10.495632,-6.414496,19.898008,-15.312445
3.831250,-94.584457,-6.044278,9.917715,-6.474659,15.437074,-15.560628
3.837500,-94.737953,-6.007733,8.527640,-6.534343,10.821523,-15.852245
3.843750,-94.911514,-5.970867,8.374489,-6.593375,6.010870,-16.187128
3.850000,-95.104675,-5.933883,8.024632,-6.651816,0.952890,-16.564266
3.856250,-95.317383,-5.896920,6.056220,-6.709634,-4.396912,-16.981365
3.862500,-95.550385,-5.860168,4.553087,-6.766677,-10.083814,-17.435951
3.868750,-95.804787,-5.823931,3.410677,-6.822504,-16.157183,-17.923122
3.875000,-96.081665,-5.788632,2.507370,-6.877082,-22.673248,-18.435564
3.881250,-96.382439,-5.754759,1.710281,-6.930372,-27.795887,-18.962698
3.887500,-96.706909,-5.722917,0.884501,-6.982116,-33.191082,-19.491133
3.893750,-97.053841,-5.693484,-0.100635,-7.032128,-38.356003,-20.005602
3.900000,-97.420692,-5.666594,-1.367574,-7.080426,-42.807571,-20.490295
