Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338031005.25,2012_05_26_12:16:45,+298.02,+297.85,+02.989,+297.73,+297.16,+298.09,+297.71,+298.13,243.344437,-6.617
3.006250,-7.826553,-7.526530,4.099635,-6.484066,53.102009,-14.050331
3.012500,-7.826553,-7.526530,4.099635,-6.484066,53.102009,-14.050331
3.018750,-7.826553,-7.526530,4.099635,-6.484066,53.102009,-14.050331
3.025000,-7.826553,-7.526530,4.099635,-6.484066,53.102009,-14.050331
3.031250,-7.826553,-7.526530,4.099635,-6.484066,53.102009,-14.050331
3.037500,-7.826553,-7.526530,4.099635,-6.484066,53.102009,-14.050331
3.043750,-7.826553,-7.526530,4.099635,-6.484066,53.102009,-14.050331
3.050000,-7.826553,-7.526530,4.099635,-6.484066,53.102009,-14.050331
3.056250,-7.826553,-7.526530,4.099635,-6.484066,53.102009,-14.050331
3.062500,-7.826553,-7.526530,4.099635,-6.484066,53.102009,-14.050331
3.068750,-7.826553,-7.526530,4.099635,-6.484066,53.102009,-14.050331
3.075000,-7.826553,-7.526530,4.099635,-6.484066,53.102009,-14.050331
3.081250,-7.826553,-7.526530,4.099635,-6.484066,53.102009,-14.050331
3.087500,-7.826553,-7.526530,4.099635,-6.484066,53.102009,-14.050331
3.093750,-7.826553,-7.505411,4.099635,-6.526776,53.102009,-13.776961
3.100000,-8.388419,-7.486187,4.437856,-6.573182,53.344292,-13.504171
3.106250,-8.943214,-7.468703,4.264966,-6.623394,53.376610,-13.234629
3.112500,-9.490856,-7.453018,3.384362,-6.677398,53.213078,-12.970656
3.118750,-10.029883,-7.438767,1.636474,-6.734765,52.870708,-12.713744
3.125000,-10.559493,-7.425655,1.067002,-6.795591,52.366337,-12.464775
3.131250,-11.079805,-7.413542,0.238941,-6.860367,51.716675,-12.225040
3.137500,-11.592274,-7.402300,-0.375175,-6.928981,50.932728,-11.995993
3.143750,-12.095629,-7.391606,-2.206586,-7.001099,50.030579,-11.777755
3.150000,-12.591478,-7.381228,-3.209243,-7.076639,49.025948,-11.570565
3.156250,-13.081993,-7.371298,-3.549053,-7.155606,47.929249,-11.374594
3.162500,-13.569489,-7.362077,-3.425719,-7.238084,46.748951,-11.189739
3.168750,-14.055272,-7.353836,-3.061258,-7.323913,45.494904,-11.015900
3.175000,-14.538350,-7.346735,-2.691930,-7.413026,44.173004,-10.852485
3.181250,-15.017207,-7.340590,-2.558397,-7.505723,42.786381,-10.699406
3.187500,-15.490107,-7.335061,-2.890565,-7.602264,41.338856,-10.556404
3.193750,-15.955895,-7.329794,-1.726411,-7.702717,39.836792,-10.422903
3.200000,-16.415268,-7.324405,-0.601825,-7.807034,38.283333,-10.298033
3.206250,-16.869509,-7.318800,0.838597,-7.915483,36.681999,-10.181497
3.212500,-17.321693,-7.313118,1.037502,-8.028426,35.034805,-10.072910
3.218750,-17.773773,-7.307425,1.920056,-8.146189,33.345875,-9.971809
3.225000,-18.226583,-7.301891,3.207562,-8.268909,31.618561,-9.877985
3.231250,-18.680340,-7.296446,4.597382,-8.396681,29.857538,-9.791037
3.237500,-19.134510,-7.291034,5.779252,-8.529682,28.065407,-9.710764
3.243750,-19.588867,-7.285205,6.448946,-8.668369,26.243671,-9.637190
3.250000,-20.044823,-7.278697,6.325918,-8.813025,24.393648,-9.570388
3.256250,-20.505331,-7.271744,7.334008,-8.963824,22.517405,-9.510118
3.262500,-20.974667,-7.264682,7.915740,-9.120940,20.616096,-9.456094
3.268750,-21.455828,-7.258057,8.424191,-9.284990,18.687386,-9.408304
3.275000,-21.949945,-7.252288,9.210478,-9.456735,16.728773,-9.366710
3.281250,-22.455856,-7.247438,8.714951,-9.636729,14.739798,-9.330913
3.287500,-22.971436,-7.243297,8.858449,-9.825621,12.720433,-9.300365
3.293750,-23.495226,-7.239345,9.354582,-10.024545,10.668851,-9.274644
3.300000,-24.028215,-7.235081,9.890986,-10.234904,8.581098,-9.253743
3.306250,-24.573366,-7.230162,10.146367,-10.458351,6.456405,-9.237169
3.312500,-25.137083,-7.224806,9.805622,-10.696282,4.295188,-9.224335
3.318750,-25.727623,-7.219715,8.569860,-10.950833,2.095903,-9.214972
3.325000,-26.351759,-7.215951,8.335655,-11.223969,-0.145206,-9.209032
3.331250,-27.014444,-7.214547,7.510212,-11.516462,-2.429481,-9.206295
3.337500,-27.717487,-7.216299,6.402081,-11.826941,-4.757909,-9.206212
3.343750,-28.462246,-7.221789,5.311721,-12.152850,-7.133320,-9.208645
3.350000,-29.250414,-7.231547,4.519803,-12.490827,-9.561354,-9.213535
3.356250,-30.087500,-7.246377,4.271360,-12.836366,-12.046070,-9.220763
3.362500,-30.981981,-7.268069,4.753399,-13.182260,-14.592345,-9.230198
3.368750,-31.946142,-7.299763,6.081555,-13.518877,-17.207254,-9.241863
3.375000,-32.991837,-7.346189,8.298092,-13.834069,-19.900778,-9.256233
3.381250,-34.124989,-7.413042,9.480625,-14.113850,-22.682003,-9.273938
3.387500,-35.339226,-7.506036,11.158272,-14.343373,-25.561279,-9.295670
3.393750,-36.614193,-7.630048,14.814776,-14.507839,-28.550476,-9.322562
3.400000,-37.913036,-7.787342,18.392410,-14.593593,-31.660576,-9.356004
3.406250,-39.189476,-7.978098,21.713665,-14.589030,-34.902092,-9.397665
3.412500,-40.406029,-8.203356,24.597055,-14.485552,-38.285141,-9.449697
3.418750,-41.531094,-8.464699,26.867107,-14.278136,-41.816708,-9.514230
3.425000,-42.518810,-8.762284,28.367395,-13.965508,-45.499779,-9.593556
3.431250,-43.308010,-9.092786,28.966961,-13.550870,-49.333874,-9.690008
3.437500,-43.828815,-9.449304,28.568789,-13.042151,-53.317204,-9.806109
3.443750,-44.013210,-9.821492,27.119125,-12.451245,-57.442024,-9.943959
3.450000,-43.806637,-10.196512,24.612627,-11.793574,-61.695919,-10.104691
3.456250,-43.172325,-10.560179,21.093849,-11.087390,-66.062363,-10.289083
3.462500,-42.097572,-10.897924,18.821653,-10.353171,-70.523697,-10.497128
3.468750,-40.595093,-11.196071,14.676680,-9.612229,-75.062263,-10.727895
3.475000,-38.701187,-11.442810,10.951113,-8.885435,-79.657272,-10.979407
3.481250,-36.473362,-11.628794,7.751046,-8.192114,-84.286743,-11.248495
3.487500,-33.984722,-11.747699,5.159966,-7.548816,-88.932259,-11.531769
3.493750,-31.317364,-11.795729,3.235996,-6.968806,-93.578644,-11.825304
3.500000,-28.558664,-11.771739,2.016786,-6.460663,-98.213478,-12.124261
3.506250,-25.798319,-11.677269,1.522013,-6.028236,-102.825905,-12.423469
3.512500,-23.126297,-11.516585,1.755813,-5.671946,-107.413216,-12.717870
3.518750,-20.630016,-11.296900,2.712922,-5.390227,-111.976898,-13.002644
3.525000,-18.390013,-11.028275,4.381312,-5.178942,-114.627853,-13.273001
3.531250,-16.474909,-10.723028,6.733712,-5.031243,-116.994453,-13.524416
3.537500,-14.934935,-10.395143,7.833611,-4.938084,-118.556419,-13.753207
3.543750,-13.795594,-10.058673,9.255796,-4.890248,-118.834885,-13.957083
3.550000,-13.055087,-9.726088,10.425402,-4.878371,-117.416565,-14.134337
3.556250,-12.685608,-9.406958,10.810691,-4.893569,-113.969231,-14.283760
3.562500,-12.640518,-9.107438,12.111586,-4.928329,-108.266159,-14.404858
3.568750,-12.866296,-8.830627,12.582651,-4.976536,-100.195488,-14.498313
3.575000,-13.309945,-8.577432,12.437895,-5.033318,-89.762772,-14.565203
3.581250,-13.932157,-8.349262,11.945856,-5.094477,-77.090553,-14.606458
3.587500,-14.704303,-8.148240,11.412969,-5.156471,-62.411255,-14.623237
3.593750,-15.589540,-7.974440,11.164592,-5.216971,-46.059372,-14.617024
3.600000,-16.540459,-7.825159,9.632574,-5.274747,-28.454882,-14.590048
3.606250,-17.517632,-7.696373,8.750813,-5.328978,-10.077844,-14.544353
3.612500,-18.494312,-7.584242,8.271150,-5.378806,8.556452,-14.481538
3.618750,-19.458157,-7.485262,7.937072,-5.423737,26.917122,-14.403352
3.625000,-20.405376,-7.396926,7.494253,-5.463919,44.484154,-14.311694
3.631250,-21.336622,-7.317430,6.705869,-5.499377,60.778576,-14.208673
3.637500,-22.256443,-7.245658,5.363433,-5.529935,75.386322,-14.095438
3.643750,-23.170008,-7.181127,3.295049,-5.555471,87.977058,-13.973264
3.650000,-24.080664,-7.123652,2.538733,-5.576269,98.322823,-13.843701
3.656250,-24.989571,-7.072872,1.652670,-5.592449,106.308723,-13.708125
3.662500,-25.895214,-7.028241,1.103471,-5.603943,111.940948,-13.567976
3.668750,-26.795876,-6.988918,-0.547672,-5.610885,115.346268,-13.424727
3.675000,-27.691393,-6.954089,-1.258107,-5.613453,116.763252,-13.279743
3.681250,-28.582939,-6.923232,-1.194749,-5.611509,116.533264,-13.134599
3.687500,-29.474123,-6.896061,-0.558549,-5.604832,115.082321,-12.990354
3.693750,-30.368433,-6.872613,0.424703,-5.593308,112.900825,-12.848104
3.700000,-31.269817,-6.853163,1.515371,-5.576790,110.516571,-12.708826
3.706250,-32.179855,-6.837847,2.471354,-5.555148,106.303818,-12.573508
3.712500,-33.098312,-6.826635,3.062971,-5.528326,102.153130,-12.443048
3.718750,-34.024094,-6.819333,5.247532,-5.496289,98.060501,-12.318344
3.725000,-34.957527,-6.815598,7.486820,-5.458671,94.022369,-12.200014
3.731250,-35.899971,-6.815434,8.240006,-5.415407,90.035522,-12.088648
3.737500,-36.854725,-6.818929,9.465111,-5.366677,86.093307,-11.985157
3.743750,-37.825069,-6.826503,10.929948,-5.312677,82.190514,-11.890584
3.750000,-38.814156,-6.838752,12.394961,-5.253299,78.323608,-11.805321
3.756250,-39.823971,-6.856211,13.622266,-5.188153,74.489838,-11.729524
3.762500,-40.853683,-6.879169,14.385028,-5.117203,70.683426,-11.664057
3.768750,-41.902050,-6.907838,14.480701,-5.040891,66.896515,-11.609794
3.775000,-42.969509,-6.942548,13.741711,-4.959402,63.124851,-11.567393
3.781250,-44.056454,-6.983656,14.214601,-4.872415,59.366920,-11.537285
3.787500,-45.163052,-7.031662,14.463645,-4.779836,55.618546,-11.519810
3.793750,-46.290077,-7.087173,13.062210,-4.682009,51.871822,-11.516032
3.800000,-47.436409,-7.150769,12.090385,-4.579008,48.123436,-11.526420
3.806250,-48.600189,-7.222857,11.440364,-4.470789,44.368858,-11.551539
3.812500,-49.779736,-7.303818,10.987279,-4.357442,40.602993,-11.591808
3.818750,-50.972416,-7.393923,10.595128,-4.239264,36.819111,-11.648003
3.825000,-52.176949,-7.493539,10.125755,-4.116752,33.010086,-11.720814
3.831250,-53.393360,-7.603270,9.443205,-3.990294,29.170347,-11.810919
3.837500,-54.621746,-7.723890,8.422977,-3.860255,25.293978,-11.918973
3.843750,-55.861649,-7.856402,6.956834,-3.727167,21.373375,-12.045956
3.850000,-57.110321,-8.001525,7.125487,-3.591532,17.400234,-12.192720
3.856250,-58.364597,-8.159903,5.610876,-3.453810,13.365945,-12.360301
3.862500,-59.620144,-8.331998,4.494099,-3.314594,9.259324,-12.549754
3.868750,-60.874184,-8.518332,3.666783,-3.174519,5.069835,-12.762378
3.875000,-62.124214,-8.719542,3.005628,-3.034122,0.782221,-12.999312
3.881250,-63.369125,-8.936657,2.377802,-2.894028,-3.620212,-13.261587
3.887500,-64.608459,-9.171021,1.647258,-2.754770,-8.155569,-13.549745
3.893750,-65.839462,-9.424240,0.680856,-2.616848,-12.847394,-13.863679
3.900000,-67.057541,-9.697946,-0.641931,-2.480787,-17.721203,-14.202854
3.906250,-68.255379,-9.993624,-2.426866,-2.347251,-22.805658,-14.565818
3.912500,-69.423889,-10.312632,-2.588274,-2.216576,-28.129818,-14.949770
3.918750,-70.552132,-10.656489,-2.546600,-2.089297,-33.723282,-15.351149
3.925000,-71.631020,-11.027162,-3.733131,-1.965803,-39.618114,-15.765149
3.931250,-72.648148,-11.426950,-4.097663,-1.846574,-45.842812,-16.185534
3.937500,-73.589203,-11.859013,-3.800621,-1.731980,-50.531040,-16.605194
3.943750,-74.434845,-12.326646,-3.037023,-1.622328,-55.324596,-17.015217
3.950000,-75.155006,-12.832702,-2.026954,-1.517920,-59.704674,-17.406050
3.956250,-75.705124,-13.378399,-1.003089,-1.418979,-63.181263,-17.767784
3.962500,-76.029930,-13.962549,-0.201149,-1.325722,-65.319000,-18.090332
3.968750,-76.064293,-14.581947,0.153596,-1.238259,-65.753578,-18.364107
3.975000,-75.753914,-15.231639,2.025556,-1.156695,-64.212456,-18.580137
3.981250,-75.037766,-15.905862,3.880025,-1.081285,-60.526558,-18.731249
3.987500,-73.859093,-16.596081,4.182845,-1.012111,-54.637085,-18.811916
3.993750,-72.156822,-17.291094,4.898154,-0.949238,-46.596466,-18.818491
4.000000,-69.877029,-17.976978,5.801169,-0.892861,-36.566719,-18.749554
4.006250,-66.978477,-18.637300,6.655890,-0.842996,-24.808664,-18.605867
4.012500,-63.438808,-19.254143,7.230289,-0.799598,-11.671086,-18.390532
4.018750,-59.259808,-19.808941,7.304089,-0.762708,2.429197,-18.108637
4.025000,-54.471519,-20.284279,6.682235,-0.732456,17.030001,-17.767052
4.031250,-49.134235,-20.664825,5.204385,-0.708793,31.646030,-17.374037
4.037500,-43.332394,-20.938530,4.921710,-0.691577,45.793900,-16.938801
4.043750,-37.174316,-21.096903,4.402475,-0.680638,59.019833,-16.471117
4.050000,-30.778217,-21.135155,2.227828,-0.676061,70.918114,-15.980796
