Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338031488.21,2012_05_26_12:24:48,+298.05,+297.88,+02.989,+297.76,+297.19,+298.12,+297.74,+298.16,243.370941,-6.622
3.006250,153.589890,-9.871712,-6.747391,-4.647121,31.021540,-9.464914
3.012500,153.589890,-9.871712,-6.747391,-4.647121,31.021540,-9.464914
3.018750,153.589890,-9.871712,-6.747391,-4.647121,31.021540,-9.464914
3.025000,153.589890,-9.871712,-6.747391,-4.647121,31.021540,-9.464914
3.031250,153.589890,-9.871712,-6.747391,-4.647121,31.021540,-9.464914
3.037500,153.589890,-9.871712,-6.747391,-4.647121,31.021540,-9.464914
3.043750,153.589890,-9.871712,-6.747391,-4.647121,31.021540,-9.464914
3.050000,153.589890,-9.871712,-6.747391,-4.647121,31.021540,-9.464914
3.056250,153.589890,-9.871712,-6.747391,-4.647121,31.021540,-9.464914
3.062500,153.589890,-9.871712,-6.747391,-4.647121,31.021540,-9.464914
3.068750,153.589890,-9.871712,-6.747391,-4.647121,31.021540,-9.464914
3.075000,153.589890,-9.871712,-6.747391,-4.647121,31.021540,-9.464914
3.081250,153.589890,-9.871712,-6.747391,-4.647121,31.021540,-9.464914
3.087500,153.589890,-9.871712,-6.747391,-4.647121,31.021540,-9.464914
3.093750,153.589890,-9.933399,-6.747391,-4.696079,31.021540,-9.497651
3.100000,153.087982,-9.989429,-7.332317,-4.741799,29.413290,-9.541385
3.106250,152.616180,-10.040241,-9.097116,-4.784491,27.825399,-9.595215
3.112500,152.172546,-10.085956,-9.993732,-4.824049,26.262972,-9.658147
3.118750,151.756454,-10.126164,-10.184589,-4.860376,24.731770,-9.729048
3.125000,151.368210,-10.160441,-9.867276,-4.893297,23.236052,-9.806913
3.131250,151.003250,-10.188914,-9.265072,-4.922896,21.777769,-9.891140
3.137500,150.657974,-10.211351,-8.615547,-4.949438,20.356001,-9.981247
3.143750,150.330078,-10.227503,-8.155340,-4.972656,18.972313,-10.076333
3.150000,150.013870,-10.237763,-8.111212,-4.992546,17.627100,-10.175604
3.156250,149.702240,-10.242967,-6.522518,-5.009224,16.318172,-10.278419
3.162500,149.391113,-10.243845,-4.925816,-5.022648,15.043430,-10.383988
3.168750,149.079590,-10.241086,-4.856710,-5.032791,13.800732,-10.491615
3.175000,148.768188,-10.234870,-4.354321,-5.039771,12.586121,-10.600513
3.181250,148.459106,-10.225347,-3.647950,-5.043868,11.395254,-10.710221
3.187500,148.153046,-10.212255,-2.975058,-5.045196,10.224720,-10.820194
3.193750,147.849777,-10.195694,-2.571102,-5.043907,9.072026,-10.929733
3.200000,147.546768,-10.175866,-2.658836,-5.040013,7.934360,-11.038333
3.206250,147.242905,-10.152936,-3.436391,-5.033718,6.808711,-11.145817
3.212500,146.936508,-10.127384,-5.067342,-5.025115,5.691728,-11.252048
3.218750,146.626633,-10.099498,-5.503617,-5.014304,4.581895,-11.356893
3.225000,146.313248,-10.069581,-6.178730,-5.001234,3.477581,-11.460302
3.231250,145.997467,-10.037633,-6.619933,-4.985935,2.376611,-11.562466
3.237500,145.680252,-10.003731,-8.261047,-4.968477,1.275665,-11.663787
3.243750,145.361603,-9.967743,-9.054419,-4.949074,0.171151,-11.764556
3.250000,145.040192,-9.929934,-9.162358,-4.927763,-0.939481,-11.865214
3.256250,144.714432,-9.890763,-8.781717,-4.904562,-2.059577,-11.965927
3.262500,144.382919,-9.850609,-8.133872,-4.879476,-3.193309,-12.067006
3.268750,144.045166,-9.809985,-7.455650,-4.852825,-4.345464,-12.168936
3.275000,143.704071,-9.769143,-6.985492,-4.824853,-5.521352,-12.272017
3.281250,143.362122,-9.728189,-6.950963,-4.795643,-6.722912,-12.376453
3.287500,143.023285,-9.686667,-5.390666,-4.765213,-7.953512,-12.482379
3.293750,142.689896,-9.644266,-3.842831,-4.733926,-9.215217,-12.590106
3.300000,142.363281,-9.600605,-3.845359,-4.701950,-10.510879,-12.700161
3.306250,142.042953,-9.555375,-3.437451,-4.669343,-11.841318,-12.812676
3.312500,141.727554,-9.508626,-2.846588,-4.636014,-13.207083,-12.927990
3.318750,141.414948,-9.460639,-2.311404,-4.602068,-14.608335,-13.046573
3.325000,141.103973,-9.411607,-2.069135,-4.567848,-16.047159,-13.169172
3.331250,140.795090,-9.361766,-2.343189,-4.533333,-17.524570,-13.296312
3.337500,140.490952,-9.310902,-3.330542,-4.498462,-19.038708,-13.428092
3.343750,140.192719,-9.258810,-5.195698,-4.463397,-20.590399,-13.564998
3.350000,139.902161,-9.205215,-5.891582,-4.428465,-22.180351,-13.707597
3.356250,139.619598,-9.149708,-6.852819,-4.393779,-23.810160,-13.856430
3.362500,139.343643,-9.092157,-7.606427,-4.359286,-25.478722,-14.011718
3.368750,139.071960,-9.032794,-9.587503,-4.325140,-27.186682,-14.173870
3.375000,138.802414,-8.971814,-10.751372,-4.291723,-28.936388,-14.343576
3.381250,138.535828,-8.909415,-11.263067,-4.259273,-30.728853,-14.521241
3.387500,138.273148,-8.845448,-11.321710,-4.227940,-32.564434,-14.707109
3.393750,138.016968,-8.779423,-11.151855,-4.198018,-34.445057,-14.901271
3.400000,137.769653,-8.710813,-10.993490,-4.169956,-36.374470,-15.104135
3.406250,137.531784,-8.638703,-11.087633,-4.144000,-38.356941,-15.315907
3.412500,137.301483,-8.562682,-11.664045,-4.120378,-40.396606,-15.536513
3.418750,137.074875,-8.482421,-10.764814,-4.099459,-42.497406,-15.765729
3.425000,136.847397,-8.398108,-9.931275,-4.081771,-44.665722,-16.004000
3.431250,136.614395,-8.310054,-8.808612,-4.067672,-46.906639,-16.251026
3.437500,136.373184,-8.218538,-8.953968,-4.057497,-49.226242,-16.506683
3.443750,136.122864,-8.123727,-8.444371,-4.051752,-51.631710,-16.771030
3.450000,135.863968,-8.025437,-7.561862,-4.051048,-54.132416,-17.044168
3.456250,135.596802,-7.923330,-6.611005,-4.056022,-56.737495,-17.326418
3.462500,135.319595,-7.817113,-5.903510,-4.067248,-59.459682,-17.617439
3.468750,135.029404,-7.706674,-5.743780,-4.085433,-62.311779,-17.916712
3.475000,134.721375,-7.592043,-6.414044,-4.111318,-65.312202,-18.223087
3.481250,134.390228,-7.473698,-5.991859,-4.145570,-68.478546,-18.535015
3.487500,134.030518,-7.352315,-6.035551,-4.188877,-71.827156,-18.850746
3.493750,133.638962,-7.228465,-6.192364,-4.242114,-75.374718,-19.168623
3.500000,133.213379,-7.102431,-6.108441,-4.306044,-79.140182,-19.486177
3.506250,132.753204,-6.974529,-5.447557,-4.381207,-83.135963,-19.800465
3.512500,132.257629,-6.844726,-5.802664,-4.468276,-87.379501,-20.108015
3.518750,131.724030,-6.713313,-5.300849,-4.567905,-91.888306,-20.404865
3.525000,131.148148,-6.580776,-4.285102,-4.680441,-94.779442,-20.686663
3.531250,130.524689,-6.447871,-3.131890,-4.806097,-97.682930,-20.948223
3.537500,129.849503,-6.315929,-2.230682,-4.945289,-100.069168,-21.184717
3.543750,129.120102,-6.186082,-1.964864,-5.098100,-101.440948,-21.391733
3.550000,128.336517,-6.059550,-0.521342,-5.264186,-101.354050,-21.565012
3.556250,127.501808,-5.937134,0.425674,-5.442583,-99.444901,-21.700817
3.562500,126.619598,-5.819331,1.111918,-5.633001,-95.451263,-21.796799
3.568750,125.694504,-5.706661,1.779350,-5.835145,-89.226173,-21.851362
3.575000,124.729546,-5.599607,2.670938,-6.047515,-80.733185,-21.862902
3.581250,123.727119,-5.498680,4.013469,-6.267943,-70.052696,-21.829882
3.587500,122.689362,-5.404613,4.106007,-6.494833,-57.381325,-21.752443
3.593750,121.619980,-5.318114,4.723240,-6.726811,-43.018078,-21.632042
3.600000,120.523438,-5.239753,5.445280,-6.961823,-27.346102,-21.470747
3.606250,119.406395,-5.169750,5.848245,-7.196806,-10.806904,-21.270275
3.612500,118.275894,-5.108025,5.517754,-7.428916,6.108167,-21.034573
3.618750,117.138741,-5.054225,6.235766,-7.656112,22.885223,-20.768456
3.625000,116.000198,-5.008085,6.311200,-7.876262,39.019283,-20.476992
3.631250,114.864273,-4.969328,5.982849,-8.086564,54.041687,-20.164663
3.637500,113.733582,-4.937824,5.507040,-8.284492,67.541939,-19.835522
3.643750,112.611046,-4.913477,5.144762,-8.468252,79.184441,-19.493849
3.650000,111.499725,-4.896213,5.151414,-8.636237,88.733299,-19.143831
3.656250,110.403801,-4.885770,5.767045,-8.786776,96.068329,-18.789549
3.662500,109.328255,-4.881668,5.308043,-8.918653,101.187492,-18.434925
3.668750,108.277664,-4.883147,5.566647,-9.031297,104.203575,-18.084259
3.675000,107.255867,-4.889433,6.135571,-9.124380,105.342484,-17.740767
3.681250,106.265381,-4.899855,6.596173,-9.197824,104.931770,-17.407522
3.687500,105.306961,-4.913834,6.538623,-9.251921,103.378960,-17.086796
3.693750,104.380386,-4.930934,7.750613,-9.287586,101.157318,-16.780544
3.700000,103.485497,-4.950735,8.539877,-9.306051,98.780373,-16.490259
3.706250,102.622704,-4.972841,9.136641,-9.308717,94.608849,-16.216522
3.712500,101.793121,-4.996747,9.786743,-9.296946,90.520683,-15.960328
3.718750,100.997177,-5.021861,10.739929,-9.272128,86.504448,-15.722101
3.725000,100.234390,-5.047643,10.342740,-9.235915,82.546707,-15.502536
3.731250,99.503677,-5.073572,10.434619,-9.190136,78.630043,-15.302494
3.737500,98.802231,-5.099418,10.671836,-9.136784,74.741318,-15.122750
3.743750,98.128517,-5.125062,10.714100,-9.077120,70.868492,-14.963646
3.750000,97.479904,-5.150347,10.239100,-9.012279,67.006920,-14.825056
3.756250,96.855431,-5.174942,8.952833,-8.943744,63.145809,-14.707639
3.762500,96.253853,-5.198739,6.610464,-8.873188,59.273636,-14.612909
3.768750,95.673790,-5.221570,5.198472,-8.801500,55.384384,-14.541699
3.775000,95.113808,-5.243179,3.245680,-8.729195,51.473347,-14.494544
3.781250,94.573097,-5.263342,1.207738,-8.657144,47.535446,-14.472591
