Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338031071.06,2012_05_26_12:17:51,+298.03,+297.86,+02.989,+297.73,+297.16,+298.10,+297.72,+298.13,243.348282,-6.620
3.006250,30.626003,-8.726280,7.222172,-6.081383,31.041729,-9.742711
3.012500,30.626003,-8.726280,7.222172,-6.081383,31.041729,-9.742711
3.018750,30.626003,-8.726280,7.222172,-6.081383,31.041729,-9.742711
3.025000,30.626003,-8.726280,7.222172,-6.081383,31.041729,-9.742711
3.031250,30.626003,-8.726280,7.222172,-6.081383,31.041729,-9.742711
3.037500,30.626003,-8.726280,7.222172,-6.081383,31.041729,-9.742711
3.043750,30.626003,-8.726280,7.222172,-6.081383,31.041729,-9.742711
3.050000,30.626003,-8.726280,7.222172,-6.081383,31.041729,-9.742711
3.056250,30.626003,-8.726280,7.222172,-6.081383,31.041729,-9.742711
3.062500,30.626003,-8.726280,7.222172,-6.081383,31.041729,-9.742711
3.068750,30.626003,-8.726280,7.222172,-6.081383,31.041729,-9.742711
3.075000,30.626003,-8.726280,7.222172,-6.081383,31.041729,-9.742711
3.081250,30.626003,-8.726280,7.222172,-6.081383,31.041729,-9.742711
3.087500,30.626003,-8.726280,7.222172,-6.081383,31.041729,-9.742711
3.093750,30.626003,-8.850888,7.222172,-5.843935,31.041729,-9.770170
3.100000,50.991207,-8.987562,5.664648,-5.606579,29.420963,-9.808358
3.106250,70.091644,-9.136549,4.808577,-5.371815,27.818342,-9.856632
3.112500,87.503365,-9.297760,4.501343,-5.141749,26.238859,-9.914356
3.118750,102.890656,-9.470736,4.558955,-4.917687,24.689093,-9.980434
3.125000,116.020370,-9.654833,4.774620,-4.699922,23.172985,-10.053834
3.131250,126.771057,-9.850217,4.923800,-4.489113,21.692518,-10.133944
3.137500,135.143066,-10.056497,4.771787,-4.286859,20.245693,-10.220534
3.143750,141.259491,-10.273308,4.103359,-4.093168,18.834343,-10.312685
3.150000,145.355530,-10.500949,4.893577,-3.907735,17.459675,-10.409345
3.156250,147.768860,-10.740157,5.614465,-3.730441,16.120163,-10.509771
3.162500,148.923737,-10.991845,6.631217,-3.561138,14.812542,-10.613354
3.168750,149.315247,-11.256818,6.397295,-3.399390,13.535352,-10.719113
3.175000,149.479828,-11.535580,6.846972,-3.244881,12.285859,-10.826160
3.181250,147.800629,-11.828391,7.705585,-3.097544,11.060481,-10.933937
3.187500,146.175323,-12.135595,8.678016,-2.957246,9.855689,-11.042003
3.193750,144.607147,-12.457873,9.461325,-2.823841,8.670397,-11.149651
3.200000,143.097672,-12.795972,9.759641,-2.697043,7.502873,-11.256399
3.206250,141.650360,-13.151310,9.298700,-2.576700,6.349868,-11.362085
3.212500,140.267059,-13.525390,10.007982,-2.462750,5.208610,-11.466531
3.218750,138.953949,-13.919716,10.336628,-2.355099,4.077837,-11.569674
3.225000,137.718048,-14.336416,10.645006,-2.253479,2.954971,-11.671555
3.231250,136.571518,-14.777303,11.293621,-2.157748,1.837133,-11.772474
3.237500,135.528336,-15.245055,10.729383,-2.067801,0.721748,-11.872540
3.243750,134.606430,-15.741395,10.881272,-1.983484,-0.395459,-11.972011
3.250000,133.831207,-16.269203,11.472727,-1.904648,-1.517922,-12.071105
3.256250,133.234070,-16.829929,12.203945,-1.831072,-2.649839,-12.170131
3.262500,132.859650,-17.424019,12.768692,-1.762658,-3.795907,-12.269250
3.268750,130.865204,-18.049469,12.868012,-1.699265,-4.960806,-12.368555
3.275000,128.930588,-18.702681,12.224645,-1.640843,-6.147333,-12.468171
3.281250,126.581497,-19.378714,12.766230,-1.587356,-7.359813,-12.568324
3.287500,123.385483,-20.069525,12.938471,-1.538809,-8.600134,-12.669314
3.293750,118.976501,-20.764448,13.100610,-1.495285,-9.869884,-12.771299
3.300000,113.070518,-21.450218,13.611218,-1.456819,-11.171793,-12.874653
3.306250,105.473671,-22.110750,12.915541,-1.423443,-12.505842,-12.979896
3.312500,96.086349,-22.729204,12.941058,-1.395146,-13.872359,-13.087492
3.318750,84.909561,-23.288301,13.409914,-1.371947,-15.273013,-13.198062
3.325000,72.041603,-23.771055,14.020879,-1.353909,-16.707945,-13.312168
3.331250,57.670158,-24.162020,14.465317,-1.341108,-18.178272,-13.430280
3.337500,42.063675,-24.447794,14.441865,-1.333642,-19.684839,-13.552835
3.343750,25.557491,-24.617636,13.672367,-1.331588,-21.229012,-13.680282
3.350000,8.530640,-24.664526,14.083004,-1.335089,-22.812300,-13.812872
3.356250,-8.610394,-24.585342,14.118645,-1.344193,-24.433853,-13.950966
3.362500,-25.455351,-24.381256,14.137224,-1.359004,-26.095043,-14.094940
3.368750,-41.608040,-24.058092,14.495231,-1.379744,-27.796675,-14.244867
3.375000,-56.709194,-23.625206,13.637525,-1.406522,-29.538877,-14.401373
3.381250,-70.450325,-23.095501,13.490387,-1.439583,-31.321474,-14.564475
3.387500,-82.594223,-22.483892,13.774172,-1.479269,-33.146358,-14.734495
3.393750,-92.982101,-21.806963,14.187658,-1.525898,-35.013096,-14.911840
3.400000,-101.550064,-21.082287,14.421647,-1.579697,-36.923611,-15.096878
3.406250,-108.329170,-20.326704,14.174663,-1.640932,-38.878998,-15.289712
3.412500,-113.450768,-19.556665,13.166869,-1.710018,-40.883198,-15.490621
3.418750,-117.137955,-18.786154,13.323963,-1.787234,-42.938957,-15.699800
3.425000,-119.696869,-18.028015,13.091204,-1.872723,-45.049004,-15.917184
3.431250,-121.507027,-17.291241,12.826348,-1.966653,-47.218067,-16.142756
3.437500,-123.000862,-16.582844,12.885655,-2.069420,-49.452385,-16.376762
3.443750,-124.651527,-15.907222,11.713839,-2.181230,-51.757938,-16.619093
3.450000,-124.775970,-15.267702,11.238237,-2.302232,-54.140156,-16.869501
3.456250,-125.210419,-14.665494,11.180312,-2.432595,-56.610466,-17.127815
3.462500,-125.896957,-14.099339,11.239017,-2.572562,-59.176559,-17.393738
3.468750,-126.783630,-13.567430,11.105918,-2.722386,-61.853649,-17.666840
3.475000,-127.830887,-13.067481,10.480329,-2.882050,-64.654694,-17.946291
3.481250,-129.009888,-12.597027,9.084210,-3.051584,-67.594292,-18.230934
3.487500,-130.299637,-12.154726,8.843887,-3.230956,-70.687866,-18.519646
3.493750,-131.680756,-11.738839,8.203490,-3.420112,-73.948555,-18.811201
3.500000,-133.138107,-11.347599,7.521926,-3.618775,-77.389343,-19.104212
3.506250,-134.658173,-10.979470,7.157841,-3.826669,-81.026390,-19.396725
3.512500,-136.228409,-10.632650,5.556067,-4.043275,-84.871475,-19.686943
3.518750,-137.839859,-10.305531,4.643654,-4.268139,-88.941185,-19.972750
3.525000,-139.487915,-9.997003,4.143312,-4.500553,-93.247879,-20.250677
3.531250,-141.169037,-9.706131,3.755870,-4.739574,-95.906937,-20.517075
3.537500,-142.881058,-9.432487,3.173662,-4.984112,-98.547295,-20.767746
3.543750,-144.620773,-9.175853,2.097258,-5.233072,-100.638741,-20.998739
3.550000,-146.383392,-8.935661,0.248813,-5.485431,-101.685303,-21.206444
3.556250,-148.162537,-8.711360,-0.442752,-5.739909,-101.251038,-21.387129
3.562500,-149.951874,-8.501950,-1.528498,-5.994675,-98.981316,-21.537308
3.568750,-151.745987,-8.306492,-2.646396,-6.247965,-94.619545,-21.653654
3.575000,-153.541977,-8.124199,-3.438349,-6.498624,-88.028534,-21.733650
3.581250,-155.338211,-7.954390,-3.563396,-6.745260,-79.184654,-21.775047
3.587500,-155.239441,-7.796629,-4.605965,-6.985752,-68.180130,-21.775770
3.593750,-154.866501,-7.650732,-4.683896,-7.217865,-55.214931,-21.734842
3.600000,-153.685196,-7.516400,-4.134799,-7.439856,-40.595024,-21.652426
3.606250,-151.201050,-7.393161,-3.330938,-7.650309,-24.710480,-21.530144
3.612500,-146.984299,-7.280501,-2.653254,-7.847431,-8.011278,-21.370392
3.618750,-140.691818,-7.177574,-2.473638,-8.029175,9.010788,-21.175558
3.625000,-132.085068,-7.083854,-0.973471,-8.194185,25.842661,-20.949509
3.631250,-121.043259,-6.998862,0.176664,-8.341329,41.978836,-20.696766
3.637500,-107.568085,-6.922313,1.223178,-8.469476,56.952721,-20.421190
3.643750,-91.782883,-6.854227,2.418984,-8.577549,70.353165,-20.126879
3.650000,-73.925888,-6.794629,4.010330,-8.664663,81.856598,-19.817663
3.656250,-54.337227,-6.743479,4.329348,-8.730401,91.234779,-19.497622
3.662500,-33.443195,-6.700599,5.196323,-8.774380,98.373650,-19.170990
3.668750,-11.733994,-6.665565,6.239485,-8.796428,103.275513,-18.841700
3.675000,10.257871,-6.638077,7.080249,-8.796725,106.057869,-18.513678
3.681250,31.985325,-6.617949,7.352653,-8.775681,106.948502,-18.190273
3.687500,52.914783,-6.605024,6.722742,-8.733727,106.277580,-17.874645
3.693750,72.551926,-6.599391,7.073968,-8.671468,104.454018,-17.568943
3.700000,90.467232,-6.601243,6.820970,-8.589637,101.954376,-17.274744
3.706250,106.319260,-6.610815,6.307023,-8.489202,99.293655,-16.993780
3.712500,119.870079,-6.628256,5.891451,-8.371200,94.835175,-16.727413
3.718750,130.998093,-6.653640,5.931970,-8.236859,90.459167,-16.477346
3.725000,139.702316,-6.687118,4.873478,-8.087358,86.153656,-16.244843
3.731250,146.102905,-6.728936,4.642664,-7.923700,81.906639,-16.030981
3.737500,150.435364,-6.779561,4.958755,-7.747094,77.706680,-15.836860
3.743750,153.037659,-6.839583,5.515350,-7.559242,73.540276,-15.664030
3.750000,154.335419,-6.909929,5.999092,-7.361775,69.395660,-15.513297
3.756250,154.819946,-6.991372,6.106838,-7.155483,65.267204,-15.385191
3.762500,155.025650,-7.084593,5.556696,-6.941297,61.146679,-15.280743
3.768750,153.332703,-7.190349,6.268210,-6.720968,57.023861,-15.201615
3.775000,151.636749,-7.309721,6.678562,-6.496031,52.888512,-15.148880
3.781250,149.939255,-7.443668,7.140246,-6.267580,48.735424,-15.123791
3.787500,148.243408,-7.593417,6.113925,-6.036458,44.559105,-15.127186
3.793750,146.553665,-7.760089,5.555517,-5.803895,40.347748,-15.160429
