Anritsu VNA Frequency[GHz],S21[deg],S21[dB],S11[deg],S11[dB],S22[deg],S22[dB]
1338038720.38,2012_05_26_14:25:20,+298.24,+298.27,+297.93,+298.15,+297.60,+298.65,+298.13,+298.66,243.696899,-5.800
3.006250,-58.128201,-18.897976,-93.111015,-9.252798,30.153345,-10.015603
3.012500,-58.128201,-18.897976,-93.111015,-9.252798,30.153345,-10.015603
3.018750,-58.128201,-18.897976,-93.111015,-9.252798,30.153345,-10.015603
3.025000,-58.128201,-18.897976,-93.111015,-9.252798,30.153345,-10.015603
3.031250,-58.128201,-18.897976,-93.111015,-9.252798,30.153345,-10.015603
3.037500,-58.128201,-18.897976,-93.111015,-9.252798,30.153345,-10.015603
3.043750,-58.128201,-18.897976,-93.111015,-9.252798,30.153345,-10.015603
3.050000,-58.128201,-18.897976,-93.111015,-9.252798,30.153345,-10.015603
3.056250,-58.128201,-18.897976,-93.111015,-9.252798,30.153345,-10.015603
3.062500,-58.128201,-18.897976,-93.111015,-9.252798,30.153345,-10.015603
3.068750,-58.128201,-18.897976,-93.111015,-9.252798,30.153345,-10.015603
3.075000,-58.128201,-18.897976,-93.111015,-9.252798,30.153345,-10.015603
3.081250,-58.128201,-18.897976,-93.111015,-9.252798,30.153345,-10.015603
3.087500,-58.128201,-18.897976,-93.111015,-9.252798,30.153345,-10.015603
3.093750,-58.128201,-19.086250,-93.111015,-9.091222,30.153345,-9.813199
3.100000,-60.237247,-19.255737,-85.180115,-8.937217,25.925135,-9.610731
3.106250,-62.013798,-19.399164,-76.316505,-8.800651,21.362139,-9.418145
3.112500,-63.506367,-19.510824,-64.938942,-8.692031,16.515757,-9.243928
3.118750,-64.759865,-19.585127,-53.024429,-8.620054,11.446097,-9.094761
3.125000,-65.823395,-19.617500,-40.700447,-8.589355,6.219155,-8.975897
3.131250,-66.760651,-19.606554,-28.116631,-8.602923,0.897837,-8.890985
3.137500,-67.644417,-19.553591,-15.415422,-8.664880,-4.472554,-8.843394
3.143750,-68.547310,-19.462971,-2.751117,-8.776998,-9.862057,-8.834324
3.150000,-69.534279,-19.341415,9.702532,-8.937417,-15.244347,-8.861659
3.156250,-70.657967,-19.196262,21.770718,-9.141109,-20.594681,-8.919980
3.162500,-71.950523,-19.034000,33.290661,-9.378857,-25.893023,-9.001963
3.168750,-73.432686,-18.862080,44.125473,-9.637800,-31.127529,-9.099388
3.175000,-75.132805,-18.689501,54.178673,-9.903205,-36.286709,-9.203677
3.181250,-77.064774,-18.526884,63.396641,-10.159691,-41.361156,-9.306385
3.187500,-79.221901,-18.383377,71.775650,-10.392225,-46.339359,-9.399664
3.193750,-81.568283,-18.264477,79.358589,-10.586982,-51.206913,-9.476458
3.200000,-84.055656,-18.172623,84.336525,-10.731970,-55.948227,-9.531453
3.206250,-86.645332,-18.110195,88.451088,-10.817942,-60.545929,-9.561446
3.212500,-89.303513,-18.079956,91.317520,-10.838773,-64.985817,-9.565399
3.218750,-91.989548,-18.083300,92.610535,-10.791489,-69.261086,-9.543981
3.225000,-94.649513,-18.117289,92.079964,-10.676705,-73.373779,-9.499665
3.231250,-97.222664,-18.175636,89.564056,-10.498590,-77.334877,-9.436394
3.237500,-99.670105,-18.252087,84.996307,-10.264650,-81.165199,-9.359275
3.243750,-101.980225,-18.342230,78.410645,-9.985703,-84.896141,-9.273960
3.250000,-104.146957,-18.442503,69.939247,-9.675467,-88.570801,-9.185969
3.256250,-106.160507,-18.547270,59.806400,-9.349960,-92.240242,-9.100271
3.262500,-108.012108,-18.649384,48.320831,-9.027178,-95.958336,-9.020790
3.268750,-109.707603,-18.742947,35.857758,-8.725863,-99.778793,-8.950156
3.275000,-111.280823,-18.825733,22.846283,-8.464907,-103.748291,-8.889263
3.281250,-112.778877,-18.899113,9.748343,-8.263330,-107.902847,-8.837535
3.287500,-114.233635,-18.964787,-2.957278,-8.140086,-112.261177,-8.793222
3.293750,-115.666405,-19.023724,-14.790724,-8.118552,-114.927406,-8.754255
3.300000,-117.091949,-19.076780,-25.281086,-8.256686,-117.504356,-8.718390
3.306250,-118.531708,-19.126507,-33.963799,-8.477673,-119.427689,-8.683161
3.312500,-120.012489,-19.177954,-41.429298,-8.806912,-120.164215,-8.646393
3.318750,-121.553566,-19.237938,-46.554199,-9.270444,-119.234085,-8.606502
3.325000,-123.154686,-19.311453,-49.424393,-9.865653,-116.237091,-8.562837
3.331250,-124.792252,-19.401295,-50.201908,-10.576697,-110.875099,-8.515474
